School Name,Division Name,free_reduced_lunch_percentage,Sch_Div
John P. Fishwick Middle,Roanoke City Public Schools,100,John P. Fishwick Middle Roanoke City Public Schools
Morningside Elementary,Roanoke City Public Schools,100,Morningside Elementary Roanoke City Public Schools
Crystal Spring Elementary,Roanoke City Public Schools,24.4,Crystal Spring Elementary Roanoke City Public Schools
Garden City Elementary,Roanoke City Public Schools,100,Garden City Elementary Roanoke City Public Schools
Grandin Court Elementary,Roanoke City Public Schools,34.5,Grandin Court Elementary Roanoke City Public Schools
James Madison Middle,Roanoke City Public Schools,100,James Madison Middle Roanoke City Public Schools
Patrick Henry High,Roanoke City Public Schools,100,Patrick Henry High Roanoke City Public Schools
Virginia Heights Elementary,Roanoke City Public Schools,100,Virginia Heights Elementary Roanoke City Public Schools
Wasena Elementary,Roanoke City Public Schools,100,Wasena Elementary Roanoke City Public Schools
Woodrow Wilson Middle,Roanoke City Public Schools,100,Woodrow Wilson Middle Roanoke City Public Schools
Addison Aerospace Magnet Middle,Roanoke City Public Schools,100,Addison Aerospace Magnet Middle Roanoke City Public Schools
Highland Park Elementary,Roanoke City Public Schools,100,Highland Park Elementary Roanoke City Public Schools
Hurt Park Elementary,Roanoke City Public Schools,100,Hurt Park Elementary Roanoke City Public Schools
Fairview Elementary,Roanoke City Public Schools,100,Fairview Elementary Roanoke City Public Schools
Roanoke Academy For Mathematics & Science Elementary,Roanoke City Public Schools,100,Roanoke Academy For Mathematics & Science Elementary Roanoke City Public Schools
Westside Elementary,Roanoke City Public Schools,100,Westside Elementary Roanoke City Public Schools
William Fleming High,Roanoke City Public Schools,100,William Fleming High Roanoke City Public Schools
Fishburn Park Elementary,Roanoke City Public Schools,100,Fishburn Park Elementary Roanoke City Public Schools
Hilton Elementary,Scott County Public Schools,58.9,Hilton Elementary Scott County Public Schools
Duffield-Pattonsville Primary,Scott County Public Schools,90.8,Duffield-Pattonsville Primary Scott County Public Schools
Rye Cove High,Scott County Public Schools,65.8,Rye Cove High Scott County Public Schools
Dungannon Elementary School,Scott County Public Schools,78.3,Dungannon Elementary School Scott County Public Schools
Gate City High,Scott County Public Schools,53.4,Gate City High Scott County Public Schools
Shoemaker Elementary,Scott County Public Schools,83,Shoemaker Elementary Scott County Public Schools
Yuma Elementary,Scott County Public Schools,38.7,Yuma Elementary Scott County Public Schools
Weber City Elementary,Scott County Public Schools,52,Weber City Elementary Scott County Public Schools
Nickelsville Elementary,Scott County Public Schools,61.6,Nickelsville Elementary Scott County Public Schools
Twin Springs High,Scott County Public Schools,78.4,Twin Springs High Scott County Public Schools
Gate City Middle,Scott County Public Schools,55,Gate City Middle Scott County Public Schools
Rye Cove Intermediate,Scott County Public Schools,64.7,Rye Cove Intermediate Scott County Public Schools
Fort Blackmore Primary,Scott County Public Schools,82.9,Fort Blackmore Primary Scott County Public Schools
Atkins Elementary,Smyth County Public Schools,75.8,Atkins Elementary Smyth County Public Schools
Oak Point Elementary,Smyth County Public Schools,77.7,Oak Point Elementary Smyth County Public Schools
Chilhowie High,Smyth County Public Schools,77.7,Chilhowie High Smyth County Public Schools
Northwood High,Smyth County Public Schools,75.8,Northwood High Smyth County Public Schools
Northwood Middle,Smyth County Public Schools,75.5,Northwood Middle Smyth County Public Schools
Rich Valley Elementary,Smyth County Public Schools,75.9,Rich Valley Elementary Smyth County Public Schools
Chilhowie Elementary,Smyth County Public Schools,75.7,Chilhowie Elementary Smyth County Public Schools
Sugar Grove Elementary,Smyth County Public Schools,78,Sugar Grove Elementary Smyth County Public Schools
Marion Middle,Smyth County Public Schools,75.7,Marion Middle Smyth County Public Schools
Saltville Elementary,Smyth County Public Schools,77.9,Saltville Elementary Smyth County Public Schools
Marion Elementary,Smyth County Public Schools,77.7,Marion Elementary Smyth County Public Schools
Chilhowie Middle,Smyth County Public Schools,77.9,Chilhowie Middle Smyth County Public Schools
Marion Senior High,Smyth County Public Schools,77.7,Marion Senior High Smyth County Public Schools
Colonel Fred Cherry Middle,Suffolk City Public Schools,34.3,Colonel Fred Cherry Middle Suffolk City Public Schools
Booker T. Washington Elementary,Suffolk City Public Schools,99.7,Booker T. Washington Elementary Suffolk City Public Schools
Elephant's Fork Elementary,Suffolk City Public Schools,92,Elephant's Fork Elementary Suffolk City Public Schools
Hillpoint Elementary,Suffolk City Public Schools,88.3,Hillpoint Elementary Suffolk City Public Schools
John F. Kennedy Middle,Suffolk City Public Schools,84.2,John F. Kennedy Middle Suffolk City Public Schools
Kilby Shores Elementary,Suffolk City Public Schools,49.5,Kilby Shores Elementary Suffolk City Public Schools
King's Fork High,Suffolk City Public Schools,43.5,King's Fork High Suffolk City Public Schools
King's Fork Middle,Suffolk City Public Schools,53.1,King's Fork Middle Suffolk City Public Schools
Lakeland High,Suffolk City Public Schools,48.3,Lakeland High Suffolk City Public Schools
