School Name,Division Name,free_reduced_lunch_percentage,Sch_Div
Carson Middle,Fairfax County Public Schools,11.7,Carson Middle Fairfax County Public Schools
Coates Elementary,Fairfax County Public Schools,51.3,Coates Elementary Fairfax County Public Schools
Annandale High,Fairfax County Public Schools,60.7,Annandale High Fairfax County Public Schools
Annandale Terrace Elementary,Fairfax County Public Schools,82.6,Annandale Terrace Elementary Fairfax County Public Schools
Braddock Elementary,Fairfax County Public Schools,82.6,Braddock Elementary Fairfax County Public Schools
Camelot Elementary,Fairfax County Public Schools,34.7,Camelot Elementary Fairfax County Public Schools
Canterbury Woods Elementary,Fairfax County Public Schools,14.4,Canterbury Woods Elementary Fairfax County Public Schools
Columbia Elementary,Fairfax County Public Schools,38,Columbia Elementary Fairfax County Public Schools
Poe Middle,Fairfax County Public Schools,72.3,Poe Middle Fairfax County Public Schools
Westfield High,Fairfax County Public Schools,28.4,Westfield High Fairfax County Public Schools
Mount Eagle Elementary,Fairfax County Public Schools,71.5,Mount Eagle Elementary Fairfax County Public Schools
Bryant High,Fairfax County Public Schools,46.5,Bryant High Fairfax County Public Schools
Groveton Elementary,Fairfax County Public Schools,82.6,Groveton Elementary Fairfax County Public Schools
Hollin Meadows Elementary,Fairfax County Public Schools,58.7,Hollin Meadows Elementary Fairfax County Public Schools
Hybla Valley Elementary,Fairfax County Public Schools,82.6,Hybla Valley Elementary Fairfax County Public Schools
Belle View Elementary,Fairfax County Public Schools,31.4,Belle View Elementary Fairfax County Public Schools
Bucknell Elementary,Fairfax County Public Schools,63.1,Bucknell Elementary Fairfax County Public Schools
West Potomac High,Fairfax County Public Schools,42.3,West Potomac High Fairfax County Public Schools
Sandburg Middle,Fairfax County Public Schools,48.6,Sandburg Middle Fairfax County Public Schools
Waynewood Elementary,Fairfax County Public Schools,1.4,Waynewood Elementary Fairfax County Public Schools
Mount Vernon High,Fairfax County Public Schools,58.3,Mount Vernon High Fairfax County Public Schools
Mount Vernon Woods Elementary,Fairfax County Public Schools,82.6,Mount Vernon Woods Elementary Fairfax County Public Schools
Riverside Elementary,Fairfax County Public Schools,82.6,Riverside Elementary Fairfax County Public Schools
Washington Mill Elementary,Fairfax County Public Schools,54.5,Washington Mill Elementary Fairfax County Public Schools
Woodlawn Elementary,Fairfax County Public Schools,69.5,Woodlawn Elementary Fairfax County Public Schools
Woodley Hills Elementary,Fairfax County Public Schools,82.7,Woodley Hills Elementary Fairfax County Public Schools
Bush Hill Elementary,Fairfax County Public Schools,22.2,Bush Hill Elementary Fairfax County Public Schools
Clermont Elementary,Fairfax County Public Schools,13.3,Clermont Elementary Fairfax County Public Schools
Edison High,Fairfax County Public Schools,38.1,Edison High Fairfax County Public Schools
Franconia Elementary,Fairfax County Public Schools,24,Franconia Elementary Fairfax County Public Schools
Rose Hill Elementary,Fairfax County Public Schools,42.3,Rose Hill Elementary Fairfax County Public Schools
Glasgow Middle,Fairfax County Public Schools,65.5,Glasgow Middle Fairfax County Public Schools
Holmes Middle,Fairfax County Public Schools,59.4,Holmes Middle Fairfax County Public Schools
Parklawn Elementary,Fairfax County Public Schools,82.6,Parklawn Elementary Fairfax County Public Schools
Thomas Jefferson High for Science and Technology,Fairfax County Public Schools,1.8,Thomas Jefferson High for Science and Technology Fairfax County Public Schools
Weyanoke Elementary,Fairfax County Public Schools,82.6,Weyanoke Elementary Fairfax County Public Schools
Hayfield Secondary,Fairfax County Public Schools,29.9,Hayfield Secondary Fairfax County Public Schools
Island Creek Elementary,Fairfax County Public Schools,10,Island Creek Elementary Fairfax County Public Schools
Stone Middle,Fairfax County Public Schools,31.7,Stone Middle Fairfax County Public Schools
Virginia Run Elementary,Fairfax County Public Schools,39.3,Virginia Run Elementary Fairfax County Public Schools
Bull Run Elementary,Fairfax County Public Schools,34.8,Bull Run Elementary Fairfax County Public Schools
Forestville Elementary,Fairfax County Public Schools,3.3,Forestville Elementary Fairfax County Public Schools
Great Falls Elementary,Fairfax County Public Schools,3.1,Great Falls Elementary Fairfax County Public Schools
Terraset Elementary,Fairfax County Public Schools,31.9,Terraset Elementary Fairfax County Public Schools
South Lakes High,Fairfax County Public Schools,28.5,South Lakes High Fairfax County Public Schools
Armstrong Elementary,Fairfax County Public Schools,15.2,Armstrong Elementary Fairfax County Public Schools
Crestwood Elementary,Fairfax County Public Schools,82.6,Crestwood Elementary Fairfax County Public Schools
Forestdale Elementary,Fairfax County Public Schools,55.2,Forestdale Elementary Fairfax County Public Schools
Key Center,Fairfax County Public Schools,46.1,Key Center Fairfax County Public Schools
Key Middle,Fairfax County Public Schools,61.5,Key Middle Fairfax County Public Schools
Lynbrook Elementary,Fairfax County Public Schools,82.6,Lynbrook Elementary Fairfax County Public Schools
Springfield Estates Elementary,Fairfax County Public Schools,31,Springfield Estates Elementary Fairfax County Public Schools
Kings Glen Elementary,Fairfax County Public Schools,26.1,Kings Glen Elementary Fairfax County Public Schools
Kings Park Elementary,Fairfax County Public Schools,19.4,Kings Park Elementary Fairfax County Public Schools
North Springfield Elementary,Fairfax County Public Schools,42.8,North Springfield Elementary Fairfax County Public Schools
Ravensworth Elementary,Fairfax County Public Schools,15.5,Ravensworth Elementary Fairfax County Public Schools
Cardinal Forest Elementary,Fairfax County Public Schools,30.1,Cardinal Forest Elementary Fairfax County Public Schools
Hunt Valley Elementary,Fairfax County Public Schools,6.8,Hunt Valley Elementary Fairfax County Public Schools
Irving Middle,Fairfax County Public Schools,15.5,Irving Middle Fairfax County Public Schools
Keene Mill Elementary,Fairfax County Public Schools,18.1,Keene Mill Elementary Fairfax County Public Schools
Orange Hunt Elementary,Fairfax County Public Schools,6.2,Orange Hunt Elementary Fairfax County Public Schools
Rolling Valley Elementary,Fairfax County Public Schools,20.8,Rolling Valley Elementary Fairfax County Public Schools
West Springfield High,Fairfax County Public Schools,15,West Springfield High Fairfax County Public Schools
Sangster Elementary,Fairfax County Public Schools,2.6,Sangster Elementary Fairfax County Public Schools
Saratoga Elementary,Fairfax County Public Schools,40.9,Saratoga Elementary Fairfax County Public Schools
Centreville High,Fairfax County Public Schools,28.7,Centreville High Fairfax County Public Schools
Union Mill Elementary,Fairfax County Public Schools,11.1,Union Mill Elementary Fairfax County Public Schools
Belvedere Elementary,Fairfax County Public Schools,52.3,Belvedere Elementary Fairfax County Public Schools
Glen Forest Elementary,Fairfax County Public Schools,82.6,Glen Forest Elementary Fairfax County Public Schools
Falls Church High,Fairfax County Public Schools,55.5,Falls Church High Fairfax County Public Schools
Graham Road Elementary,Fairfax County Public Schools,82.7,Graham Road Elementary Fairfax County Public Schools
Pine Spring Elementary,Fairfax County Public Schools,63.6,Pine Spring Elementary Fairfax County Public Schools
Westlawn Elementary,Fairfax County Public Schools,70.6,Westlawn Elementary Fairfax County Public Schools
Woodburn Elementary,Fairfax County Public Schools,82.7,Woodburn Elementary Fairfax County Public Schools
Haycock Elementary,Fairfax County Public Schools,1.4,Haycock Elementary Fairfax County Public Schools
Longfellow Middle,Fairfax County Public Schools,8.5,Longfellow Middle Fairfax County Public Schools
Marshall High,Fairfax County Public Schools,20.1,Marshall High Fairfax County Public Schools
Shrevewood Elementary,Fairfax County Public Schools,23.3,Shrevewood Elementary Fairfax County Public Schools
Westgate Elementary,Fairfax County Public Schools,30.3,Westgate Elementary Fairfax County Public Schools
Bailey's Upper Elementary School for the Arts and Sciences,Fairfax County Public Schools,82.6,Bailey's Upper Elementary School for the Arts and Sciences Fairfax County Public Schools
Sleepy Hollow Elementary,Fairfax County Public Schools,60.7,Sleepy Hollow Elementary Fairfax County Public Schools
Timber Lane Elementary,Fairfax County Public Schools,59.5,Timber Lane Elementary Fairfax County Public Schools
Fort Belvoir Upper Elementary,Fairfax County Public Schools,35.2,Fort Belvoir Upper Elementary Fairfax County Public Schools
Dranesville Elementary,Fairfax County Public Schools,47.1,Dranesville Elementary Fairfax County Public Schools
Clearview Elementary,Fairfax County Public Schools,51.5,Clearview Elementary Fairfax County Public Schools
Herndon High,Fairfax County Public Schools,44.9,Herndon High Fairfax County Public Schools
Herndon Elementary,Fairfax County Public Schools,66.3,Herndon Elementary Fairfax County Public Schools
Hutchison Elementary,Fairfax County Public Schools,82.6,Hutchison Elementary Fairfax County Public Schools
Crossfield Elementary,Fairfax County Public Schools,4.7,Crossfield Elementary Fairfax County Public Schools
Fox Mill Elementary,Fairfax County Public Schools,6.7,Fox Mill Elementary Fairfax County Public Schools
Oak Hill Elementary,Fairfax County Public Schools,5.4,Oak Hill Elementary Fairfax County Public Schools
Poplar Tree Elementary,Fairfax County Public Schools,7.1,Poplar Tree Elementary Fairfax County Public Schools
Rocky Run Middle,Fairfax County Public Schools,14.8,Rocky Run Middle Fairfax County Public Schools
Franklin Middle,Fairfax County Public Schools,17.2,Franklin Middle Fairfax County Public Schools
Fairview Elementary,Fairfax County Public Schools,7.2,Fairview Elementary Fairfax County Public Schools
Halley Elementary,Fairfax County Public Schools,39.3,Halley Elementary Fairfax County Public Schools
Silverbrook Elementary,Fairfax County Public Schools,8.2,Silverbrook Elementary Fairfax County Public Schools
Cub Run Elementary,Fairfax County Public Schools,15.2,Cub Run Elementary Fairfax County Public Schools
Deer Park Elementary,Fairfax County Public Schools,29.7,Deer Park Elementary Fairfax County Public Schools
Mountain View High,Fairfax County Public Schools,45.3,Mountain View High Fairfax County Public Schools
Centre Ridge Elementary,Fairfax County Public Schools,57.1,Centre Ridge Elementary Fairfax County Public Schools
Centreville Elementary,Fairfax County Public Schools,27.9,Centreville Elementary Fairfax County Public Schools
Whitman Middle,Fairfax County Public Schools,65.4,Whitman Middle Fairfax County Public Schools
Garfield Elementary,Fairfax County Public Schools,82.5,Garfield Elementary Fairfax County Public Schools
Cameron Elementary,Fairfax County Public Schools,61.9,Cameron Elementary Fairfax County Public Schools
Justice High,Fairfax County Public Schools,63.4,Justice High Fairfax County Public Schools
London Towne Elementary,Fairfax County Public Schools,53.1,London Towne Elementary Fairfax County Public Schools
Marshall Road Elementary,Fairfax County Public Schools,26.8,Marshall Road Elementary Fairfax County Public Schools
Olde Creek Elementary,Fairfax County Public Schools,16.4,Olde Creek Elementary Fairfax County Public Schools
Liberty Middle,Fairfax County Public Schools,32.2,Liberty Middle Fairfax County Public Schools
West Springfield Elementary,Fairfax County Public Schools,9,West Springfield Elementary Fairfax County Public Schools
Sherman Elementary,Fairfax County Public Schools,3.6,Sherman Elementary Fairfax County Public Schools
Oakton Elementary,Fairfax County Public Schools,8.4,Oakton Elementary Fairfax County Public Schools
Mosaic Elementary,Fairfax County Public Schools,21.9,Mosaic Elementary Fairfax County Public Schools
Lemon Road Elementary,Fairfax County Public Schools,16.4,Lemon Road Elementary Fairfax County Public Schools
Madison High,Fairfax County Public Schools,9.9,Madison High Fairfax County Public Schools
Fairfax High,Fairfax County Public Schools,24.3,Fairfax High Fairfax County Public Schools
Lake Anne Elementary,Fairfax County Public Schools,39.8,Lake Anne Elementary Fairfax County Public Schools
Twain Middle,Fairfax County Public Schools,33.4,Twain Middle Fairfax County Public Schools
Chantilly High,Fairfax County Public Schools,18.8,Chantilly High Fairfax County Public Schools
Hayfield Elementary,Fairfax County Public Schools,15.1,Hayfield Elementary Fairfax County Public Schools
Newington Forest Elementary,Fairfax County Public Schools,26.5,Newington Forest Elementary Fairfax County Public Schools
Hunters Woods Elementary School for the Arts and Sciences,Fairfax County Public Schools,23,Hunters Woods Elementary School for the Arts and Sciences Fairfax County Public Schools
Cherry Run Elementary,Fairfax County Public Schools,6.3,Cherry Run Elementary Fairfax County Public Schools
Vienna Elementary,Fairfax County Public Schools,7.8,Vienna Elementary Fairfax County Public Schools
Herndon Middle,Fairfax County Public Schools,52,Herndon Middle Fairfax County Public Schools
Brookfield Elementary,Fairfax County Public Schools,62,Brookfield Elementary Fairfax County Public Schools
Lewis High,Fairfax County Public Schools,55.2,Lewis High Fairfax County Public Schools
Mason Crest Elementary,Fairfax County Public Schools,47.6,Mason Crest Elementary Fairfax County Public Schools
Bren Mar Park Elementary,Fairfax County Public Schools,59.4,Bren Mar Park Elementary Fairfax County Public Schools
Lane Elementary,Fairfax County Public Schools,19.7,Lane Elementary Fairfax County Public Schools
Jackson Middle,Fairfax County Public Schools,50.3,Jackson Middle Fairfax County Public Schools
Thoreau Middle,Fairfax County Public Schools,15.5,Thoreau Middle Fairfax County Public Schools
Aldrin Elementary,Fairfax County Public Schools,15.4,Aldrin Elementary Fairfax County Public Schools
Lake Braddock Secondary,Fairfax County Public Schools,15.3,Lake Braddock Secondary Fairfax County Public Schools
Stenwood Elementary,Fairfax County Public Schools,9.2,Stenwood Elementary Fairfax County Public Schools
Woodson High,Fairfax County Public Schools,11.4,Woodson High Fairfax County Public Schools
Greenbriar West Elementary,Fairfax County Public Schools,14.5,Greenbriar West Elementary Fairfax County Public Schools
Floris Elementary,Fairfax County Public Schools,7,Floris Elementary Fairfax County Public Schools
Forest Edge Elementary,Fairfax County Public Schools,51.5,Forest Edge Elementary Fairfax County Public Schools
Bonnie Brae Elementary,Fairfax County Public Schools,18.4,Bonnie Brae Elementary Fairfax County Public Schools
Fort Hunt Elementary,Fairfax County Public Schools,30.5,Fort Hunt Elementary Fairfax County Public Schools
Hughes Middle,Fairfax County Public Schools,37.9,Hughes Middle Fairfax County Public Schools
Laurel Ridge Elementary,Fairfax County Public Schools,8,Laurel Ridge Elementary Fairfax County Public Schools
Stratford Landing Elementary,Fairfax County Public Schools,23.3,Stratford Landing Elementary Fairfax County Public Schools
Beech Tree Elementary,Fairfax County Public Schools,60.3,Beech Tree Elementary Fairfax County Public Schools
White Oaks Elementary,Fairfax County Public Schools,21.9,White Oaks Elementary Fairfax County Public Schools
Powell Elementary,Fairfax County Public Schools,16.6,Powell Elementary Fairfax County Public Schools
Sunrise Valley Elementary,Fairfax County Public Schools,11.3,Sunrise Valley Elementary Fairfax County Public Schools
Fairview Elementary,Grayson County Public Schools,72,Fairview Elementary Grayson County Public Schools
Grayson Highlands,Grayson County Public Schools,59.3,Grayson Highlands Grayson County Public Schools
Independence Middle,Grayson County Public Schools,64.7,Independence Middle Grayson County Public Schools
Grayson County High,Grayson County Public Schools,56.8,Grayson County High Grayson County Public Schools
Independence Elementary,Grayson County Public Schools,69.4,Independence Elementary Grayson County Public Schools
Fries Elementary,Grayson County Public Schools,88.3,Fries Elementary Grayson County Public Schools
Cluster Springs Elementary,Halifax County Public Schools,84.6,Cluster Springs Elementary Halifax County Public Schools
Sinai Elementary,Halifax County Public Schools,84.8,Sinai Elementary Halifax County Public Schools
Clays Mill Elementary,Halifax County Public Schools,84.9,Clays Mill Elementary Halifax County Public Schools
Scottsburg Elementary,Halifax County Public Schools,84.7,Scottsburg Elementary Halifax County Public Schools
Halifax County High,Halifax County Public Schools,84.6,Halifax County High Halifax County Public Schools
South Boston Elementary,Halifax County Public Schools,84.5,South Boston Elementary Halifax County Public Schools
Meadville Elementary,Halifax County Public Schools,84.6,Meadville Elementary Halifax County Public Schools
Sydnor Jennings Elementary,Halifax County Public Schools,84.4,Sydnor Jennings Elementary Halifax County Public Schools
Halifax County Middle,Halifax County Public Schools,84.6,Halifax County Middle Halifax County Public Schools
Elmont Elementary,Hanover County Public Schools,46.6,Elmont Elementary Hanover County Public Schools
John M. Gandy Elementary,Hanover County Public Schools,51.3,John M. Gandy Elementary Hanover County Public Schools
Liberty Middle,Hanover County Public Schools,36.7,Liberty Middle Hanover County Public Schools
Patrick Henry High,Hanover County Public Schools,27.1,Patrick Henry High Hanover County Public Schools
Battlefield Park Elementary,Hanover County Public Schools,16.9,Battlefield Park Elementary Hanover County Public Schools
Cold Harbor Elementary,Hanover County Public Schools,38.2,Cold Harbor Elementary Hanover County Public Schools
Laurel Meadow Elementary,Hanover County Public Schools,28.9,Laurel Meadow Elementary Hanover County Public Schools
Mechanicsville Elementary,Hanover County Public Schools,56,Mechanicsville Elementary Hanover County Public Schools
Mechanicsville High,Hanover County Public Schools,20,Mechanicsville High Hanover County Public Schools
Hanover High,Hanover County Public Schools,14.3,Hanover High Hanover County Public Schools
Kersey Creek Elementary,Hanover County Public Schools,10.9,Kersey Creek Elementary Hanover County Public Schools
Oak Knoll Middle,Hanover County Public Schools,12.3,Oak Knoll Middle Hanover County Public Schools
Pearson's Corner Elementary,Hanover County Public Schools,5.8,Pearson's Corner Elementary Hanover County Public Schools
Pole Green Elementary,Hanover County Public Schools,15.5,Pole Green Elementary Hanover County Public Schools
Rural Point Elementary,Hanover County Public Schools,13.9,Rural Point Elementary Hanover County Public Schools
Bell Creek Middle,Hanover County Public Schools,29.6,Bell Creek Middle Hanover County Public Schools
Beaverdam Elementary,Hanover County Public Schools,26.5,Beaverdam Elementary Hanover County Public Schools
Chickahominy Middle,Hanover County Public Schools,15.4,Chickahominy Middle Hanover County Public Schools
Atlee High,Hanover County Public Schools,10.8,Atlee High Hanover County Public Schools
South Anna Elementary,Hanover County Public Schools,21.9,South Anna Elementary Hanover County Public Schools
Cool Spring Elementary,Hanover County Public Schools,9.2,Cool Spring Elementary Hanover County Public Schools
Glen Lea Elementary,Henrico County Public Schools,82.3,Glen Lea Elementary Henrico County Public Schools
Laburnum Elementary,Henrico County Public Schools,82.2,Laburnum Elementary Henrico County Public Schools
Fairfield Middle,Henrico County Public Schools,82.3,Fairfield Middle Henrico County Public Schools
Harold Macon Ratcliffe Elementary,Henrico County Public Schools,82.2,Harold Macon Ratcliffe Elementary Henrico County Public Schools
Harvie Elementary,Henrico County Public Schools,82.2,Harvie Elementary Henrico County Public Schools
Jacob L. Adams Elementary,Henrico County Public Schools,82.3,Jacob L. Adams Elementary Henrico County Public Schools
Chamberlayne Elementary,Henrico County Public Schools,63.2,Chamberlayne Elementary Henrico County Public Schools
L. Douglas Wilder Middle,Henrico County Public Schools,82.2,L. Douglas Wilder Middle Henrico County Public Schools
Brookland Middle,Henrico County Public Schools,72.9,Brookland Middle Henrico County Public Schools
Elizabeth Holladay Elementary,Henrico County Public Schools,82.3,Elizabeth Holladay Elementary Henrico County Public Schools
George H. Moody Middle,Henrico County Public Schools,30.3,George H. Moody Middle Henrico County Public Schools
Hermitage High,Henrico County Public Schools,54,Hermitage High Henrico County Public Schools
Lakeside Elementary,Henrico County Public Schools,70.7,Lakeside Elementary Henrico County Public Schools
Douglas S. Freeman High,Henrico County Public Schools,31.1,Douglas S. Freeman High Henrico County Public Schools
Ridge Elementary,Henrico County Public Schools,82.4,Ridge Elementary Henrico County Public Schools
Three Chopt Elementary,Henrico County Public Schools,41.6,Three Chopt Elementary Henrico County Public Schools
Tuckahoe Elementary,Henrico County Public Schools,5.9,Tuckahoe Elementary Henrico County Public Schools
Tuckahoe Middle,Henrico County Public Schools,30.4,Tuckahoe Middle Henrico County Public Schools
Charles M. Johnson Elementary,Henrico County Public Schools,82.3,Charles M. Johnson Elementary Henrico County Public Schools
George F. Baker Elementary,Henrico County Public Schools,68.1,George F. Baker Elementary Henrico County Public Schools
Henry D. Ward Elementary,Henrico County Public Schools,82.3,Henry D. Ward Elementary Henrico County Public Schools
John Rolfe Middle,Henrico County Public Schools,82.2,John Rolfe Middle Henrico County Public Schools
Montrose Elementary,Henrico County Public Schools,82.2,Montrose Elementary Henrico County Public Schools
Varina Elementary,Henrico County Public Schools,49.7,Varina Elementary Henrico County Public Schools
Varina High,Henrico County Public Schools,52.4,Varina High Henrico County Public Schools
Gayton Elementary,Henrico County Public Schools,10.8,Gayton Elementary Henrico County Public Schools
Nuckols Farm Elementary,Henrico County Public Schools,8,Nuckols Farm Elementary Henrico County Public Schools
Pemberton Elementary,Henrico County Public Schools,16.8,Pemberton Elementary Henrico County Public Schools
Quioccasin Middle,Henrico County Public Schools,48.1,Quioccasin Middle Henrico County Public Schools
Short Pump Elementary,Henrico County Public Schools,11.2,Short Pump Elementary Henrico County Public Schools
Mills E. Godwin High,Henrico County Public Schools,16,Mills E. Godwin High Henrico County Public Schools
John Randolph Tucker High,Henrico County Public Schools,46.2,John Randolph Tucker High Henrico County Public Schools
R.C. Longan Elementary,Henrico County Public Schools,55.5,R.C. Longan Elementary Henrico County Public Schools
Cashell Donahoe Elementary,Henrico County Public Schools,82.2,Cashell Donahoe Elementary Henrico County Public Schools
Elko Middle,Henrico County Public Schools,62.9,Elko Middle Henrico County Public Schools
Sandston Elementary,Henrico County Public Schools,82.4,Sandston Elementary Henrico County Public Schools
Seven Pines Elementary,Henrico County Public Schools,55.9,Seven Pines Elementary Henrico County Public Schools
Colonial Trail Elementary,Henrico County Public Schools,11,Colonial Trail Elementary Henrico County Public Schools
Deep Run High,Henrico County Public Schools,7.5,Deep Run High Henrico County Public Schools
Rivers Edge Elementary,Henrico County Public Schools,5.4,Rivers Edge Elementary Henrico County Public Schools
Shady Grove Elementary,Henrico County Public Schools,5,Shady Grove Elementary Henrico County Public Schools
Twin Hickory Elementary,Henrico County Public Schools,11.9,Twin Hickory Elementary Henrico County Public Schools
Glen Allen High,Henrico County Public Schools,18.5,Glen Allen High Henrico County Public Schools
Longdale Elementary,Henrico County Public Schools,82.2,Longdale Elementary Henrico County Public Schools
Short Pump Middle,Henrico County Public Schools,9,Short Pump Middle Henrico County Public Schools
Springfield Park Elementary,Henrico County Public Schools,27.7,Springfield Park Elementary Henrico County Public Schools
Fair Oaks Elementary,Henrico County Public Schools,82.3,Fair Oaks Elementary Henrico County Public Schools
Highland Springs Elementary,Henrico County Public Schools,82.2,Highland Springs Elementary Henrico County Public Schools
Highland Springs High,Henrico County Public Schools,59.6,Highland Springs High Henrico County Public Schools
Maude Trevvett Elementary,Henrico County Public Schools,54.7,Maude Trevvett Elementary Henrico County Public Schools
Pocahontas Middle,Henrico County Public Schools,21,Pocahontas Middle Henrico County Public Schools
Echo Lake Elementary,Henrico County Public Schools,23,Echo Lake Elementary Henrico County Public Schools
Glen Allen Elementary,Henrico County Public Schools,14.9,Glen Allen Elementary Henrico County Public Schools
Dumbarton Elementary,Henrico County Public Schools,80.3,Dumbarton Elementary Henrico County Public Schools
Crestview Elementary,Henrico County Public Schools,47.7,Crestview Elementary Henrico County Public Schools
Maybeury Elementary,Henrico County Public Schools,34.2,Maybeury Elementary Henrico County Public Schools
Henrico High,Henrico County Public Schools,51.2,Henrico High Henrico County Public Schools
Skipwith Elementary,Henrico County Public Schools,57,Skipwith Elementary Henrico County Public Schools
Pinchbeck Elementary,Henrico County Public Schools,43.5,Pinchbeck Elementary Henrico County Public Schools
Ruby F. Carver Elementary,Henrico County Public Schools,45.9,Ruby F. Carver Elementary Henrico County Public Schools
Jackson Davis Elementary,Henrico County Public Schools,34.9,Jackson Davis Elementary Henrico County Public Schools
Harrington Waddell Elementary,Lexington City Public Schools,23,Harrington Waddell Elementary Lexington City Public Schools
Lylburn Downing Middle,Lexington City Public Schools,23.7,Lylburn Downing Middle Lexington City Public Schools
Aldie Elementary,Loudoun County Public Schools,13.3,Aldie Elementary Loudoun County Public Schools
Arcola Elementary,Loudoun County Public Schools,10.2,Arcola Elementary Loudoun County Public Schools
Buffalo Trail Elementary,Loudoun County Public Schools,5.6,Buffalo Trail Elementary Loudoun County Public Schools
Goshen Post Elementary,Loudoun County Public Schools,4.6,Goshen Post Elementary Loudoun County Public Schools
John Champe High,Loudoun County Public Schools,11.8,John Champe High Loudoun County Public Schools
Pinebrook Elementary,Loudoun County Public Schools,8.9,Pinebrook Elementary Loudoun County Public Schools
Broad Run High,Loudoun County Public Schools,17.8,Broad Run High Loudoun County Public Schools
Cedar Lane Elementary,Loudoun County Public Schools,17.2,Cedar Lane Elementary Loudoun County Public Schools
Discovery Elementary,Loudoun County Public Schools,20.3,Discovery Elementary Loudoun County Public Schools
Sanders Corner Elementary,Loudoun County Public Schools,13.7,Sanders Corner Elementary Loudoun County Public Schools
Steuart W. Weller Elementary,Loudoun County Public Schools,22.2,Steuart W. Weller Elementary Loudoun County Public Schools
Stone Bridge High,Loudoun County Public Schools,10.4,Stone Bridge High Loudoun County Public Schools
Trailside Middle,Loudoun County Public Schools,11.6,Trailside Middle Loudoun County Public Schools
Brambleton Middle,Loudoun County Public Schools,5.6,Brambleton Middle Loudoun County Public Schools
Creighton's Corner Elementary,Loudoun County Public Schools,12.5,Creighton's Corner Elementary Loudoun County Public Schools
Eagle Ridge Middle,Loudoun County Public Schools,5.7,Eagle Ridge Middle Loudoun County Public Schools
Hillside Elementary,Loudoun County Public Schools,8.4,Hillside Elementary Loudoun County Public Schools
Independence High,Loudoun County Public Schools,7.7,Independence High Loudoun County Public Schools
Madison's Trust Elementary,Loudoun County Public Schools,3.4,Madison's Trust Elementary Loudoun County Public Schools
Mill Run Elementary,Loudoun County Public Schools,2.8,Mill Run Elementary Loudoun County Public Schools
Moorefield Station Elementary,Loudoun County Public Schools,13.1,Moorefield Station Elementary Loudoun County Public Schools
Rock Ridge High,Loudoun County Public Schools,11.8,Rock Ridge High Loudoun County Public Schools
Rosa Lee Carter Elementary,Loudoun County Public Schools,6.4,Rosa Lee Carter Elementary Loudoun County Public Schools
Stone Hill Middle,Loudoun County Public Schools,11.6,Stone Hill Middle Loudoun County Public Schools
Waxpool Elementary,Loudoun County Public Schools,6.6,Waxpool Elementary Loudoun County Public Schools
Hamilton Elementary,Loudoun County Public Schools,13.6,Hamilton Elementary Loudoun County Public Schools
Harmony Middle,Loudoun County Public Schools,7.7,Harmony Middle Loudoun County Public Schools
Kenneth W.Culbert Elementary,Loudoun County Public Schools,8.3,Kenneth W.Culbert Elementary Loudoun County Public Schools
Catoctin Elementary,Loudoun County Public Schools,26.8,Catoctin Elementary Loudoun County Public Schools
Frederick Douglass Elementary,Loudoun County Public Schools,42.1,Frederick Douglass Elementary Loudoun County Public Schools
Heritage High,Loudoun County Public Schools,22.5,Heritage High Loudoun County Public Schools
J. Lupton Simpson Middle,Loudoun County Public Schools,23.7,J. Lupton Simpson Middle Loudoun County Public Schools
Loudoun County High,Loudoun County Public Schools,17.9,Loudoun County High Loudoun County Public Schools
Ball's Bluff Elementary,Loudoun County Public Schools,21.8,Ball's Bluff Elementary Loudoun County Public Schools
Belmont Ridge Middle,Loudoun County Public Schools,10.6,Belmont Ridge Middle Loudoun County Public Schools
Harper Park Middle,Loudoun County Public Schools,22.6,Harper Park Middle Loudoun County Public Schools
Lucketts Elementary,Loudoun County Public Schools,20,Lucketts Elementary Loudoun County Public Schools
Riverside High,Loudoun County Public Schools,9.6,Riverside High Loudoun County Public Schools
Seldens Landing Elementary,Loudoun County Public Schools,10.3,Seldens Landing Elementary Loudoun County Public Schools
Tuscarora High,Loudoun County Public Schools,26,Tuscarora High Loudoun County Public Schools
Dominion High,Loudoun County Public Schools,30.2,Dominion High Loudoun County Public Schools
Guilford Elementary,Loudoun County Public Schools,81.7,Guilford Elementary Loudoun County Public Schools
Park View High,Loudoun County Public Schools,66.3,Park View High Loudoun County Public Schools
Seneca Ridge Middle,Loudoun County Public Schools,35.5,Seneca Ridge Middle Loudoun County Public Schools
Sterling Elementary,Loudoun County Public Schools,61.9,Sterling Elementary Loudoun County Public Schools
Sterling Middle,Loudoun County Public Schools,71.8,Sterling Middle Loudoun County Public Schools
Sugarland Elementary,Loudoun County Public Schools,71,Sugarland Elementary Loudoun County Public Schools
Sully Elementary,Loudoun County Public Schools,84.3,Sully Elementary Loudoun County Public Schools
Algonkian Elementary,Loudoun County Public Schools,11,Algonkian Elementary Loudoun County Public Schools
Countryside Elementary,Loudoun County Public Schools,33.9,Countryside Elementary Loudoun County Public Schools
Horizon Elementary,Loudoun County Public Schools,16.5,Horizon Elementary Loudoun County Public Schools
Lowes Island Elementary,Loudoun County Public Schools,8.7,Lowes Island Elementary Loudoun County Public Schools
River Bend Middle,Loudoun County Public Schools,24.7,River Bend Middle Loudoun County Public Schools
