School Name,Division Name,End_of_Year_Average_Daily_Membership,School_Level_Expenditures_Per_Pupil_Federal,School_Level_Expenditures_Per_Pupil_State,Division_Level_Expenditures_Per_Pupil_Federal,Division_Level_Expenditures_Per_Pupil_State,Total_Per_Pupil_Expenditures,Total_Expenditures,Sch_Div
Kegotank Elementary,Accomack County Public Schools,488.22,1425,8261,588,3206,13479,6580787,Kegotank Elementary Accomack County Public Schools
Chincoteague High,Accomack County Public Schools,266.56,480,9685,588,3206,13958,3720706,Chincoteague High Accomack County Public Schools
Chincoteague Elementary,Accomack County Public Schools,228.47,564,9201,588,3206,13559,3097765,Chincoteague Elementary Accomack County Public Schools
George Washington Middle,Alexandria City Public Schools,1406.97,44,13407,945,4703,19099,26871453,George Washington Middle Alexandria City Public Schools
Naomi L. Brooks Elementary,Alexandria City Public Schools,342.11,0,14786,945,4703,20434,6990520,Naomi L. Brooks Elementary Alexandria City Public Schools
Alexandria City High School,Alexandria City Public Schools,4289.85,476,14768,945,4703,20891,89620441,Alexandria City High School Alexandria City Public Schools
Douglas MacArthur Elementary,Alexandria City Public Schools,571.12,0,13037,945,4703,18684,10670943,Douglas MacArthur Elementary Alexandria City Public Schools
Francis C. Hammond Middle,Alexandria City Public Schools,1428.89,755,13362,945,4703,19764,28241068,Francis C. Hammond Middle Alexandria City Public Schools
Patrick Henry K-8 School,Alexandria City Public Schools,930.99,518,11157,945,4703,17322,16126671,Patrick Henry K-8 School Alexandria City Public Schools
Samuel W. Tucker Elementary,Alexandria City Public Schools,760.79,35,12344,945,4703,18027,13714466,Samuel W. Tucker Elementary Alexandria City Public Schools
Cora Kelly School for Math Science and Technology,Alexandria City Public Schools,277.41,2845,23590,945,4703,32082,8899944,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
Mount Vernon Elementary,Alexandria City Public Schools,890.53,28,11596,945,4703,17271,15380647,Mount Vernon Elementary Alexandria City Public Schools
Ferdinand T. Day Elementary,Alexandria City Public Schools,599.15,535,10486,945,4703,16668,9986655,Ferdinand T. Day Elementary Alexandria City Public Schools
John Adams Elementary,Alexandria City Public Schools,730.42,1532,15120,945,4703,22300,16288111,John Adams Elementary Alexandria City Public Schools
William Ramsay Elementary,Alexandria City Public Schools,633.34,697,14764,945,4703,21109,13369063,William Ramsay Elementary Alexandria City Public Schools
Jefferson-Houston PK-8 School,Alexandria City Public Schools,646.92,764,15044,945,4703,21455,13879642,Jefferson-Houston PK-8 School Alexandria City Public Schools
George Mason Elementary,Alexandria City Public Schools,343.42,30,16840,945,4703,22518,7733029,George Mason Elementary Alexandria City Public Schools
James K. Polk Elementary,Alexandria City Public Schools,768.92,522,11958,945,4703,18128,13938795,James K. Polk Elementary Alexandria City Public Schools
Charles Barrett Elementary,Alexandria City Public Schools,566.57,0,13039,945,4703,18687,10587298,Charles Barrett Elementary Alexandria City Public Schools
Lyles-Crouch Elementary,Alexandria City Public Schools,406.5,0,14678,945,4703,20326,8262398,Lyles-Crouch Elementary Alexandria City Public Schools
Grundy High,Buchanan County Public Schools,353.27,842,6789,1116,4297,13044,4607980,Grundy High Buchanan County Public Schools
Riverview Elementary/Middle,Buchanan County Public Schools,732.87,1461,4769,1116,4297,11643,8532881,Riverview Elementary/Middle Buchanan County Public Schools
Hurley High,Buchanan County Public Schools,203.59,1299,6021,1116,4297,12732,2592135,Hurley High Buchanan County Public Schools
Twin Valley High,Buchanan County Public Schools,195.94,970,6844,1116,4297,13227,2591692,Twin Valley High Buchanan County Public Schools
Council Elementary/Middle,Buchanan County Public Schools,181.77,2192,5900,1116,4297,13504,2454672,Council Elementary/Middle Buchanan County Public Schools
Hurley Elementary/Middle,Buchanan County Public Schools,365.5,1453,6212,1116,4297,13078,4779944,Hurley Elementary/Middle Buchanan County Public Schools
Twin Valley Elementary/Middle,Buchanan County Public Schools,290.62,1968,5027,1116,4297,12408,3605937,Twin Valley Elementary/Middle Buchanan County Public Schools
William Campbell High,Campbell County Public Schools,395.92,392,9655,654,3352,14052,5563588,William Campbell High Campbell County Public Schools
Concord Elementary,Campbell County Public Schools,409.42,1086,6812,654,3352,11904,4873573,Concord Elementary Campbell County Public Schools
Rustburg High,Campbell County Public Schools,790.62,360,6974,654,3352,11339,8964947,Rustburg High Campbell County Public Schools
Yellow Branch Elementary,Campbell County Public Schools,562.19,1051,6478,654,3352,11535,6484831,Yellow Branch Elementary Campbell County Public Schools
Altavista High,Campbell County Public Schools,685.62,486,6923,654,3352,11414,7825450,Altavista High Campbell County Public Schools
Brookville Middle,Campbell County Public Schools,726.19,332,6124,654,3352,10461,7596504,Brookville Middle Campbell County Public Schools
Leesville Road Elementary,Campbell County Public Schools,599.55,1099,6667,654,3352,11771,7057354,Leesville Road Elementary Campbell County Public Schools
Altavista Elementary,Campbell County Public Schools,491.74,1136,6935,654,3352,12076,5938358,Altavista Elementary Campbell County Public Schools
Brookville High,Campbell County Public Schools,981.92,460,5816,654,3352,10281,10095370,Brookville High Campbell County Public Schools
Brookneal Elementary,Campbell County Public Schools,405.69,1194,6746,654,3352,11945,4845830,Brookneal Elementary Campbell County Public Schools
Rustburg Middle,Campbell County Public Schools,602.05,414,7322,654,3352,11741,7068425,Rustburg Middle Campbell County Public Schools
Rustburg Elementary,Campbell County Public Schools,436.5,1875,6921,654,3352,12801,5587740,Rustburg Elementary Campbell County Public Schools
Tomahawk Elementary,Campbell County Public Schools,693.27,624,5713,654,3352,10342,7169834,Tomahawk Elementary Campbell County Public Schools
Bowling Green Elementary,Caroline County Public Schools,740.93,1103,6754,248,3380,11485,8509307,Bowling Green Elementary Caroline County Public Schools
Caroline High,Caroline County Public Schools,1164.68,305,7376,248,3380,11309,13170971,Caroline High Caroline County Public Schools
Caroline Middle,Caroline County Public Schools,948.4,727,6745,248,3380,11100,10527204,Caroline Middle Caroline County Public Schools
Madison Elementary,Caroline County Public Schools,444.51,1090,8160,248,3380,12878,5724305,Madison Elementary Caroline County Public Schools
Lewis and Clark Elementary,Caroline County Public Schools,880.23,303,6980,248,3380,10911,9604328,Lewis and Clark Elementary Caroline County Public Schools
Greenbrier Middle,Chesapeake City Public Schools,843.96,820,13319,228,3266,17633,14881916,Greenbrier Middle Chesapeake City Public Schools
Oscar F. Smith High,Chesapeake City Public Schools,2223.6,294,9154,228,3266,12942,28778450,Oscar F. Smith High Chesapeake City Public Schools
Edwin W. Chittum Elementary,Chesapeake City Public Schools,761.04,967,8359,228,3266,12821,9756974,Edwin W. Chittum Elementary Chesapeake City Public Schools
Jolliff Middle,Chesapeake City Public Schools,698.62,404,10138,228,3266,14036,9806116,Jolliff Middle Chesapeake City Public Schools
Southwestern Elementary,Chesapeake City Public Schools,554.98,1245,8765,228,3266,13505,7494761,Southwestern Elementary Chesapeake City Public Schools
Western Branch High,Chesapeake City Public Schools,2061.79,221,8425,228,3266,12140,25030923,Western Branch High Chesapeake City Public Schools
Western Branch Intermediate,Chesapeake City Public Schools,735.64,540,7904,228,3266,11939,8782923,Western Branch Intermediate Chesapeake City Public Schools
Butts Road Intermediate,Chesapeake City Public Schools,621.34,529,8274,228,3266,12298,7641482,Butts Road Intermediate Chesapeake City Public Schools
Cedar Road Elementary,Chesapeake City Public Schools,843.64,531,7827,228,3266,11852,9998932,Cedar Road Elementary Chesapeake City Public Schools
Great Bridge High,Chesapeake City Public Schools,1617.12,286,9302,228,3266,13083,21156313,Great Bridge High Chesapeake City Public Schools
Great Bridge Middle,Chesapeake City Public Schools,1212.24,240,7915,228,3266,11650,14122267,Great Bridge Middle Chesapeake City Public Schools
Hickory Elementary,Chesapeake City Public Schools,567.6,717,7862,228,3266,12073,6852819,Hickory Elementary Chesapeake City Public Schools
Hickory High,Chesapeake City Public Schools,1594.12,201,10218,228,3266,13913,22178794,Hickory High Chesapeake City Public Schools
Hickory Middle,Chesapeake City Public Schools,1333,97,7896,228,3266,11488,15313758,Hickory Middle Chesapeake City Public Schools
Southeastern Elementary,Chesapeake City Public Schools,846.21,818,8571,228,3266,12884,10902880,Southeastern Elementary Chesapeake City Public Schools
Deep Creek Central Elementary,Chesapeake City Public Schools,832.77,476,7089,228,3266,11060,9210365,Deep Creek Central Elementary Chesapeake City Public Schools
Deep Creek Elementary,Chesapeake City Public Schools,765.94,363,8257,228,3266,12114,9278625,Deep Creek Elementary Chesapeake City Public Schools
Deep Creek High,Chesapeake City Public Schools,1595.61,255,10259,228,3266,14008,22351858,Deep Creek High Chesapeake City Public Schools
Deep Creek Middle,Chesapeake City Public Schools,796.42,175,9432,228,3266,13102,10434465,Deep Creek Middle Chesapeake City Public Schools
Grassfield High,Chesapeake City Public Schools,2266.33,137,8114,228,3266,11746,26620635,Grassfield High Chesapeake City Public Schools
Hugo A. Owens Middle,Chesapeake City Public Schools,1319.68,221,7220,228,3266,10935,14430851,Hugo A. Owens Middle Chesapeake City Public Schools
Oscar Smith Middle,Chesapeake City Public Schools,1008.85,1028,8743,228,3266,13266,13383340,Oscar Smith Middle Chesapeake City Public Schools
Truitt Intermediate,Chesapeake City Public Schools,261.41,2284,12157,228,3266,17936,4688736,Truitt Intermediate Chesapeake City Public Schools
Indian River High,Chesapeake City Public Schools,1665.49,178,9565,228,3266,13238,22047553,Indian River High Chesapeake City Public Schools
Indian River Middle,Chesapeake City Public Schools,739.08,152,9644,228,3266,13291,9822860,Indian River Middle Chesapeake City Public Schools
Sparrow Road Intermediate,Chesapeake City Public Schools,474.49,1246,8183,228,3266,12923,6132023,Sparrow Road Intermediate Chesapeake City Public Schools
Crestwood Middle,Chesapeake City Public Schools,560.59,470,9752,228,3266,13717,7689759,Crestwood Middle Chesapeake City Public Schools
Grassfield Elementary,Chesapeake City Public Schools,1285.38,297,8156,228,3266,11947,15356783,Grassfield Elementary Chesapeake City Public Schools
Camelot Elementary,Chesapeake City Public Schools,494.99,1291,8847,228,3266,13632,6747779,Camelot Elementary Chesapeake City Public Schools
G.A. Treakle Elementary,Chesapeake City Public Schools,434.31,1385,11851,228,3266,16731,7266589,G.A. Treakle Elementary Chesapeake City Public Schools
Norfolk Highlands Primary,Chesapeake City Public Schools,278.62,2017,12282,228,3266,17794,4957845,Norfolk Highlands Primary Chesapeake City Public Schools
Great Bridge Intermediate,Chesapeake City Public Schools,688.03,274,7465,228,3266,11233,7728977,Great Bridge Intermediate Chesapeake City Public Schools
Crestwood Intermediate,Chesapeake City Public Schools,696.12,1370,7723,228,3266,12587,8762017,Crestwood Intermediate Chesapeake City Public Schools
George W. Carver Intermediate,Chesapeake City Public Schools,510.68,1328,9668,228,3266,14490,7399978,George W. Carver Intermediate Chesapeake City Public Schools
Georgetown Primary,Chesapeake City Public Schools,727.06,946,9063,228,3266,13503,9817843,Georgetown Primary Chesapeake City Public Schools
Western Branch Middle,Chesapeake City Public Schools,909.62,203,8362,228,3266,12059,10969546,Western Branch Middle Chesapeake City Public Schools
Greenbrier Intermediate,Chesapeake City Public Schools,626.44,939,7740,228,3266,12173,7625902,Greenbrier Intermediate Chesapeake City Public Schools
Thurgood Marshall Elementary,Chesapeake City Public Schools,432.97,2292,9777,228,3266,15564,6738546,Thurgood Marshall Elementary Chesapeake City Public Schools
A.G. Richardson Elementary,Culpeper County Public Schools,535.93,208,9466,745,2110,12529,6714834,A.G. Richardson Elementary Culpeper County Public Schools
Culpeper County High,Culpeper County Public Schools,1182.01,198,9208,745,2110,12261,14493019,Culpeper County High Culpeper County Public Schools
Culpeper Middle,Culpeper County Public Schools,1099.85,446,7429,745,2110,10730,11801053,Culpeper Middle Culpeper County Public Schools
Eastern View High,Culpeper County Public Schools,1538.23,106,7055,745,2110,10016,15406352,Eastern View High Culpeper County Public Schools
Farmington Elementary,Culpeper County Public Schools,487.75,895,9239,745,2110,12990,6335720,Farmington Elementary Culpeper County Public Schools
Floyd T. Binns Middle,Culpeper County Public Schools,836.81,179,8189,745,2110,11224,9392008,Floyd T. Binns Middle Culpeper County Public Schools
Sycamore Park Elementary,Culpeper County Public Schools,693.43,745,7877,745,2110,11477,7958322,Sycamore Park Elementary Culpeper County Public Schools
Yowell Elementary,Culpeper County Public Schools,661.2,136,7748,745,2110,10738,7100226,Yowell Elementary Culpeper County Public Schools
Emerald Hill Elementary,Culpeper County Public Schools,693.97,328,7420,745,2110,10603,7358338,Emerald Hill Elementary Culpeper County Public Schools
Pearl Sample Elementary,Culpeper County Public Schools,609.18,598,8751,745,2110,12204,7434178,Pearl Sample Elementary Culpeper County Public Schools
H.M. Pearson Elementary,Fauquier County Public Schools,374.51,441,8920,641,3870,13871,5194895,H.M. Pearson Elementary Fauquier County Public Schools
Claude Thompson Elementary,Fauquier County Public Schools,263.16,846,10916,641,3870,16273,4282360,Claude Thompson Elementary Fauquier County Public Schools
Margaret M. Pierce Elementary,Fauquier County Public Schools,531.1,385,8311,641,3870,13206,7013847,Margaret M. Pierce Elementary Fauquier County Public Schools
C.M. Bradley Elementary,Fauquier County Public Schools,345.18,0,11004,641,3870,15514,5355209,C.M. Bradley Elementary Fauquier County Public Schools
James G. Brumfield Elementary,Fauquier County Public Schools,495.95,0,9223,641,3870,13733,6811104,James G. Brumfield Elementary Fauquier County Public Schools
W.C. Taylor Middle,Fauquier County Public Schools,452.4,203,8943,641,3870,13656,6178144,W.C. Taylor Middle Fauquier County Public Schools
Warrenton Middle,Fauquier County Public Schools,373.7,0,10474,641,3870,14985,5599771,Warrenton Middle Fauquier County Public Schools
P.B. Smith Elementary,Fauquier County Public Schools,425.88,81,8467,641,3870,13058,5561146,P.B. Smith Elementary Fauquier County Public Schools
Greenville Elementary,Fauquier County Public Schools,502.83,0,8375,641,3870,12886,6479424,Greenville Elementary Fauquier County Public Schools
Mary Walter Elementary,Fauquier County Public Schools,418.28,335,8304,641,3870,13150,5500248,Mary Walter Elementary Fauquier County Public Schools
Grace Miller Elementary,Fauquier County Public Schools,506.94,200,9243,641,3870,13953,7073538,Grace Miller Elementary Fauquier County Public Schools
Liberty High,Fauquier County Public Schools,1315.41,0,9143,641,3870,13653,17959478,Liberty High Fauquier County Public Schools
Marshall Middle,Fauquier County Public Schools,429.65,0,11280,641,3870,15791,6784549,Marshall Middle Fauquier County Public Schools
Auburn Middle,Fauquier County Public Schools,584.98,0,8251,641,3870,12761,7465173,Auburn Middle Fauquier County Public Schools
W.G. Coleman Elementary,Fauquier County Public Schools,316.05,714,11132,641,3870,16356,5169218,W.G. Coleman Elementary Fauquier County Public Schools
Fauquier High,Fauquier County Public Schools,1196.1,0,10881,641,3870,15391,18409678,Fauquier High Fauquier County Public Schools
Kettle Run High,Fauquier County Public Schools,1135.86,0,9913,641,3870,14424,16383470,Kettle Run High Fauquier County Public Schools
Cedar Lee Middle,Fauquier County Public Schools,636.15,5,8305,641,3870,12821,8156308,Cedar Lee Middle Fauquier County Public Schools
C. Hunter Ritchie Elementary,Fauquier County Public Schools,496.08,0,8218,641,3870,12728,6314209,C. Hunter Ritchie Elementary Fauquier County Public Schools
Fluvanna County High,Fluvanna County Public Schools,1437.39,391,7482,442,3753,12069,17348207,Fluvanna County High Fluvanna County Public Schools
Fluvanna Middle,Fluvanna County Public Schools,751.97,493,7447,442,3753,12136,9125769,Fluvanna Middle Fluvanna County Public Schools
Carysbrook Elementary,Fluvanna County Public Schools,452.6,1160,7784,442,3753,13139,5946892,Carysbrook Elementary Fluvanna County Public Schools
Henry Elementary,Franklin County Public Schools,161.88,2704,9665,55,3463,15887,2571835,Henry Elementary Franklin County Public Schools
Burnt Chimney Elementary,Franklin County Public Schools,256.01,2277,10485,55,3463,16281,4167972,Burnt Chimney Elementary Franklin County Public Schools
Ferrum Elementary,Franklin County Public Schools,209.34,2338,9009,55,3463,14865,3111875,Ferrum Elementary Franklin County Public Schools
Snow Creek Elementary,Franklin County Public Schools,205.44,2042,9523,55,3463,15083,3098575,Snow Creek Elementary Franklin County Public Schools
Boones Mill Elementary,Franklin County Public Schools,277.87,1163,8408,55,3463,13089,3636970,Boones Mill Elementary Franklin County Public Schools
Benjamin Franklin Middle,Franklin County Public Schools,1477.58,1194,8630,55,3463,13342,19713494,Benjamin Franklin Middle Franklin County Public Schools
Rocky Mount Elementary,Franklin County Public Schools,285.62,2064,12297,55,3463,17880,5106756,Rocky Mount Elementary Franklin County Public Schools
Glade Hill Elementary,Franklin County Public Schools,211.43,1979,8534,55,3463,14031,2966654,Glade Hill Elementary Franklin County Public Schools
Callaway Elementary,Franklin County Public Schools,167.73,2420,12300,55,3463,18238,3059075,Callaway Elementary Franklin County Public Schools
Sontag Elementary,Franklin County Public Schools,219.36,2747,9778,55,3463,16044,3519339,Sontag Elementary Franklin County Public Schools
Franklin County High,Franklin County Public Schools,1829.44,510,8008,55,3463,12036,22018283,Franklin County High Franklin County Public Schools
Lee M. Waid Elementary,Franklin County Public Schools,388.06,2091,7025,55,3463,12634,4902623,Lee M. Waid Elementary Franklin County Public Schools
Windy Gap Elementary,Franklin County Public Schools,278.66,768,7369,55,3463,11654,3247572,Windy Gap Elementary Franklin County Public Schools
Dudley Elementary,Franklin County Public Schools,233.8,1533,8650,55,3463,13701,3203332,Dudley Elementary Franklin County Public Schools
Highland Elementary,Highland County Public Schools,92.82,2050,12602,92,6526,21270,1974258,Highland Elementary Highland County Public Schools
Highland High,Highland County Public Schools,91.27,1801,15872,92,6526,24291,2217050,Highland High Highland County Public Schools
George W. Watkins Elementary,New Kent County Public Schools,737.99,54,6718,110,3631,10513,7758614,George W. Watkins Elementary New Kent County Public Schools
Crewe Primary,Nottoway County Public Schools,355.38,871,5801,2045,3990,12707,4515867,Crewe Primary Nottoway County Public Schools
Nottoway High,Nottoway County Public Schools,545.64,47,6841,2045,3990,12923,7051223,Nottoway High Nottoway County Public Schools
Nottoway Intermediate,Nottoway County Public Schools,235.43,1016,6916,2045,3990,13966,3287994,Nottoway Intermediate Nottoway County Public Schools
Nottoway Middle,Nottoway County Public Schools,267.23,521,7957,2045,3990,14513,3878263,Nottoway Middle Nottoway County Public Schools
Blackstone Primary,Nottoway County Public Schools,392.79,634,6073,2045,3990,12742,5004948,Blackstone Primary Nottoway County Public Schools
Cool Spring Elementary,Petersburg City Public Schools,518.36,1180,6508,1266,4000,12954,6714577,Cool Spring Elementary Petersburg City Public Schools
Lakemont Elementary,Petersburg City Public Schools,350.49,2613,8115,1266,4000,15993,5605391,Lakemont Elementary Petersburg City Public Schools
Pleasants Lane Elementary,Petersburg City Public Schools,515.53,2082,6980,1266,4000,14327,7386127,Pleasants Lane Elementary Petersburg City Public Schools
Vernon Johns Middle,Petersburg City Public Schools,894.54,1386,7141,1266,4000,13792,12337307,Vernon Johns Middle Petersburg City Public Schools
Walnut Hill Elementary,Petersburg City Public Schools,510.7,1325,6580,1266,4000,13170,6725898,Walnut Hill Elementary Petersburg City Public Schools
Petersburg High,Petersburg City Public Schools,918.68,1040,9767,1266,4000,16072,14764845,Petersburg High Petersburg City Public Schools
Simonsdale Elementary,Portsmouth City Public Schools,583.19,805,8100,548,3432,12884,7514094,Simonsdale Elementary Portsmouth City Public Schools
Hodges Manor Elementary,Portsmouth City Public Schools,489.76,483,8013,548,3432,12476,6110230,Hodges Manor Elementary Portsmouth City Public Schools
Manor High,Portsmouth City Public Schools,1220.88,81,9282,548,3432,13343,16290107,Manor High Portsmouth City Public Schools
Douglass Park Elementary,Portsmouth City Public Schools,572.06,705,7768,548,3432,12454,7124164,Douglass Park Elementary Portsmouth City Public Schools
Lakeview Elementary,Portsmouth City Public Schools,435.72,709,8516,548,3432,13205,5753822,Lakeview Elementary Portsmouth City Public Schools
William E. Waters Middle,Portsmouth City Public Schools,557.41,356,9785,548,3432,14121,7871288,William E. Waters Middle Portsmouth City Public Schools
Victory Elementary,Portsmouth City Public Schools,563.66,652,6942,548,3432,11574,6523809,Victory Elementary Portsmouth City Public Schools
Cradock Middle,Portsmouth City Public Schools,518.31,310,9548,548,3432,13837,7172066,Cradock Middle Portsmouth City Public Schools
Cradock Elementary,Portsmouth City Public Schools,633.48,695,6632,548,3432,11307,7162743,Cradock Elementary Portsmouth City Public Schools
Churchland Primary & Intermediate,Portsmouth City Public Schools,588.43,522,6672,548,3432,11175,6575789,Churchland Primary & Intermediate Portsmouth City Public Schools
Churchland Academy Elementary,Portsmouth City Public Schools,640.61,559,7239,548,3432,11777,7544727,Churchland Academy Elementary Portsmouth City Public Schools
Churchland Middle,Portsmouth City Public Schools,892.15,68,8357,548,3432,12405,11067059,Churchland Middle Portsmouth City Public Schools
Churchland High,Portsmouth City Public Schools,1374.7,47,8247,548,3432,12274,16873294,Churchland High Portsmouth City Public Schools
Park View Elementary,Portsmouth City Public Schools,517.41,883,7472,548,3432,12336,6382520,Park View Elementary Portsmouth City Public Schools
I.C. Norcom High,Portsmouth City Public Schools,1016.2,403,9530,548,3432,13913,14138776,I.C. Norcom High Portsmouth City Public Schools
Waterview Elementary,Portsmouth City Public Schools,601.26,793,6568,548,3432,11342,6819318,Waterview Elementary Portsmouth City Public Schools
Westhaven Elementary,Portsmouth City Public Schools,463.59,986,8809,548,3432,13775,6386156,Westhaven Elementary Portsmouth City Public Schools
Churchland Elementary,Portsmouth City Public Schools,668.07,138,8068,548,3432,12186,8141201,Churchland Elementary Portsmouth City Public Schools
Flat Rock Elementary,Powhatan County Public Schools,669.44,365,8979,137,3561,13042,8731114,Flat Rock Elementary Powhatan County Public Schools
Powhatan Elementary,Powhatan County Public Schools,433.26,674,9325,137,3561,13697,5934322,Powhatan Elementary Powhatan County Public Schools
Powhatan Middle,Powhatan County Public Schools,973.78,482,7899,137,3561,12079,11762036,Powhatan Middle Powhatan County Public Schools
Pocahontas Elementary,Powhatan County Public Schools,762.85,683,7539,137,3561,11920,9093228,Pocahontas Elementary Powhatan County Public Schools
Powhatan High,Powhatan County Public Schools,1375.74,140,7582,137,3561,11420,15710497,Powhatan High Powhatan County Public Schools
Rappahannock High,Richmond County Public Schools,534.5,732,7008,491,3499,11729,6269412,Rappahannock High Richmond County Public Schools
Richmond County Elementary,Richmond County Public Schools,795.24,1631,6756,491,3499,12376,9842273,Richmond County Elementary Richmond County Public Schools
Edward E. Drew Jr. Middle,Stafford County Public Schools,618.74,614,10220,237,3487,14557,9007271,Edward E. Drew Jr. Middle Stafford County Public Schools
Falmouth Elementary,Stafford County Public Schools,593.06,678,9725,237,3487,14127,8378122,Falmouth Elementary Stafford County Public Schools
Grafton Village Elementary,Stafford County Public Schools,701.58,301,8318,237,3487,12342,8658863,Grafton Village Elementary Stafford County Public Schools
Hartwood Elementary,Stafford County Public Schools,568.38,434,8824,237,3487,12981,7378037,Hartwood Elementary Stafford County Public Schools
Anthony Burns Elementary,Stafford County Public Schools,683.54,647,8120,237,3487,12490,8537655,Anthony Burns Elementary Stafford County Public Schools
Colonial Forge High,Stafford County Public Schools,1878.61,314,8064,237,3487,12101,22732935,Colonial Forge High Stafford County Public Schools
H.H. Poole Middle,Stafford County Public Schools,960.27,198,7502,237,3487,11423,10969627,H.H. Poole Middle Stafford County Public Schools
Rodney E. Thompson Middle,Stafford County Public Schools,961.72,305,7448,237,3487,11477,11037913,Rodney E. Thompson Middle Stafford County Public Schools
Shirley C. Heim Middle,Stafford County Public Schools,947.53,358,7606,237,3487,11687,11073794,Shirley C. Heim Middle Stafford County Public Schools
Stafford Elementary,Stafford County Public Schools,687.37,326,8095,237,3487,12144,8347659,Stafford Elementary Stafford County Public Schools
Stafford Middle,Stafford County Public Schools,880.61,308,7616,237,3487,11647,10256652,Stafford Middle Stafford County Public Schools
Widewater Elementary,Stafford County Public Schools,577.87,599,8917,237,3487,13239,7650516,Widewater Elementary Stafford County Public Schools
Andrew G. Wright Middle,Stafford County Public Schools,856.98,377,7963,237,3487,12064,10338962,Andrew G. Wright Middle Stafford County Public Schools
Anne E. Moncure Elementary,Stafford County Public Schools,840.64,732,8443,237,3487,12898,10842776,Anne E. Moncure Elementary Stafford County Public Schools
Garrisonville Elementary,Stafford County Public Schools,544.84,393,9366,237,3487,13482,7345550,Garrisonville Elementary Stafford County Public Schools
Rockhill Elementary,Stafford County Public Schools,625.76,452,8981,237,3487,13157,8232853,Rockhill Elementary Stafford County Public Schools
Conway Elementary,Stafford County Public Schools,902.9,600,7753,237,3487,12077,10904126,Conway Elementary Stafford County Public Schools
Rocky Run Elementary,Stafford County Public Schools,847.29,622,8161,237,3487,12506,10596508,Rocky Run Elementary Stafford County Public Schools
T. Benton Gayle Middle,Stafford County Public Schools,902.61,411,8237,237,3487,12372,11166721,T. Benton Gayle Middle Stafford County Public Schools
Donald B. Dixon-Lyle R. Smith Middle,Stafford County Public Schools,774.55,384,8649,237,3487,12757,9880660,Donald B. Dixon-Lyle R. Smith Middle Stafford County Public Schools
Brooke Point High,Stafford County Public Schools,1950.98,282,7360,237,3487,11365,22172645,Brooke Point High Stafford County Public Schools
Hampton Oaks Elementary,Stafford County Public Schools,834.98,304,6760,237,3487,10788,9007634,Hampton Oaks Elementary Stafford County Public Schools
Kate Waller Barrett Elementary,Stafford County Public Schools,750.93,800,8185,237,3487,12708,9542900,Kate Waller Barrett Elementary Stafford County Public Schools
North Stafford High,Stafford County Public Schools,1761.83,270,8486,237,3487,12479,21986583,North Stafford High Stafford County Public Schools
Park Ridge Elementary,Stafford County Public Schools,957.82,286,6242,237,3487,10251,9819021,Park Ridge Elementary Stafford County Public Schools
Stafford Senior High,Stafford County Public Schools,1942.54,252,8222,237,3487,12198,23695531,Stafford Senior High Stafford County Public Schools
Winding Creek Elementary,Stafford County Public Schools,772.96,298,7649,237,3487,11671,9021484,Winding Creek Elementary Stafford County Public Schools
Ferry Farm Elementary,Stafford County Public Schools,591.34,635,9700,237,3487,14059,8313485,Ferry Farm Elementary Stafford County Public Schools
Tazewell High,Tazewell County Public Schools,492.78,355,6997,587,2979,10918,5379995,Tazewell High Tazewell County Public Schools
Tazewell Middle,Tazewell County Public Schools,363.08,487,7674,587,2979,11727,4257720,Tazewell Middle Tazewell County Public Schools
Graham Intermediate,Tazewell County Public Schools,257.22,1038,5896,587,2979,10500,2700767,Graham Intermediate Tazewell County Public Schools
Graham High,Tazewell County Public Schools,508.37,85,6577,587,2979,10228,5199480,Graham High Tazewell County Public Schools
Richlands Middle,Tazewell County Public Schools,455.04,540,7828,587,2979,11934,5430465,Richlands Middle Tazewell County Public Schools
Richlands Elementary,Tazewell County Public Schools,565.03,874,6784,587,2979,11224,6341866,Richlands Elementary Tazewell County Public Schools
Cedar Bluff Elementary,Tazewell County Public Schools,395.42,948,5959,587,2979,10473,4141096,Cedar Bluff Elementary Tazewell County Public Schools
Tazewell Intermediate,Tazewell County Public Schools,353.56,1184,5099,587,2979,9848,3481951,Tazewell Intermediate Tazewell County Public Schools
Richlands High,Tazewell County Public Schools,657.7,400,6305,587,2979,10270,6754672,Richlands High Tazewell County Public Schools
Graham Middle,Tazewell County Public Schools,394.14,452,6954,587,2979,10972,4324628,Graham Middle Tazewell County Public Schools
Abb's Valley-Boissevain Elementary,Tazewell County Public Schools,149.9,1481,7190,587,2979,12237,1834266,Abb's Valley-Boissevain Elementary Tazewell County Public Schools
Daniel Morgan Intermediate,Winchester City Public Schools,591.34,355,8648,963,4876,14842,8776900,Daniel Morgan Intermediate Winchester City Public Schools
Daniel Morgan Middle,Winchester City Public Schools,624.74,609,9096,963,4876,15544,9710797,Daniel Morgan Middle Winchester City Public Schools
Frederick Douglass Elementary,Winchester City Public Schools,319.32,1209,10453,963,4876,17502,5588623,Frederick Douglass Elementary Winchester City Public Schools
Garland R. Quarles Elementary,Winchester City Public Schools,365.07,1867,10481,963,4876,18187,6639619,Garland R. Quarles Elementary Winchester City Public Schools
John Kerr Elementary,Winchester City Public Schools,507.89,1118,8707,963,4876,15664,7955694,John Kerr Elementary Winchester City Public Schools
