Division Name,School Name,percentage_disadvantaged
Fairfax County,Cardinal Forest Elementary,0.28960817717206133
Fairfax County,Carson Middle,1.0
Fairfax County,Centre Ridge Elementary,0.5712250712250713
Fairfax County,Centreville Elementary,0.33964646464646464
Fairfax County,Centreville High,1.0
Fairfax County,Chantilly High,1.0
Fairfax County,Cherry Run Elementary,0.04918032786885246
Fairfax County,Chesterbrook Elementary,0.01903114186851211
Fairfax County,Churchill Road Elementary,0.017770597738287562
Fairfax County,Clearview Elementary,0.5158597662771286
Fairfax County,Clermont Elementary,0.15185185185185185
Fairfax County,Coates Elementary,0.5072083879423329
Fairfax County,Columbia Elementary,0.36585365853658536
Fairfax County,Colvin Run Elementary,0.0311284046692607
Fairfax County,Cooper Middle,0.030969030969030968
Fairfax County,Crestwood Elementary,0.5901060070671378
Fairfax County,Crossfield Elementary,0.05653710247349823
Fairfax County,Cub Run Elementary,0.19156414762741653
Fairfax County,Cunningham Park Elementary,0.35362997658079626
Fairfax County,Daniels Run Elementary,0.3204633204633205
Fairfax County,Deer Park Elementary,0.29858657243816256
Fairfax County,Dogwood Elementary,0.7446483180428135
Fairfax County,Dranesville Elementary,0.47649918962722854
Fairfax County,Dunn Loring Early Childhood Resource Center,0.13736263736263737
Fairfax County,Eagle View Elementary,0.3288590604026846
Fairfax County,Edison High,1.0
Fairfax County,Fairfax County Adult High,0.4507042253521127
Fairfax County,Fairfax High,1.0
Fairfax County,Fairfax Villa Elementary,0.25486381322957197
Fairfax County,Fairhill Elementary,0.28517110266159695
Fairfax County,Fairview Elementary,0.0763888888888889
Fairfax County,Falls Church High,0.0
Fairfax County,Flint Hill Elementary,0.07894736842105263
Fairfax County,Floris Elementary,0.07887323943661972
Fairfax County,Forest Edge Elementary,0.5252100840336135
Fairfax County,Forestdale Elementary,0.6046065259117083
Fairfax County,Forestville Elementary,0.0481283422459893
Fairfax County,Fort Belvoir Elementary,0.18828451882845187
Fairfax County,Fort Belvoir Upper Elementary,0.22686567164179106
Fairfax County,Fort Hunt Elementary,0.30177514792899407
Fairfax County,Fox Mill Elementary,0.09948542024013722
Fairfax County,Franconia Elementary,0.2570356472795497
Fairfax County,Franklin Middle,0.2
Fairfax County,Freedom Hill Elementary,0.3340080971659919
Fairfax County,Frost Middle,1.0
Fairfax County,Garfield Elementary,0.6697819314641744
Fairfax County,Glasgow Middle,0.0
Fairfax County,Glen Forest Elementary,0.7167235494880546
Fairfax County,Graham Road Elementary,0.7906976744186046
Fairfax County,Great Falls Elementary,0.049523809523809526
Fairfax County,Greenbriar East Elementary,0.3068552774755169
Fairfax County,Greenbriar West Elementary,0.16220472440944883
Fairfax County,Groveton Elementary,0.6215139442231076
Fairfax County,Gunston Elementary,0.35634328358208955
Fairfax County,Halley Elementary,0.40809443507588533
Fairfax County,Haycock Elementary,0.033707865168539325
Fairfax County,Hayfield Elementary,0.15606060606060607
Fairfax County,Hayfield Secondary,
Fairfax County,Herndon Elementary,0.6448230668414154
Fairfax County,Herndon High,
Fairfax County,Herndon Middle,0.5804651162790697
Fairfax County,Hollin Meadows Elementary,0.586709886547812
Fairfax County,Holmes Middle,0.5899672846237731
Fairfax County,Hughes Middle,0.4036885245901639
Fairfax County,Hunt Valley Elementary,0.10344827586206896
Fairfax County,Hunters Woods Elementary School for the Arts and Sciences,0.2680272108843537
Fairfax County,Hutchison Elementary,0.7703842549203374
Fairfax County,Hybla Valley Elementary,0.8277027027027027
Fairfax County,Irving Middle,1.0
Fairfax County,Island Creek Elementary,0.11408450704225352
Fairfax County,Jackson Middle,0.5072859744990893
Fairfax County,Johnson Middle,0.3172093023255814
Fairfax County,Justice High,0.0
Fairfax County,Keene Mill Elementary,0.16865869853917662
Fairfax County,Kent Gardens Elementary,0.0283203125
Fairfax County,Key Center,0.2698412698412698
Fairfax County,Key Middle,0.636241610738255
Fairfax County,Kilmer Center,0.37735849056603776
Fairfax County,Kilmer Middle,0.19135802469135801
Fairfax County,Kings Glen Elementary,0.2570694087403599
Fairfax County,Kings Park Elementary,0.1993517017828201
Fairfax County,Lake Anne Elementary,0.4280639431616341
Fairfax County,Lake Braddock Secondary,1.0
Fairfax County,Lane Elementary,0.20223152022315202
Fairfax County,Langley High,1.0
Fairfax County,Laurel Hill Elementary,0.19832402234636873
Fairfax County,Laurel Ridge Elementary,0.06521739130434782
Fairfax County,Lees Corner Elementary,0.15372168284789645
Fairfax County,Lemon Road Elementary,0.1594488188976378
Fairfax County,Lewis High,0.0
Fairfax County,Liberty Middle,0.37436932391523714
Fairfax County,Little Run Elementary,0.24067796610169492
Fairfax County,London Towne Elementary,0.5456919060052219
Fairfax County,Longfellow Middle,1.0
Fairfax County,Lorton Station Elementary,0.5238726790450928
Fairfax County,Lynbrook Elementary,0.7203389830508474
Fairfax County,Madison High,1.0
Fairfax County,Mantua Elementary,0.1357370095440085
Fairfax County,Marshall High,1.0
Fairfax County,Marshall Road Elementary,0.2706766917293233
Fairfax County,Mason Crest Elementary,0.501628664495114
Fairfax County,McLean High,1.0
Fairfax County,McNair Elementary,0.27586206896551724
Fairfax County,McNair Upper Elementary,0.24121405750798722
Fairfax County,Mosaic Elementary,0.2318840579710145
Fairfax County,Mount Eagle Elementary,0.6918429003021148
Fairfax County,Mount Vernon High,0.0
Fairfax County,Mount Vernon Woods Elementary,0.7717569786535303
Fairfax County,Mountain View High,0.6818181818181818
Fairfax County,Navy Elementary,0.052689352360043906
Fairfax County,Newington Forest Elementary,0.25925925925925924
Fairfax County,North Springfield Elementary,0.4100877192982456
Fairfax County,Oak Hill Elementary,0.06442166910688141
Fairfax County,Oak View Elementary,0.0782051282051282
Fairfax County,Oakton Elementary,0.09612817089452604
Fairfax County,Oakton High,1.0
Fairfax County,Olde Creek Elementary,0.18289085545722714
Fairfax County,Orange Hunt Elementary,0.06437768240343347
Fairfax County,Parklawn Elementary,0.6744471744471745
Fairfax County,Pimmit Early Childhood Resource Center,0.0
Fairfax County,Pine Spring Elementary,0.617741935483871
Fairfax County,Poe Middle,0.7405281285878301
Fairfax County,Poplar Tree Elementary,0.08333333333333333
Fairfax County,Powell Elementary,0.159682899207248
Fairfax County,Providence Elementary,0.43555555555555553
Fairfax County,Ravensworth Elementary,0.17833333333333334
Fairfax County,Riverside Elementary,0.6586059743954481
Fairfax County,Robinson Secondary,1.0
Fairfax County,Rocky Run Middle,0.16420845624385447
Fairfax County,Rolling Valley Elementary,0.25257731958762886
Fairfax County,Rose Hill Elementary,0.39445300462249616
