Division Name,School Name,percentage_foster_care
Colonial Heights City,Tussing Elementary,0.006802721088435374
Covington City,Covington High,0.0028653295128939827
Covington City,Edgemont Primary,0.0031746031746031746
Covington City,Jeter-Watson Intermediate,0.0
Craig County,Craig County High,0.013333333333333334
Craig County,McCleary Elementary,0.023474178403755867
Culpeper County,A.G. Richardson Elementary,0.0
Culpeper County,Culpeper County High,1.0
Culpeper County,Culpeper Middle,1.0
Culpeper County,Eastern View High,1.0
Culpeper County,Emerald Hill Elementary,0.0
Culpeper County,Farmington Elementary,0.002036659877800407
Culpeper County,Floyd T. Binns Middle,0.0023923444976076554
Culpeper County,Galbreath-Marshall Building,0.0
Culpeper County,Pearl Sample Elementary,0.0
Culpeper County,Sycamore Park Elementary,0.0028735632183908046
Culpeper County,Yowell Elementary,0.0015360983102918587
Cumberland County,Cumberland Elementary,0.0040650406504065045
Cumberland County,Cumberland High,0.008086253369272238
Cumberland County,Cumberland Middle,0.002898550724637681
Danville City,Edwin A. Gibson Elementary,0.0
Danville City,Forest Hills Elementary,0.0
Danville City,G.L.H. Johnson Elementary,0.001937984496124031
Danville City,Galileo Magnet High,0.00398406374501992
Danville City,George Washington High,1.0
Danville City,Grove Park Preschool,0.008403361344537815
Danville City,O. Trent Bonner Middle,0.0013774104683195593
Danville City,Park Avenue Elementary,0.007614213197969543
Danville City,Schoolfield Elementary,0.003968253968253968
Danville City,The Northside Preschool,0.0
Danville City,Westwood Middle,0.0017825311942959
Danville City,Woodberry Hills Elementary,0.0
Dickenson County,Clintwood Elementary,0.002364066193853428
Dickenson County,Ervinton Elementary,0.0
Dickenson County,Ridgeview High,0.006644518272425249
Dickenson County,Ridgeview Middle,0.004728132387706856
Dickenson County,Sandlick Elementary,0.00267379679144385
Dinwiddie County,Dinwiddie County High,1.0
Dinwiddie County,Dinwiddie County Middle,0.0021390374331550803
Dinwiddie County,Dinwiddie Elementary,0.005847953216374269
Dinwiddie County,Midway Elementary,0.0
Dinwiddie County,Southside Elementary,0.0
Dinwiddie County,Sunnyside Elementary,0.011406844106463879
Dinwiddie County,Sutherland Elementary,0.0055658627087198514
Essex County,Essex High,0.0
Essex County,James H. Cary Intermediate,0.005479452054794521
Essex County,Tappahannock Elementary,0.0019230769230769232
Fairfax County,Aldrin Elementary,0.0
Fairfax County,Annandale High,1.0
Fairfax County,Annandale Terrace Elementary,0.0
Fairfax County,Archer Elementary,0.0
Fairfax County,Armstrong Elementary,0.0
Fairfax County,Bailey's Elementary School for the Arts and Sciences,0.0
Fairfax County,Bailey's Upper Elementary School for the Arts and Sciences,0.0
Fairfax County,Beech Tree Elementary,0.0027397260273972603
Fairfax County,Belle View Elementary,0.0024154589371980675
Fairfax County,Belvedere Elementary,0.0
Fairfax County,Bonnie Brae Elementary,0.0
Fairfax County,Braddock Elementary,0.0011668611435239206
Fairfax County,Bren Mar Park Elementary,0.0
Fairfax County,Brookfield Elementary,0.0013513513513513514
Fairfax County,Bryant High,0.02857142857142857
Fairfax County,Bucknell Elementary,0.0
Fairfax County,Bull Run Early Childhood Resource Center,0.0
Fairfax County,Bull Run Elementary,0.0
Fairfax County,Bush Hill Elementary,0.0
Fairfax County,Camelot Elementary,0.0
Fairfax County,Cameron Elementary,0.0
Fairfax County,Canterbury Woods Elementary,0.0
Fairfax County,Cardinal Forest Elementary,0.0017035775127768314
Fairfax County,Carson Middle,1.0
Fairfax County,Centre Ridge Elementary,0.0
Fairfax County,Centreville Elementary,0.003787878787878788
Fairfax County,Centreville High,
Fairfax County,Chantilly High,1.0
Fairfax County,Cherry Run Elementary,0.0
Fairfax County,Chesterbrook Elementary,0.0
Fairfax County,Churchill Road Elementary,0.0
Fairfax County,Clearview Elementary,0.0
Fairfax County,Clermont Elementary,0.001851851851851852
Fairfax County,Coates Elementary,0.0
Fairfax County,Columbia Elementary,0.0
Fairfax County,Colvin Run Elementary,0.0
Fairfax County,Cooper Middle,1.0
Fairfax County,Crestwood Elementary,0.0
Fairfax County,Crossfield Elementary,0.0
Fairfax County,Cub Run Elementary,0.0
Fairfax County,Cunningham Park Elementary,0.0
Fairfax County,Daniels Run Elementary,0.0
Fairfax County,Deer Park Elementary,0.0
Fairfax County,Dogwood Elementary,0.0
Fairfax County,Dranesville Elementary,0.0016207455429497568
Fairfax County,Dunn Loring Early Childhood Resource Center,0.0
Fairfax County,Eagle View Elementary,0.0
Fairfax County,Edison High,1.0
Fairfax County,Fairfax County Adult High,0.007042253521126761
Fairfax County,Fairfax High,1.0
Fairfax County,Fairfax Villa Elementary,0.0
Fairfax County,Fairhill Elementary,0.0
Fairfax County,Fairview Elementary,0.001388888888888889
Fairfax County,Falls Church High,1.0
Fairfax County,Flint Hill Elementary,0.0
Fairfax County,Floris Elementary,0.0
Fairfax County,Forest Edge Elementary,0.0021008403361344537
Fairfax County,Forestdale Elementary,0.0019193857965451055
Fairfax County,Forestville Elementary,0.0
Fairfax County,Fort Belvoir Elementary,0.0
Fairfax County,Fort Belvoir Upper Elementary,0.0
Fairfax County,Fort Hunt Elementary,0.0019723865877712033
Fairfax County,Fox Mill Elementary,0.0017152658662092624
