Division Name,School Name,chronic_absenteeism_rate
Stafford County,Anne E. Moncure Elementary,0.15560000000000002
Stafford County,Anthony Burns Elementary,0.1463
Prince William County,Antietam Elementary,0.2177
Frederick County,Apple Pie Ridge Elementary,0.16829999999999998
Appomattox County,Appomattox County High,0.2529
Appomattox County,Appomattox Elementary,0.0978
Appomattox County,Appomattox Middle,0.1852
Accomack County,Arcadia High,0.2349
Fairfax County,Archer Elementary,0.0513
Loudoun County,Arcola Elementary,0.1449
Arlington County,Arlington Community High,0.6383
Arlington County,Arlington Science Focus School,0.0407
Arlington County,Arlington Traditional,0.0277
Frederick County,Armel Elementary,0.095
Fairfax County,Armstrong Elementary,0.12710000000000002
Hampton City,Armstrong Elementary,0.14550000000000002
Virginia Beach City,Arrowhead Elementary,0.1349
Staunton City,Arthur R. Ware Elementary,0.2475
Loudoun County,Ashburn Elementary,0.0911
Prince William County,Ashland Elementary,0.0983
Arlington County,Ashlawn Elementary,0.0286
Smyth County,Atkins Elementary,0.2671
Hanover County,Atlee High,0.0604
Montgomery County,Auburn Elementary,0.09380000000000001
Montgomery County,Auburn High,0.2192
Fauquier County,Auburn Middle,0.10220000000000001
Montgomery County,Auburn Middle,0.1389
Henry County,Axton Elementary,0.1261
Norfolk City,Azalea Gardens Middle,0.3506
Roanoke County,Back Creek Elementary,0.0706
Charlotte County,Bacon District Elementary,0.23079999999999998
Chesterfield County,Bailey Bridge Middle,0.1858
Fairfax County,Bailey's Upper Elementary School for the Arts and Sciences,0.183
Albemarle County,Baker-Butler Elem,0.0951
Manassas City,Baldwin Elementary,0.1589
Manassas City,Baldwin Intermediate,0.163
Loudoun County,Ball's Bluff Elementary,0.0894
Loudoun County,Banneker Elementary,0.0718
Richmond City,Barack Obama Elementary,0.0308
Arlington County,Barcroft Elementary,0.1244
Arlington County,Barrett Elementary,0.1757
Hampton City,Barron Elementary,0.1232
Frederick County,Bass-Hoover Elementary,0.1485
Henry County,Bassett High,0.2486
Bath County,Bath County High,0.1711
Spotsylvania County,Battlefield Elementary,0.1865
Spotsylvania County,Battlefield Middle,0.2637
Hanover County,Battlefield Park Elementary,0.028900000000000002
Norfolk City,Bay View Elementary,0.2527
Virginia Beach City,Bayside 6th Grade Campus,0.1564
Virginia Beach City,Bayside Elementary,0.18239999999999998
Virginia Beach City,Bayside High,0.278
Virginia Beach City,Bayside Middle,0.2444
Hanover County,Beaverdam Elementary,0.0755
Bedford County,Bedford Elementary,0.1462
Lynchburg City,Bedford Hills Elementary,0.2318
Fairfax County,Beech Tree Elementary,0.15839999999999999
Prince William County,Bel Air Elementary,0.141
Russell County,Belfast Elementary,0.1382
Greensville County,Belfield Elementary,0.35
Hanover County,Bell Creek Middle,0.1039
Radford City,Belle Heth Elementary,0.0492
Fairfax County,Belle View Elementary,0.16879999999999998
Richmond City,Bellevue Elementary,0.267
Chesterfield County,Bellwood Elementary,0.209
Prince William County,Belmont Elementary,0.2
Loudoun County,Belmont Ridge Middle,0.0674
Fairfax County,Belvedere Elementary,0.1411
Montgomery County,Belview Elementary,0.23920000000000002
Franklin County,Benjamin Franklin Middle,0.2286
Hampton City,Benjamin Syms Middle,0.2648
Prince William County,Bennett Elementary,0.1728
Chesterfield County,Bensley Elementary,0.2853
Spotsylvania County,Berkeley Elementary,0.2095
Williamsburg-James City County,Berkeley Middle,0.122
Staunton City,Bessie Weller Elementary,0.2394
Gloucester County,Bethel Elementary,0.1441
