Division Name,School Name,percentage_male
Chesterfield County,A.M. Davis Elementary,0.5028089887640449
Chesterfield County,Alberta Smith Elementary,0.4864433811802233
Chesterfield County,Bailey Bridge Middle,0.5334608030592735
Chesterfield County,Bellwood Elementary,0.50920245398773
Chesterfield County,Bensley Elementary,0.5154975530179445
Chesterfield County,Bettie Weaver Elementary,0.5395189003436426
Chesterfield County,Beulah Elementary,0.49741468459152016
Chesterfield County,Bon Air Elementary,0.5228426395939086
Chesterfield County,C.C. Wells Elementary,0.48130841121495327
Chesterfield County,C.E. Curtis Elementary,0.5178041543026706
Chesterfield County,Carver College and Career Academy,0.6
Chesterfield County,Carver Middle,0.4856081708449396
Chesterfield County,Chester Early Childhood Learning Academy,0.518840579710145
Chesterfield County,Clover Hill Elementary,0.5127551020408163
Chesterfield County,Clover Hill High,0.534521158129176
Chesterfield County,Cosby High,
Chesterfield County,Crestwood Elementary,0.5255102040816326
Chesterfield County,Ecoff Elementary,0.4864864864864865
Chesterfield County,Elizabeth Davis Middle,0.514866979655712
Chesterfield County,Elizabeth Scott Elementary,0.5470737913486005
Chesterfield County,Enon Elementary,0.5392809587217043
Chesterfield County,Ettrick Elementary,0.5224489795918368
Chesterfield County,Evergreen Elementary,0.5324074074074074
Chesterfield County,Falling Creek Elementary,0.5233291298865069
Chesterfield County,Falling Creek Middle,0.5132743362831859
Chesterfield County,Grange Hall Elementary,0.5293453724604966
Chesterfield County,Greenfield Elementary,0.5630081300813008
Chesterfield County,Harrowgate Elementary,0.5448577680525164
Chesterfield County,Hopkins Road Elementary,0.5100942126514132
Chesterfield County,J.A. Chalkley Elementary,0.5307125307125307
Chesterfield County,J.B. Watkins Elementary,0.48672566371681414
Chesterfield County,J.G. Hening Elementary,0.49938800489596086
Chesterfield County,Jacobs Road Elementary,0.520863309352518
Chesterfield County,James River High,0.5026041666666666
Chesterfield County,Lloyd C. Bird High,0.0
Chesterfield County,Manchester High,
Chesterfield County,Manchester Middle,0.5142095914742452
Chesterfield County,Marguerite F. Christian Elementary,0.5076687116564417
Chesterfield County,Matoaca Elementary,0.5078260869565218
Chesterfield County,Matoaca High,0.5163438256658596
Chesterfield County,Matoaca Middle,0.515778019586507
Chesterfield County,Meadowbrook High,
Chesterfield County,Midlothian High,1.0
Chesterfield County,Midlothian Middle,0.4878048780487805
Chesterfield County,Monacan High,0.4739454094292804
Chesterfield County,O.B. Gates Elementary,0.5477477477477477
Chesterfield County,Old Hundred Elementary,0.4988962472406181
Chesterfield County,Providence Elementary,0.5207667731629393
Chesterfield County,Providence Middle,0.5
Chesterfield County,Reams Road Elementary,0.5410714285714285
Chesterfield County,Robious Elementary,0.5128205128205128
Chesterfield County,Robious Middle,0.5255854293148309
Chesterfield County,Salem Church Elementary,0.5077220077220077
Chesterfield County,Salem Church Middle,0.5028058361391695
Chesterfield County,Spring Run Elementary,0.523972602739726
Chesterfield County,Swift Creek Elementary,0.5088566827697263
Chesterfield County,Swift Creek Middle,0.5216606498194946
Chesterfield County,Thelma Crenshaw Elementary,0.5096582466567607
Chesterfield County,Thomas Dale High,
Chesterfield County,Tomahawk Creek Middle,0.49692874692874694
Chesterfield County,W.W. Gordon Elementary,0.4939759036144578
Chesterfield County,Winterpock Elementary,0.5087853323147441
Chesterfield County,Woolridge Elementary,0.5091575091575091
Clarke County,Boyce Elementary,0.511400651465798
Clarke County,Clarke County High,0.48823529411764705
Clarke County,D.G. Cooley Elementary,0.4802784222737819
