Division Name,School Name,percentage_disadvantaged,percentage_english_learners,percentage_foster_care,percentage_male,percentage_homeless,percentage_military,percentage_disabled,free_reduced_lunch_percentage,chronic_absenteeism_rate,cohort_dropout_rate,Bachelors_Percent,Masters_Percent,Doctoral_Percent
Fairfax County,Parklawn Elementary,0.6744471744471745,0.6036745406824147,0.0,0.4938574938574938,0.0,0.0085995085995086,0.085995085995086,0.826,0.1794,,33.0,66.0,0.0
Fairfax County,Pimmit Early Childhood Resource Center,0.0,0.0,0.0,0.6923076923076923,0.0,0.0256410256410256,1.0,,,,,,
Fairfax County,Pine Spring Elementary,0.617741935483871,0.5413793103448276,0.0,0.5064516129032258,0.0,0.0080645161290322,0.1596774193548387,0.636,0.2221999999999999,,31.0,67.0,0.0
Fairfax County,Poe Middle,0.7405281285878301,0.5530434782608695,0.0011481056257175,0.5200918484500574,0.0,0.0034443168771526,0.2032146957520091,0.723,0.2188,,32.0,68.0,0.0
Fairfax County,Poplar Tree Elementary,0.0833333333333333,0.1015228426395939,0.0,0.5324074074074074,0.0,0.0308641975308641,0.1388888888888889,0.071,0.093,,33.0,63.0,0.0
Fairfax County,Powell Elementary,0.159682899207248,0.2012578616352201,0.0,0.5175537938844847,0.0,0.0328425821064552,0.1223103057757644,0.166,0.0548,,20.0,77.0,0.0
Fairfax County,Providence Elementary,0.4355555555555555,0.3715319662243667,0.0,0.5322222222222223,0.0,0.0177777777777777,0.1233333333333333,0.431,0.1267,,24.0,76.0,0.0
Fairfax County,Ravensworth Elementary,0.1783333333333333,0.1813380281690141,0.0016666666666666,0.5333333333333333,0.0,0.1083333333333333,0.1216666666666666,0.155,0.0579999999999999,,35.0,62.0,2.0
Fairfax County,Riverside Elementary,0.6586059743954481,0.416267942583732,0.0,0.5120910384068279,0.0,0.0682788051209103,0.1678520625889047,0.826,0.2028,,28.0,71.0,0.0
Fairfax County,Robinson Secondary,1.0,1.0,1.0,,,1.0,1.0,0.108,0.1322,0.0078,23.0,75.0,2.0
Fairfax County,Rocky Run Middle,0.1642084562438544,0.0506465517241379,,0.5211822660098522,,0.0206489675516224,0.079646017699115,0.148,0.0816,,30.0,65.0,5.0
Fairfax County,Rolling Valley Elementary,0.2525773195876288,0.24,0.0051546391752577,0.5085910652920962,0.0,0.1168384879725085,0.1494845360824742,0.208,0.1086999999999999,,31.0,67.0,2.0
Fairfax County,Rose Hill Elementary,0.3944530046224961,0.3184818481848185,0.0,0.5285053929121726,0.0,0.0416024653312788,0.2187981510015408,0.423,0.1757,,38.0,61.0,1.0
Fairfax County,Sandburg Middle,0.4891518737672584,0.2084367245657568,1.0,0.5075608152531229,,1.0,1.0,0.486,0.1944,,32.0,66.0,2.0
Fairfax County,Sangster Elementary,0.0395927601809954,0.029171528588098,0.0,0.5198187995469988,0.0,0.2432126696832579,0.1131221719457013,0.026,0.0404,,22.0,78.0,0.0
Fairfax County,Saratoga Elementary,0.4283333333333333,0.2716049382716049,0.0033333333333333,0.5375626043405676,0.0,0.0766666666666666,0.1783333333333333,0.409,0.1632,,30.0,65.0,3.0
Fairfax County,Sherman Elementary,0.06,0.1606060606060606,0.0,0.5314285714285715,0.0,0.06,0.1171428571428571,0.036,0.0511,,37.0,63.0,0.0
