School Name,Division Name,Bachelors_Percent,Masters_Percent,Doctoral_Percent
Cedar Forest Elementary,Spotsylvania County,33.0,65.0,2.0
Cedar Lane Elementary,Loudoun County,23.0,75.0,1.0
Cedar Lee Middle,Fauquier County,49.0,43.0,3.0
Cedar Point Elementary,Prince William County,24.0,74.0,0.0
Cedar Road Elementary,Chesapeake City,29.0,68.0,2.0
Centerville Elementary,Virginia Beach City,30.0,66.0,0.0
Central Academy Middle,Botetourt County,57.0,41.0,2.0
Central Elementary,Amherst County,36.0,57.0,0.0
Central Elementary,Rockbridge County,44.0,56.0,0.0
Central High,King and Queen County,50.0,45.0,3.0
Central High,Lunenburg County,54.0,36.0,0.0
Central High,Shenandoah County,49.0,49.0,1.0
Central High,Wise County,58.0,42.0,0.0
Centre Ridge Elementary,Fairfax County,28.0,72.0,0.0
Centreville Elementary,Fairfax County,23.0,77.0,0.0
Centreville High,Fairfax County,20.0,77.0,2.0
Cesar Tarrant Middle,Hampton City,45.0,45.0,0.0
Chamberlayne Elementary,Henrico County,55.0,42.0,3.0
Chancellor Elementary,Spotsylvania County,34.0,59.0,0.0
Chancellor High,Spotsylvania County,43.0,52.0,0.0
Chancellor Middle,Spotsylvania County,44.0,54.0,2.0
Chantilly High,Fairfax County,23.0,73.0,4.0
Charles Barrett Elementary,Alexandria City,25.0,70.0,3.0
Charles City County Elementary,Charles City County,39.0,52.0,9.0
Charles City County High,Charles City County,41.0,47.0,3.0
Charles J. Colgan Sr. High,Prince William County,28.0,67.0,3.0
Charles M. Johnson Elementary,Henrico County,46.0,54.0,0.0
Charlottesville High,Charlottesville City,34.0,62.0,2.0
Chase City Elementary,Mecklenburg County,64.0,31.0,6.0
Chatham Elementary,Pittsylvania County,64.0,29.0,0.0
Chatham High,Pittsylvania County,51.0,42.0,0.0
Chatham Middle,Pittsylvania County,56.0,33.0,4.0
Check Elementary,Floyd County,50.0,47.0,0.0
Cherry Run Elementary,Fairfax County,13.0,85.0,2.0
Chesterbrook Elementary,Fairfax County,17.0,80.0,0.0
Chesterfield Elementary,Norfolk City,31.0,44.0,8.0
Chickahominy Middle,Hanover County,35.0,63.0,1.0
Chilhowie Elementary,Smyth County,52.0,44.0,2.0
Chilhowie High,Smyth County,58.0,40.0,0.0
Chilhowie Middle,Smyth County,74.0,23.0,0.0
Chimborazo Elementary,Richmond City,33.0,67.0,0.0
Chincoteague Elementary,Accomack County,50.0,35.0,10.0
Chincoteague High,Accomack County,45.0,45.0,3.0
Chris Yung Elementary,Prince William County,25.0,72.0,0.0
Christiansburg Elementary,Montgomery County,36.0,62.0,2.0
Christiansburg High,Montgomery County,32.0,62.0,1.0
Christiansburg Middle,Montgomery County,41.0,58.0,0.0
Christopher Farms Elementary,Virginia Beach City,44.0,53.0,0.0
Churchill Road Elementary,Fairfax County,28.0,67.0,4.0
Churchland Academy Elementary,Portsmouth City,43.0,50.0,2.0
Churchland Elementary,Portsmouth City,39.0,45.0,3.0
