Division Name,School Name,percentage_military
Caroline County,Caroline Middle,0.013374485596707819
Caroline County,Lewis and Clark Elementary,0.009184845005740528
Caroline County,Madison Elementary,0.013605442176870748
Carroll County,Carroll County High,1.0
Carroll County,Carroll County Middle,0.006527415143603133
Carroll County,Fancy Gap Elementary,0.0
Carroll County,Gladesboro Elementary,0.0196078431372549
Carroll County,Gladeville Elementary,0.03614457831325301
Carroll County,Hillsville Elementary,0.012658227848101266
Carroll County,Laurel Elementary,0.0
Carroll County,Oakland Elementary,0.005076142131979695
Carroll County,St. Paul,0.006289308176100629
Charles City County,Charles City County Elementary,0.003424657534246575
Charles City County,Charles City County High,0.00423728813559322
Charlotte County,Bacon District Elementary,0.0125
Charlotte County,Central Middle,0.029023746701846966
Charlotte County,Eureka Elementary,0.009070294784580499
Charlotte County,Phenix Elementary,0.009345794392523364
Charlotte County,Randolph-Henry High,0.00984251968503937
Charlottesville City,Buford Middle,0.00333889816360601
Charlottesville City,Burnley-Moran Elementary,0.006211180124223602
Charlottesville City,Charlottesville High,1.0
Charlottesville City,Clark Elementary,0.0
Charlottesville City,Greenbrier Elementary,0.0070921985815602835
Charlottesville City,Jackson-Via Elementary,0.012307692307692308
Charlottesville City,Johnson Elementary,0.013377926421404682
Charlottesville City,Venable Elementary,0.01060070671378092
Charlottesville City,Walker Upper Elementary,0.004815409309791332
Chesapeake City,B.M. Williams Primary,0.20967741935483872
Chesapeake City,Butts Road Intermediate,0.30307941653160453
Chesapeake City,Butts Road Primary,0.27978339350180503
Chesapeake City,Camelot Elementary,0.15734989648033126
Chesapeake City,Cedar Road Elementary,0.32563791008505466
Chesapeake City,Crestwood Intermediate,0.19400855920114124
Chesapeake City,Crestwood Middle,0.1724137931034483
Chesapeake City,Deep Creek Central Elementary,0.41755634638196915
Chesapeake City,Deep Creek Elementary,0.24935064935064935
Chesapeake City,Deep Creek High,1.0
Chesapeake City,Deep Creek Middle,0.2194513715710723
Chesapeake City,Edwin W. Chittum Elementary,0.28194993412384717
Chesapeake City,G.A. Treakle Elementary,0.08577878103837472
Chesapeake City,George W. Carver Intermediate,0.13111545988258316
Chesapeake City,Georgetown Primary,0.15611814345991562
Chesapeake City,Grassfield Elementary,0.4014029618082619
Chesapeake City,Grassfield High,1.0
Chesapeake City,Great Bridge High,1.0
Chesapeake City,Great Bridge Intermediate,0.2555066079295154
Chesapeake City,Great Bridge Middle,0.27611940298507465
Chesapeake City,Great Bridge Primary,0.29668674698795183
Chesapeake City,Greenbrier Intermediate,0.22508038585209003
Chesapeake City,Greenbrier Middle,0.19621749408983452
Chesapeake City,Greenbrier Primary,0.2943786982248521
Chesapeake City,Hickory Elementary,0.38188277087033745
Chesapeake City,Hickory High,1.0
Chesapeake City,Hickory Middle,0.2843210802700675
Chesapeake City,Hugo A. Owens Middle,0.2934040940106141
Chesapeake City,Indian River High,1.0
Chesapeake City,Indian River Middle,0.14131897711978467
Chesapeake City,Jolliff Middle,0.22349570200573066
Chesapeake City,Norfolk Highlands Primary,0.19047619047619047
Chesapeake City,Oscar F. Smith High,1.0
Chesapeake City,Oscar Smith Middle,0.06906614785992218
Chesapeake City,Portlock Primary,0.13893653516295026
Chesapeake City,Rena B. Wright Primary,0.12627986348122866
Chesapeake City,Southeastern Elementary,0.2898550724637681
Chesapeake City,Southwestern Elementary,0.23357664233576642
Chesapeake City,Sparrow Road Intermediate,0.13778705636743216
Chesapeake City,Thurgood Marshall Elementary,0.08604651162790698
Chesapeake City,Truitt Intermediate,0.09505703422053231
Chesapeake City,Western Branch High,1.0
Chesapeake City,Western Branch Intermediate,0.16869095816464239
Chesapeake City,Western Branch Middle,0.1824175824175824
Chesapeake City,Western Branch Primary,0.205607476635514
Chesterfield County,A.M. Davis Elementary,0.007022471910112359
Chesterfield County,Alberta Smith Elementary,0.04146730462519936
Chesterfield County,Bailey Bridge Middle,1.0
Chesterfield County,Bellwood Elementary,0.002044989775051125
Chesterfield County,Bensley Elementary,0.0016313213703099511
Chesterfield County,Bettie Weaver Elementary,0.01718213058419244
Chesterfield County,Beulah Elementary,0.023784901758014478
Chesterfield County,Bon Air Elementary,0.00338409475465313
Chesterfield County,C.C. Wells Elementary,0.06853582554517133
Chesterfield County,C.E. Curtis Elementary,0.04451038575667656
Chesterfield County,Carver College and Career Academy,0.014285714285714285
Chesterfield County,Carver Middle,1.0
Chesterfield County,Chester Early Childhood Learning Academy,0.005797101449275362
Chesterfield County,Clover Hill Elementary,0.021683673469387755
Chesterfield County,Clover Hill High,1.0
Chesterfield County,Cosby High,1.0
Chesterfield County,Crestwood Elementary,0.015306122448979591
Chesterfield County,Ecoff Elementary,0.043243243243243246
Chesterfield County,Elizabeth Davis Middle,1.0
Chesterfield County,Elizabeth Scott Elementary,0.047073791348600506
Chesterfield County,Enon Elementary,0.06125166444740346
Chesterfield County,Ettrick Elementary,0.0163265306122449
Chesterfield County,Evergreen Elementary,0.013888888888888888
Chesterfield County,Falling Creek Elementary,0.0
Chesterfield County,Falling Creek Middle,1.0
Chesterfield County,Grange Hall Elementary,0.030474040632054177
Chesterfield County,Greenfield Elementary,0.014227642276422764
Chesterfield County,Harrowgate Elementary,0.0350109409190372
Chesterfield County,Hopkins Road Elementary,0.006729475100942127
Chesterfield County,J.A. Chalkley Elementary,0.002457002457002457
Chesterfield County,J.B. Watkins Elementary,0.020227560050568902
Chesterfield County,J.G. Hening Elementary,0.012239902080783354
Chesterfield County,Jacobs Road Elementary,0.012949640287769784
Chesterfield County,James River High,1.0
Chesterfield County,Lloyd C. Bird High,1.0
Chesterfield County,Manchester High,1.0
Chesterfield County,Manchester Middle,1.0
Chesterfield County,Marguerite F. Christian Elementary,0.049079754601226995
Chesterfield County,Matoaca Elementary,0.020869565217391306
Chesterfield County,Matoaca High,1.0
Chesterfield County,Matoaca Middle,0.015233949945593036
Chesterfield County,Meadowbrook High,1.0
Chesterfield County,Midlothian High,1.0
Chesterfield County,Midlothian Middle,1.0
Chesterfield County,Monacan High,1.0
Chesterfield County,O.B. Gates Elementary,0.023423423423423424
Chesterfield County,Old Hundred Elementary,0.013245033112582781
Chesterfield County,Providence Elementary,0.020766773162939296
Chesterfield County,Providence Middle,1.0
Chesterfield County,Reams Road Elementary,0.008928571428571428
Chesterfield County,Robious Elementary,0.015082956259426848
Chesterfield County,Robious Middle,1.0
Chesterfield County,Salem Church Elementary,0.011583011583011582
Chesterfield County,Salem Church Middle,0.013468013468013467
Chesterfield County,Spring Run Elementary,0.0228310502283105
Chesterfield County,Swift Creek Elementary,0.020933977455716585
Chesterfield County,Swift Creek Middle,1.0
Chesterfield County,Thelma Crenshaw Elementary,0.01188707280832095
Chesterfield County,Thomas Dale High,1.0
Chesterfield County,Tomahawk Creek Middle,1.0
Chesterfield County,W.W. Gordon Elementary,0.013769363166953529
Chesterfield County,Winterpock Elementary,1.0
Chesterfield County,Woolridge Elementary,0.03296703296703297
Clarke County,Boyce Elementary,0.04560260586319218
Clarke County,Clarke County High,0.023529411764705882
Clarke County,D.G. Cooley Elementary,0.02320185614849188
Clarke County,Johnson-Williams Middle,0.02877697841726619
Colonial Beach,Colonial Beach Elementary,0.03076923076923077
Colonial Beach,Colonial Beach High,0.00851063829787234
Colonial Heights City,Colonial Heights High,0.0035971223021582736
Colonial Heights City,Colonial Heights Middle,0.0045871559633027525
Colonial Heights City,Lakeview Elementary,0.01278772378516624
Colonial Heights City,North Elementary,0.003134796238244514
Colonial Heights City,Tussing Elementary,0.015306122448979591
Covington City,Covington High,0.0
Covington City,Edgemont Primary,0.0
Covington City,Jeter-Watson Intermediate,0.0
Craig County,Craig County High,0.006666666666666667
Craig County,McCleary Elementary,0.004694835680751174
Culpeper County,A.G. Richardson Elementary,0.025830258302583026
Culpeper County,Culpeper County High,1.0
Culpeper County,Culpeper Middle,1.0
Culpeper County,Eastern View High,1.0
Culpeper County,Emerald Hill Elementary,0.04512372634643377
Culpeper County,Farmington Elementary,0.012219959266802444
Culpeper County,Floyd T. Binns Middle,0.0215311004784689
Culpeper County,Galbreath-Marshall Building,0.0
Culpeper County,Pearl Sample Elementary,0.021702838063439065
Culpeper County,Sycamore Park Elementary,0.011494252873563218
Culpeper County,Yowell Elementary,0.019969278033794162
Cumberland County,Cumberland Elementary,0.006097560975609756
Cumberland County,Cumberland High,0.005390835579514825
Cumberland County,Cumberland Middle,0.008695652173913044
Danville City,Edwin A. Gibson Elementary,0.0
Danville City,Forest Hills Elementary,0.0
Danville City,G.L.H. Johnson Elementary,0.001937984496124031
Danville City,Galileo Magnet High,0.0
Danville City,George Washington High,
Danville City,Grove Park Preschool,0.0
Danville City,O. Trent Bonner Middle,0.0
Danville City,Park Avenue Elementary,0.0
Danville City,Schoolfield Elementary,0.0
Danville City,The Northside Preschool,0.007462686567164179
Danville City,Westwood Middle,0.0
Danville City,Woodberry Hills Elementary,0.0
Dickenson County,Clintwood Elementary,0.004728132387706856
Dickenson County,Ervinton Elementary,0.013986013986013986
Dickenson County,Ridgeview High,0.0016611295681063123
Dickenson County,Ridgeview Middle,0.004728132387706856
Dickenson County,Sandlick Elementary,0.0
Dinwiddie County,Dinwiddie County High,1.0
Dinwiddie County,Dinwiddie County Middle,0.014973262032085561
Dinwiddie County,Dinwiddie Elementary,0.0029239766081871343
Dinwiddie County,Midway Elementary,0.0111731843575419
Dinwiddie County,Southside Elementary,0.013186813186813187
Dinwiddie County,Sunnyside Elementary,0.026615969581749048
Dinwiddie County,Sutherland Elementary,0.0055658627087198514
Essex County,Essex High,0.003937007874015748
Essex County,James H. Cary Intermediate,0.0027397260273972603
Essex County,Tappahannock Elementary,0.0038461538461538464
Fairfax County,Aldrin Elementary,0.017892644135188866
Fairfax County,Annandale High,1.0
Fairfax County,Annandale Terrace Elementary,0.0030911901081916537
Fairfax County,Archer Elementary,0.043137254901960784
Fairfax County,Armstrong Elementary,0.0056179775280898875
Fairfax County,Bailey's Elementary School for the Arts and Sciences,0.018844221105527637
Fairfax County,Bailey's Upper Elementary School for the Arts and Sciences,0.01348747591522158
Fairfax County,Beech Tree Elementary,0.0273972602739726
Fairfax County,Belle View Elementary,0.024154589371980676
Fairfax County,Belvedere Elementary,0.03790613718411552
Fairfax County,Bonnie Brae Elementary,0.06801007556675064
Fairfax County,Braddock Elementary,0.003500583430571762
Fairfax County,Bren Mar Park Elementary,0.044543429844097995
Fairfax County,Brookfield Elementary,0.010810810810810811
Fairfax County,Bryant High,0.0
Fairfax County,Bucknell Elementary,0.019157088122605363
Fairfax County,Bull Run Early Childhood Resource Center,0.011695906432748537
Fairfax County,Bull Run Elementary,0.027855153203342618
Fairfax County,Bush Hill Elementary,0.09561128526645768
Fairfax County,Camelot Elementary,0.04081632653061224
Fairfax County,Cameron Elementary,0.046747967479674794
Fairfax County,Canterbury Woods Elementary,0.10983397190293742
Fairfax County,Cardinal Forest Elementary,0.08006814310051108
Fairfax County,Carson Middle,1.0
Fairfax County,Centre Ridge Elementary,0.008547008547008548
Fairfax County,Centreville Elementary,0.026515151515151516
Fairfax County,Centreville High,1.0
Fairfax County,Chantilly High,1.0
Fairfax County,Cherry Run Elementary,0.1990632318501171
Fairfax County,Chesterbrook Elementary,0.0328719723183391
Fairfax County,Churchill Road Elementary,0.05654281098546042
Fairfax County,Clearview Elementary,0.008347245409015025
Fairfax County,Clermont Elementary,0.1037037037037037
Fairfax County,Coates Elementary,0.007863695937090432
Fairfax County,Columbia Elementary,0.05365853658536585
Fairfax County,Colvin Run Elementary,0.038910505836575876
Fairfax County,Cooper Middle,0.03996003996003996
Fairfax County,Crestwood Elementary,0.015901060070671377
Fairfax County,Crossfield Elementary,0.03180212014134275
Fairfax County,Cub Run Elementary,0.0351493848857645
Fairfax County,Cunningham Park Elementary,0.0351288056206089
Fairfax County,Daniels Run Elementary,0.029601029601029602
Fairfax County,Deer Park Elementary,0.037102473498233215
Fairfax County,Dogwood Elementary,0.0045871559633027525
Fairfax County,Dranesville Elementary,0.017828200972447326
Fairfax County,Dunn Loring Early Childhood Resource Center,0.02197802197802198
Fairfax County,Eagle View Elementary,0.030201342281879196
Fairfax County,Edison High,1.0
Fairfax County,Fairfax County Adult High,0.0
Fairfax County,Fairfax High,1.0
Fairfax County,Fairfax Villa Elementary,0.029182879377431907
Fairfax County,Fairhill Elementary,0.03802281368821293
Fairfax County,Fairview Elementary,0.12777777777777777
Fairfax County,Falls Church High,1.0
Fairfax County,Flint Hill Elementary,0.06191950464396285
Fairfax County,Floris Elementary,0.036619718309859155
Fairfax County,Forest Edge Elementary,0.008403361344537815
Fairfax County,Forestdale Elementary,0.019193857965451054
Fairfax County,Forestville Elementary,0.05525846702317291
Fairfax County,Fort Belvoir Elementary,0.7824267782426778
Fairfax County,Fort Belvoir Upper Elementary,0.9149253731343283
Fairfax County,Fort Hunt Elementary,0.16370808678500987
