Sch_div,School,Division,Street,City,State,Zip,Latitude,Longitude
Cub Run Elementary Rockingham County Public Schools,Cub Run Elementary,Rockingham County Public Schools,1451 South Montevideo Circle,Penn Laird,VA,22846,38.364137,-78.772161
Elkton Elementary Rockingham County Public Schools,Elkton Elementary,Rockingham County Public Schools,302 B Street,Elkton,VA,22827,38.410766,-78.622583
Fulks Run Elementary Rockingham County Public Schools,Fulks Run Elementary,Rockingham County Public Schools,11089 Brocks Gap Rd,Fulks Run,VA,22830,38.657091,-78.900482
John C. Myers Elementary Rockingham County Public Schools,John C. Myers Elementary,Rockingham County Public Schools,290 Raider Rd,Broadway,VA,22815,38.612861,-78.806431
John W. Wayland Elementary Rockingham County Public Schools,John W. Wayland Elementary,Rockingham County Public Schools,801 North Main St,Bridgewater,VA,22812,38.397085,-78.959821
Lacey Spring Elementary Rockingham County Public Schools,Lacey Spring Elementary,Rockingham County Public Schools,8621 North Valley Pike,Harrisonburg,VA,22802,38.541275,-78.772322
Linville-Edom Elementary Rockingham County Public Schools,Linville-Edom Elementary,Rockingham County Public Schools,3653 Linville-Edom Rd,Linville,VA,22834,38.521731,-78.848838
McGaheysville Elementary Rockingham County Public Schools,McGaheysville Elementary,Rockingham County Public Schools,9508 Spotswood Trail,McGaheysville,VA,22840,38.371296,-78.735857
Mountain View Elementary Rockingham County Public Schools,Mountain View Elementary,Rockingham County Public Schools,2800 Rawley Pike,Harrisonburg,VA,22801,38.454678,-78.915712
Ottobine Elementary Rockingham County Public Schools,Ottobine Elementary,Rockingham County Public Schools,8646 Waggys Creek Rd,Dayton,VA,22821,38.436779,-79.043773
Peak View Elementary Rockingham County Public Schools,Peak View Elementary,Rockingham County Public Schools,641 Lawyer Rd.,Penn Laird,VA,22846,38.372551,-78.800896
Plains Elementary Rockingham County Public Schools,Plains Elementary,Rockingham County Public Schools,225 American Legion Dr,Timberville,VA,22853,38.627629,-78.773612
Pleasant Valley Elementary Rockingham County Public Schools,Pleasant Valley Elementary,Rockingham County Public Schools,215 Pleasant Valley Rd,Harrisonburg,VA,22801,38.402575,-78.904358
River Bend Elementary Rockingham County Public Schools,River Bend Elementary,Rockingham County Public Schools,14556 Rockingham Pike,Elkton,VA,22827,38.398331,-78.655979
South River Elementary Rockingham County Public Schools,South River Elementary,Rockingham County Public Schools,2101 Elm Ave,Grottoes,VA,24441,38.279659,-78.821621
Honey Run Elementary Shenandoah County Public Schools,Honey Run Elementary,Shenandoah County Public Schools,480 Stonewall Lane,Quicksburg,VA,22847,38.70645,-78.666602
Sandy Hook Elementary Shenandoah County Public Schools,Sandy Hook Elementary,Shenandoah County Public Schools,162 Stickley Loop,Strasburg,VA,22657,38.981771,-78.372031
W.W. Robinson Elementary Shenandoah County Public Schools,W.W. Robinson Elementary,Shenandoah County Public Schools,1231 Susan Avenue,Woodstock,VA,22664,38.864455,-78.524617
North Fork Middle Shenandoah County Public Schools,North Fork Middle,Shenandoah County Public Schools,1018 Caverns Road,Quicksburg,VA,22847,38.706777,-78.662405
Abingdon Elementary Washington County Public Schools,Abingdon Elementary,Washington County Public Schools,19431 Woodland Hills Rd,Abingdon,VA,24210,36.713377,-82.0163
Greendale Elementary Washington County Public Schools,Greendale Elementary,Washington County Public Schools,13092 McGuffie Rd,Abingdon,VA,24210,36.751394,-82.04535
High Point Elementary Washington County Public Schools,High Point Elementary,Washington County Public Schools,14091 Sinking Creek Rd,Bristol,VA,24202,36.61471,-82.111248
Meadowview Elementary Washington County Public Schools,Meadowview Elementary,Washington County Public Schools,14050 Glenbrook Ave,Meadowview,VA,24361,36.751037,-81.858252
Rhea Valley Elementary Washington County Public Schools,Rhea Valley Elementary,Washington County Public Schools,31305 Rhea Valley Rd,Meadowview,VA,24361,36.683218,-81.81753
Valley Institute Elementary Washington County Public Schools,Valley Institute Elementary,Washington County Public Schools,4350 Gate City Highway,Bristol,VA,24202,36.631738,-82.271613
Watauga Elementary Washington County Public Schools,Watauga Elementary,Washington County Public Schools,23181 Watauga Rd,Abingdon,VA,24211,36.671841,-81.955846
Old Hundred Elementary Chesterfield County Public Schools,Old Hundred Elementary,Chesterfield County Public Schools,1501 Old Hundred Road,Midlothian,VA,23114,37.480205,-77.694987
A.M. Davis Elementary Chesterfield County Public Schools,A.M. Davis Elementary,Chesterfield County Public Schools,415 S Providence Rd,North Chesterfield,VA,23236,37.491286,-77.546349
Alberta Smith Elementary Chesterfield County Public Schools,Alberta Smith Elementary,Chesterfield County Public Schools,13200 Bailey Bridge Rd,Midlothian,VA,23112,37.395558,-77.642108
Bellwood Elementary Chesterfield County Public Schools,Bellwood Elementary,Chesterfield County Public Schools,9536 Dawnshire Rd,North Chesterfield,VA,23237,37.391072,-77.441384
Bensley Elementary Chesterfield County Public Schools,Bensley Elementary,Chesterfield County Public Schools,6600 Strathmore Rd,North Chesterfield,VA,23237,37.43557,-77.451152
Bettie Weaver Elementary Chesterfield County Public Schools,Bettie Weaver Elementary,Chesterfield County Public Schools,3600 James River Rd,Midlothian,VA,23113,37.549211,-77.65217
Beulah Elementary Chesterfield County Public Schools,Beulah Elementary,Chesterfield County Public Schools,5441 Beulah Rd,North Chesterfield,VA,23237,37.410862,-77.490541
Bon Air Elementary Chesterfield County Public Schools,Bon Air Elementary,Chesterfield County Public Schools,8701 Polk St,Bon Air,VA,23235,37.527956,-77.563179
C.C. Wells Elementary Chesterfield County Public Schools,C.C. Wells Elementary,Chesterfield County Public Schools,13101 S. Chester Rd.,Chester,VA,23831,37.336292,-77.439801
C.E. Curtis Elementary Chesterfield County Public Schools,C.E. Curtis Elementary,Chesterfield County Public Schools,3600 W Hundred Rd,Chester,VA,23831,37.360918,-77.434432
Clover Hill Elementary Chesterfield County Public Schools,Clover Hill Elementary,Chesterfield County Public Schools,5700 Woodlake Village Pkwy,Midlothian,VA,23112,37.420413,-77.673776
Crestwood Elementary Chesterfield County Public Schools,Crestwood Elementary,Chesterfield County Public Schools,7600 Whittington Dr.,Richmond,VA,23225,37.526405,-77.53708
Ecoff Elementary Chesterfield County Public Schools,Ecoff Elementary,Chesterfield County Public Schools,5200 Ecoff Ave.,Chester,VA,23831,37.360344,-77.461776
Elizabeth Scott Elementary Chesterfield County Public Schools,Elizabeth Scott Elementary,Chesterfield County Public Schools,813 Beginners Trail Loop,Chester,VA,23836,37.339362,-77.339877
Enon Elementary Chesterfield County Public Schools,Enon Elementary,Chesterfield County Public Schools,2001 E. Hundred Rd.,Chester,VA,23836,37.32918,-77.324553
Ettrick Elementary Chesterfield County Public Schools,Ettrick Elementary,Chesterfield County Public Schools,20910 Chesterfield Ave.,Ettrick,VA,23803,37.237673,-77.427257
Evergreen Elementary Chesterfield County Public Schools,Evergreen Elementary,Chesterfield County Public Schools,1701 Evergreen East Pkwy.,Midlothian,VA,23114,37.463265,-77.63156
Falling Creek Elementary Chesterfield County Public Schools,Falling Creek Elementary,Chesterfield County Public Schools,4800 Hopkins Rd.,Richmond,VA,23234,37.455222,-77.469743
Grange Hall Elementary Chesterfield County Public Schools,Grange Hall Elementary,Chesterfield County Public Schools,19301 Hull Street Rd.,Moseley,VA,23120,37.388875,-77.766255
Greenfield Elementary Chesterfield County Public Schools,Greenfield Elementary,Chesterfield County Public Schools,10751 Savoy Rd.,North Chesterfield,VA,23235,37.518834,-77.591538
Harrowgate Elementary Chesterfield County Public Schools,Harrowgate Elementary,Chesterfield County Public Schools,4000 Cougar Trail,Chester,VA,23831,37.301901,-77.433938
Hopkins Road Elementary Chesterfield County Public Schools,Hopkins Road Elementary,Chesterfield County Public Schools,6000 Hopkins Rd.,North Chesterfield,VA,23234,37.435801,-77.473877
J.A. Chalkley Elementary Chesterfield County Public Schools,J.A. Chalkley Elementary,Chesterfield County Public Schools,3301 Turner Road,Chesterfield,VA,23832,37.464627,-77.519341
J.B. Watkins Elementary Chesterfield County Public Schools,J.B. Watkins Elementary,Chesterfield County Public Schools,501 Coalfield Rd.,Midlothian,VA,23114,37.495725,-77.653036
J.G. Hening Elementary Chesterfield County Public Schools,J.G. Hening Elementary,Chesterfield County Public Schools,5230 Chicora Dr.,North Chesterfield,VA,23234,37.44666,-77.489413
Jacobs Road Elementary Chesterfield County Public Schools,Jacobs Road Elementary,Chesterfield County Public Schools,8800 Jacobs Rd.,Chesterfield,VA,23832,37.434934,-77.553125
Marguerite F. Christian Elementary Chesterfield County Public Schools,Marguerite F. Christian Elementary,Chesterfield County Public Schools,14801 Woods Edge Rd.,Colonial Heights,VA,23834,37.321139,-77.390584
Matoaca Elementary Chesterfield County Public Schools,Matoaca Elementary,Chesterfield County Public Schools,6627 River Rd,South Chesterfield,VA,23803,37.230316,-77.482677
O.B. Gates Elementary Chesterfield County Public Schools,O.B. Gates Elementary,Chesterfield County Public Schools,10001 Courthouse Rd.,Chesterfield,VA,23832,37.388104,-77.502589
Providence Elementary Chesterfield County Public Schools,Providence Elementary,Chesterfield County Public Schools,11001 W. Providence Rd.,North Chesterfield,VA,23236,37.458026,-77.601944
Reams Road Elementary Chesterfield County Public Schools,Reams Road Elementary,Chesterfield County Public Schools,10141 Reams Rd.,North Chesterfield,VA,23236,37.487735,-77.587062
Robious Elementary Chesterfield County Public Schools,Robious Elementary,Chesterfield County Public Schools,2801 Robious Crossing Dr.,Midlothian,VA,23113,37.531595,-77.613521
Salem Church Elementary Chesterfield County Public Schools,Salem Church Elementary,Chesterfield County Public Schools,9600 Salem Church Rd.,North Chesterfield,VA,23237,37.385161,-77.484012
Spring Run Elementary Chesterfield County Public Schools,Spring Run Elementary,Chesterfield County Public Schools,13901 Spring Run Rd,Midlothian,VA,23112,37.382693,-77.651947
Swift Creek Elementary Chesterfield County Public Schools,Swift Creek Elementary,Chesterfield County Public Schools,13800 Genito Rd.,Midlothian,VA,23112,37.451565,-77.659296
Thelma Crenshaw Elementary Chesterfield County Public Schools,Thelma Crenshaw Elementary,Chesterfield County Public Schools,11901 Bailey Bridge Rd.,Midlothian,VA,23112,37.41657,-77.61003
W.W. Gordon Elementary Chesterfield County Public Schools,W.W. Gordon Elementary,Chesterfield County Public Schools,11701 Gordon School Rd.,North Chesterfield,VA,23236,37.477758,-77.616104
Winterpock Elementary Chesterfield County Public Schools,Winterpock Elementary,Chesterfield County Public Schools,9000 Elementary Way Loop,Chesterfield,VA,23832,37.379575,-77.711944
Woolridge Elementary Chesterfield County Public Schools,Woolridge Elementary,Chesterfield County Public Schools,5401 Timber Bluff Pkwy.,Midlothian,VA,23112,37.426788,-77.690148
Chatham Elementary Pittsylvania County Public Schools,Chatham Elementary,Pittsylvania County Public Schools,245 Chatham Elementary Lane,Chatham,VA,24531,36.840617,-79.396856
Gretna Elementary Pittsylvania County Public Schools,Gretna Elementary,Pittsylvania County Public Schools,302 Franklin Blvd South,Gretna,VA,24557,36.95015,-79.366346
John L. Hurt Elementary Pittsylvania County Public Schools,John L. Hurt Elementary,Pittsylvania County Public Schools,315 Prospect Rd,Hurt,VA,24563,37.093459,-79.297091
Kentuck Elementary Pittsylvania County Public Schools,Kentuck Elementary,Pittsylvania County Public Schools,100 Kentuck Elementary Cir,Ringgold,VA,24586,36.656025,-79.302649
Mount Airy Elementary Pittsylvania County Public Schools,Mount Airy Elementary,Pittsylvania County Public Schools,100 Mt Airy Elementary Cir,Gretna,VA,24557,36.945688,-79.178414
Southside Elementary Pittsylvania County Public Schools,Southside Elementary,Pittsylvania County Public Schools,440 East Witt Rd,Blairs,VA,24527,36.688163,-79.373469
Stony Mill Elementary Pittsylvania County Public Schools,Stony Mill Elementary,Pittsylvania County Public Schools,100 Stony Mill Elementary Cir,Danville,VA,24541,36.640126,-79.5635
Twin Springs Elementary Pittsylvania County Public Schools,Twin Springs Elementary,Pittsylvania County Public Schools,100 Twin Springs Elem Cir,Danville,VA,24540,36.687632,-79.427829
Union Hall Elementary Pittsylvania County Public Schools,Union Hall Elementary,Pittsylvania County Public Schools,100 Union Hall Cir,Chatham,VA,24531,36.771971,-79.534633
Battlefield Elementary Spotsylvania County Public Schools,Battlefield Elementary,Spotsylvania County Public Schools,11108 Leavells Rd,Fredericksburg,VA,22407,38.263736,-77.541234
Berkeley Elementary Spotsylvania County Public Schools,Berkeley Elementary,Spotsylvania County Public Schools,5979 Partlow Road,Spotsylvania,VA,22553,38.121285,-77.616941
Brock Road Elementary Spotsylvania County Public Schools,Brock Road Elementary,Spotsylvania County Public Schools,10207 Brock Rd,Spotsylvania,VA,22553,38.282334,-77.681805
Cedar Forest Elementary Spotsylvania County Public Schools,Cedar Forest Elementary,Spotsylvania County Public Schools,3412 Massaponax Church Road,Fredericksburg,VA,22408,38.213238,-77.462502
Chancellor Elementary Spotsylvania County Public Schools,Chancellor Elementary,Spotsylvania County Public Schools,5995 Plank Rd,Fredericksburg,VA,22407,38.293586,-77.582509
Courthouse Road Elementary Spotsylvania County Public Schools,Courthouse Road Elementary,Spotsylvania County Public Schools,9911 Courthouse Rd,Spotsylvania,VA,22553,38.236589,-77.547099
Courtland Elementary Spotsylvania County Public Schools,Courtland Elementary,Spotsylvania County Public Schools,6601 Smith Station Rd,Spotsylvania,VA,22553,38.228417,-77.553822
Harrison Road Elementary Spotsylvania County Public Schools,Harrison Road Elementary,Spotsylvania County Public Schools,6230 Harrison Road,Fredericksburg,VA,22407,38.274971,-77.552322
Lee Hill Elementary Spotsylvania County Public Schools,Lee Hill Elementary,Spotsylvania County Public Schools,3600 Lee Hill School Dr,Fredericksburg,VA,22408,38.227045,-77.460061
Livingston Elementary Spotsylvania County Public Schools,Livingston Elementary,Spotsylvania County Public Schools,6057 Courthouse Rd,Spotsylvania,VA,22551,38.1242,-77.737709
Parkside Elementary Spotsylvania County Public Schools,Parkside Elementary,Spotsylvania County Public Schools,5620 Smith Station Rd.,Fredericksburg,VA,22407,38.199259,-77.531184
Riverview Elementary Spotsylvania County Public Schools,Riverview Elementary,Spotsylvania County Public Schools,7001 N Roxbury Mill Rd,Spotsylvania,VA,22553,38.155223,-77.514504
Salem Elementary Spotsylvania County Public Schools,Salem Elementary,Spotsylvania County Public Schools,4501 Jackson Rd,Fredericksburg,VA,22407,38.284511,-77.53322
Smith Station Elementary Spotsylvania County Public Schools,Smith Station Elementary,Spotsylvania County Public Schools,7320 Smith Station Road,Fredericksburg,VA,22407,38.252489,-77.580309
Spotswood Elementary Spotsylvania County Public Schools,Spotswood Elementary,Spotsylvania County Public Schools,400 Lorraine Ave,Fredericksburg,VA,22408,38.256062,-77.486003
Spotsylvania Elementary Spotsylvania County Public Schools,Spotsylvania Elementary,Spotsylvania County Public Schools,7415 Brock Rd,Spotsylvania,VA,22553,38.203224,-77.590753
Wilderness Elementary Spotsylvania County Public Schools,Wilderness Elementary,Spotsylvania County Public Schools,11600 Catharpin Rd,Spotsylvania,VA,22553,38.274287,-77.626291
Newtown Elementary Virginia Beach City Public Schools,Newtown Elementary,Virginia Beach City Public Schools,5277 Learning Circle,Virginia Beach,VA,23462,36.861572,-76.159741
Williams Elementary Virginia Beach City Public Schools,Williams Elementary,Virginia Beach City Public Schools,892 Newtown Rd,Virginia Beach,VA,23462,36.864038,-76.163989
Alanton Elementary Virginia Beach City Public Schools,Alanton Elementary,Virginia Beach City Public Schools,1441 Stephens Rd,Virginia Beach,VA,23454,36.883055,-76.031474
Arrowhead Elementary Virginia Beach City Public Schools,Arrowhead Elementary,Virginia Beach City Public Schools,5549 Susquehanna Dr,Virginia Beach,VA,23462,36.831813,-76.18657
Bayside Elementary Virginia Beach City Public Schools,Bayside Elementary,Virginia Beach City Public Schools,5649 Bayside Rd,Virginia Beach,VA,23455,36.895123,-76.179548
Birdneck Elementary Virginia Beach City Public Schools,Birdneck Elementary,Virginia Beach City Public Schools,957 S Birdneck Rd,Virginia Beach,VA,23451,36.809216,-75.993403
Brookwood Elementary Virginia Beach City Public Schools,Brookwood Elementary,Virginia Beach City Public Schools,601 S Lynnhaven Rd,Virginia Beach,VA,23452,36.819756,-76.076641
Centerville Elementary Virginia Beach City Public Schools,Centerville Elementary,Virginia Beach City Public Schools,2201 Centerville Tnpk,Virginia Beach,VA,23464,36.768493,-76.189678
Christopher Farms Elementary Virginia Beach City Public Schools,Christopher Farms Elementary,Virginia Beach City Public Schools,2828 Pleasant Acres Dr,Virginia Beach,VA,23453,36.76809,-76.066337
College Park Elementary Virginia Beach City Public Schools,College Park Elementary,Virginia Beach City Public Schools,1110 Bennington Rd,Virginia Beach,VA,23464,36.805155,-76.212434
Corporate Landing Elementary Virginia Beach City Public Schools,Corporate Landing Elementary,Virginia Beach City Public Schools,1590 Corporate Landing Pkwy,Virginia Beach,VA,23454,36.787876,-76.007156
Creeds Elementary Virginia Beach City Public Schools,Creeds Elementary,Virginia Beach City Public Schools,920 Princess Anne Rd,Virginia Beach,VA,23457,36.636717,-76.037397
Fairfield Elementary Virginia Beach City Public Schools,Fairfield Elementary,Virginia Beach City Public Schools,5428 Providence Rd,Virginia Beach,VA,23464,36.816527,-76.178863
Glenwood Elementary Virginia Beach City Public Schools,Glenwood Elementary,Virginia Beach City Public Schools,2213 Round Hill Dr,Virginia Beach,VA,23464,36.773417,-76.139071
Green Run Elementary Virginia Beach City Public Schools,Green Run Elementary,Virginia Beach City Public Schools,1200 Green Garden Circle,Virginia Beach,VA,23453,36.79998,-76.090984
Hermitage Elementary Virginia Beach City Public Schools,Hermitage Elementary,Virginia Beach City Public Schools,1701 Pleasure House Road,Virginia Beach,VA,23455,36.897337,-76.140175
Holland Elementary Virginia Beach City Public Schools,Holland Elementary,Virginia Beach City Public Schools,3340 Holland Rd,Virginia Beach,VA,23452,36.804046,-76.087637
Indian Lakes Elementary Virginia Beach City Public Schools,Indian Lakes Elementary,Virginia Beach City Public Schools,1240 Homestead Dr,Virginia Beach,VA,23464,36.79836,-76.146032
John B. Dey Elementary Virginia Beach City Public Schools,John B. Dey Elementary,Virginia Beach City Public Schools,1900 N Great Neck Road,Virginia Beach,VA,23454,36.897795,-76.062319
Kempsville Elementary Virginia Beach City Public Schools,Kempsville Elementary,Virginia Beach City Public Schools,570 Kempsville Rd,Virginia Beach,VA,23464,36.822918,-76.160329
Kempsville Meadows Elementary Virginia Beach City Public Schools,Kempsville Meadows Elementary,Virginia Beach City Public Schools,736 Edwin Dr,Virginia Beach,VA,23462,36.817279,-76.141958
King's Grant Elementary Virginia Beach City Public Schools,King's Grant Elementary,Virginia Beach City Public Schools,612 N Lynnhaven Rd,Virginia Beach,VA,23452,36.854326,-76.086871
Kingston Elementary Virginia Beach City Public Schools,Kingston Elementary,Virginia Beach City Public Schools,3532 Kings Grant Rd,Virginia Beach,VA,23452,36.862473,-76.095282
Landstown Elementary Virginia Beach City Public Schools,Landstown Elementary,Virginia Beach City Public Schools,2212 Recreation Dr,Virginia Beach,VA,23456,36.776657,-76.105549
Linkhorn Park Elementary Virginia Beach City Public Schools,Linkhorn Park Elementary,Virginia Beach City Public Schools,977 First Colonial Rd,Virginia Beach,VA,23454,36.859843,-76.027681
Luxford Elementary Virginia Beach City Public Schools,Luxford Elementary,Virginia Beach City Public Schools,4808 Haygood Rd,Virginia Beach,VA,23455,36.872752,-76.143721
Lynnhaven Elementary Virginia Beach City Public Schools,Lynnhaven Elementary,Virginia Beach City Public Schools,210 Dillon Dr,Virginia Beach,VA,23452,36.834835,-76.084526
Malibu Elementary Virginia Beach City Public Schools,Malibu Elementary,Virginia Beach City Public Schools,3632 Edinburgh Dr,Virginia Beach,VA,23452,36.846939,-76.098552
New Castle Elementary Virginia Beach City Public Schools,New Castle Elementary,Virginia Beach City Public Schools,4136 Dam Neck Road,Virginia Beach,VA,23456,36.766557,-76.110043
North Landing Elementary Virginia Beach City Public Schools,North Landing Elementary,Virginia Beach City Public Schools,2929 N Landing Rd,Virginia Beach,VA,23456,36.739462,-76.072976
Ocean Lakes Elementary Virginia Beach City Public Schools,Ocean Lakes Elementary,Virginia Beach City Public Schools,1616 Upton Dr,Virginia Beach,VA,23454,36.785335,-75.991571
Parkway Elementary Virginia Beach City Public Schools,Parkway Elementary,Virginia Beach City Public Schools,4180 O'Hare Dr,Virginia Beach,VA,23453,36.797595,-76.123148
Pembroke Elementary Virginia Beach City Public Schools,Pembroke Elementary,Virginia Beach City Public Schools,4622 Jericho Rd,Virginia Beach,VA,23462,36.857419,-76.136238
Pembroke Meadows Elementary Virginia Beach City Public Schools,Pembroke Meadows Elementary,Virginia Beach City Public Schools,820 Cathedral Dr,Virginia Beach,VA,23455,36.865207,-76.128267
Point O' View Elementary Virginia Beach City Public Schools,Point O' View Elementary,Virginia Beach City Public Schools,5400 Parliament Dr,Virginia Beach,VA,23462,36.838724,-76.170339
Princess Anne Elementary Virginia Beach City Public Schools,Princess Anne Elementary,Virginia Beach City Public Schools,2444 Seaboard Rd,Virginia Beach,VA,23456,36.752168,-76.032014
Providence Elementary Virginia Beach City Public Schools,Providence Elementary,Virginia Beach City Public Schools,4968 Providence Rd,Virginia Beach,VA,23464,36.810154,-76.154368
Red Mill Elementary Virginia Beach City Public Schools,Red Mill Elementary,Virginia Beach City Public Schools,1860 Sandbridge Rd,Virginia Beach,VA,23456,36.747858,-76.000343
Rosemont Elementary Virginia Beach City Public Schools,Rosemont Elementary,Virginia Beach City Public Schools,1257 Rosemont Rd,Virginia Beach,VA,23453,36.79814,-76.100482
Rosemont Forest Elementary Virginia Beach City Public Schools,Rosemont Forest Elementary,Virginia Beach City Public Schools,1716 Grey Friars Chase,Virginia Beach,VA,23456,36.782975,-76.128276
Salem Elementary Virginia Beach City Public Schools,Salem Elementary,Virginia Beach City Public Schools,3961 Salem Lakes Blvd,Virginia Beach,VA,23456,36.77321,-76.121326
Seatack Elementary an Achievable Dream Academy Virginia Beach City Public Schools,Seatack Elementary an Achievable Dream Academy,Virginia Beach City Public Schools,912 S Birdneck Road,Virginia Beach,VA,23451,36.812189,-75.992699
Shelton Park Elementary Virginia Beach City Public Schools,Shelton Park Elementary,Virginia Beach City Public Schools,1700 Shelton Rd,Virginia Beach,VA,23455,36.898611,-76.147448
Strawbridge Elementary Virginia Beach City Public Schools,Strawbridge Elementary,Virginia Beach City Public Schools,2553 Strawbridge Rd,Virginia Beach,VA,23456,36.765911,-76.01812
Tallwood Elementary Virginia Beach City Public Schools,Tallwood Elementary,Virginia Beach City Public Schools,2025 Kempsville Rd,Virginia Beach,VA,23464,36.779342,-76.196998
Thalia Elementary Virginia Beach City Public Schools,Thalia Elementary,Virginia Beach City Public Schools,421 Thalia Rd,Virginia Beach,VA,23452,36.846509,-76.121666
Thoroughgood Elementary Virginia Beach City Public Schools,Thoroughgood Elementary,Virginia Beach City Public Schools,1701 Pleasure House Rd (temp.),Virginia Beach,VA,23455,36.897337,-76.140175
Three Oaks Elementary Virginia Beach City Public Schools,Three Oaks Elementary,Virginia Beach City Public Schools,2201 Elson Green Avenue,Virginia Beach,VA,23456,36.75324,-76.013387
Trantwood Elementary Virginia Beach City Public Schools,Trantwood Elementary,Virginia Beach City Public Schools,2344 Inlynnview Rd,Virginia Beach,VA,23454,36.865723,-76.050059
W.T. Cooke Elementary Virginia Beach City Public Schools,W.T. Cooke Elementary,Virginia Beach City Public Schools,1501 Mediterranean Ave,Virginia Beach,VA,23451,36.842371,-75.979931
White Oaks Elementary Virginia Beach City Public Schools,White Oaks Elementary,Virginia Beach City Public Schools,960 Windsor Oaks Blvd,Virginia Beach,VA,23462,36.803288,-76.122993
Windsor Oaks Elementary Virginia Beach City Public Schools,Windsor Oaks Elementary,Virginia Beach City Public Schools,3800 Van Buren Dr,Virginia Beach,VA,23452,36.822985,-76.10306
Windsor Woods Elementary Virginia Beach City Public Schools,Windsor Woods Elementary,Virginia Beach City Public Schools,233 Presidential Blvd,Virginia Beach,VA,23452,36.831611,-76.103251
Woodstock Elementary Virginia Beach City Public Schools,Woodstock Elementary,Virginia Beach City Public Schools,6016 Providence Rd,Virginia Beach,VA,23464,36.813565,-76.201734
Bayside 6th Grade Campus Virginia Beach City Public Schools,Bayside 6th Grade Campus,Virginia Beach City Public Schools,4722 Jericho Road,Virginia Beach,VA,23462,36.85751,-76.138697
Burnley-Moran Elementary Charlottesville City Public Schools,Burnley-Moran Elementary,Charlottesville City Public Schools,1300 Long Street,Charlottesville,VA,22901,38.035319,-78.4627
Clark Elementary Charlottesville City Public Schools,Clark Elementary,Charlottesville City Public Schools,1000 Belmont Avenue,Charlottesville,VA,22902,38.022736,-78.473958
Greenbrier Elementary Charlottesville City Public Schools,Greenbrier Elementary,Charlottesville City Public Schools,2228 Greenbrier Drive,Charlottesville,VA,22901,38.064014,-78.470388
Jackson-Via Elementary Charlottesville City Public Schools,Jackson-Via Elementary,Charlottesville City Public Schools,508 Harris Road,Charlottesville,VA,22903,38.014073,-78.504461
Johnson Elementary Charlottesville City Public Schools,Johnson Elementary,Charlottesville City Public Schools,1645 Cherry Avenue,Charlottesville,VA,22903,38.021792,-78.50617
Venable Elementary Charlottesville City Public Schools,Venable Elementary,Charlottesville City Public Schools,406 14th Street NW,Charlottesville,VA,22903,38.038603,-78.496497
Walker Upper Elementary Charlottesville City Public Schools,Walker Upper Elementary,Charlottesville City Public Schools,1564 Dairy Road,Charlottesville,VA,22903,38.05303,-78.483052
Carrollton Elementary Isle of Wight County Public Schools,Carrollton Elementary,Isle of Wight County Public Schools,14440 New Towne Haven Ln,Carrollton,VA,23314,36.93893,-76.557274
Hardy Elementary Isle of Wight County Public Schools,Hardy Elementary,Isle of Wight County Public Schools,9311 Hardy Cir,Smithfield,VA,23430,37.013823,-76.633145
Carrsville Elementary Isle of Wight County Public Schools,Carrsville Elementary,Isle of Wight County Public Schools,5355 Carrsville Hwy,Carrsville,VA,23315,36.714319,-76.832852
Windsor Elementary Isle of Wight County Public Schools,Windsor Elementary,Isle of Wight County Public Schools,20008 Courthouse Hwy,Windsor,VA,23487,36.869299,-76.738201
Westside Elementary Isle of Wight County Public Schools,Westside Elementary,Isle of Wight County Public Schools,800 Main Street,Smithfield,VA,23430,36.975134,-76.649331
A. Henderson Elementary Prince William County Public Schools,A. Henderson Elementary,Prince William County Public Schools,3799 Waterway Dr,Dumfries,VA,22025,38.621549,-77.343909
Buckland Mills Elementary Prince William County Public Schools,Buckland Mills Elementary,Prince William County Public Schools,10511 Wharfdale Place,Gainesville,VA,20155,38.798561,-77.636296
Cedar Point Elementary Prince William County Public Schools,Cedar Point Elementary,Prince William County Public Schools,12601 Braemar Parkway,Bristow,VA,20136,38.734256,-77.571339
Coles Elementary Prince William County Public Schools,Coles Elementary,Prince William County Public Schools,7405 Hoadly Rd,Manassas,VA,20112,38.658823,-77.429164
Montclair Elementary Prince William County Public Schools,Montclair Elementary,Prince William County Public Schools,4920 Tallowwood Dr,Dumfries,VA,22025,38.625937,-77.358017
Occoquan Elementary Prince William County Public Schools,Occoquan Elementary,Prince William County Public Schools,12915 Occoquan Rd,Woodbridge,VA,22192,38.671782,-77.259709
Rockledge Elementary Prince William County Public Schools,Rockledge Elementary,Prince William County Public Schools,2300 Mariner Ln,Woodbridge,VA,22192,38.683896,-77.276594
Samuel L. Gravely Jr. Elementary Prince William County Public Schools,Samuel L. Gravely Jr. Elementary,Prince William County Public Schools,4670 Waverly Farm Drive,Haymarket,VA,20169,38.859317,-77.645709
Sharon C. McAuliffe Elementary Prince William County Public Schools,Sharon C. McAuliffe Elementary,Prince William County Public Schools,13540 Princedale Dr,Woodbridge,VA,22193,38.650022,-77.377309
Sudley Elementary Prince William County Public Schools,Sudley Elementary,Prince William County Public Schools,9744 Copeland Dr,Manassas,VA,20109,38.792894,-77.487002
T. Clay Wood Elementary Prince William County Public Schools,T. Clay Wood Elementary,Prince William County Public Schools,10600 Kettle Run Road,Nokesville,VA,20109,38.723336,-77.580239
