Division Name,School Name,percentage_disabled
Chesterfield County,J.G. Hening Elementary,0.14443084455324356
Chesterfield County,Jacobs Road Elementary,0.1669064748201439
Chesterfield County,James River High,1.0
Chesterfield County,Lloyd C. Bird High,1.0
Chesterfield County,Manchester High,1.0
Chesterfield County,Manchester Middle,0.12877442273534637
Chesterfield County,Marguerite F. Christian Elementary,0.1303680981595092
Chesterfield County,Matoaca Elementary,0.12173913043478261
Chesterfield County,Matoaca High,1.0
Chesterfield County,Matoaca Middle,0.13492927094668117
Chesterfield County,Meadowbrook High,1.0
Chesterfield County,Midlothian High,1.0
Chesterfield County,Midlothian Middle,1.0
Chesterfield County,Monacan High,1.0
Chesterfield County,O.B. Gates Elementary,0.1945945945945946
Chesterfield County,Old Hundred Elementary,0.12251655629139073
Chesterfield County,Providence Elementary,0.16773162939297126
Chesterfield County,Providence Middle,0.14122137404580154
Chesterfield County,Reams Road Elementary,0.1375
Chesterfield County,Robious Elementary,0.1297134238310709
Chesterfield County,Robious Middle,0.14310494362532525
Chesterfield County,Salem Church Elementary,0.10810810810810811
Chesterfield County,Salem Church Middle,0.15600448933782268
Chesterfield County,Spring Run Elementary,0.1449771689497717
Chesterfield County,Swift Creek Elementary,0.1497584541062802
Chesterfield County,Swift Creek Middle,0.12364620938628158
Chesterfield County,Thelma Crenshaw Elementary,0.1426448736998514
Chesterfield County,Thomas Dale High,1.0
Chesterfield County,Tomahawk Creek Middle,1.0
Chesterfield County,W.W. Gordon Elementary,0.09982788296041308
Chesterfield County,Winterpock Elementary,1.0
Chesterfield County,Woolridge Elementary,0.13064713064713065
Clarke County,Boyce Elementary,0.1237785016286645
Clarke County,Clarke County High,0.10441176470588236
Clarke County,D.G. Cooley Elementary,0.0951276102088167
Clarke County,Johnson-Williams Middle,0.11750599520383694
Colonial Beach,Colonial Beach Elementary,0.15384615384615385
Colonial Beach,Colonial Beach High,0.12340425531914893
Colonial Heights City,Colonial Heights High,0.16786570743405277
Colonial Heights City,Colonial Heights Middle,0.19877675840978593
Colonial Heights City,Lakeview Elementary,0.13043478260869565
Colonial Heights City,North Elementary,0.11285266457680251
Colonial Heights City,Tussing Elementary,0.1683673469387755
Covington City,Covington High,0.20916905444126074
Covington City,Edgemont Primary,0.1873015873015873
Covington City,Jeter-Watson Intermediate,0.1986754966887417
Craig County,Craig County High,0.23333333333333334
Craig County,McCleary Elementary,0.3192488262910798
Culpeper County,A.G. Richardson Elementary,0.16974169741697417
Culpeper County,Culpeper County High,1.0
Culpeper County,Culpeper Middle,0.09727272727272727
Culpeper County,Eastern View High,1.0
Culpeper County,Emerald Hill Elementary,0.10043668122270742
Culpeper County,Farmington Elementary,0.09572301425661914
Culpeper County,Floyd T. Binns Middle,0.09090909090909091
Culpeper County,Galbreath-Marshall Building,
Culpeper County,Pearl Sample Elementary,0.1352253756260434
