Division Name,School Name,percentage_disadvantaged,percentage_english_learners,percentage_foster_care,percentage_male,percentage_homeless,percentage_military,percentage_disabled,free_reduced_lunch_percentage,chronic_absenteeism_rate,cohort_dropout_rate,Bachelors_Percent,Masters_Percent,Doctoral_Percent,SOL Pass Rate,School_Level_Expenditures_Per_Pupil_Federal,School_Level_Expenditures_Per_Pupil_State,Division_Level_Expenditures_Per_Pupil_Federal,Division_Level_Expenditures_Per_Pupil_State,Total_Per_Pupil_Expenditures,Total_Expenditures
Stafford County,Anne E. Moncure Elementary,0.5559440559440559,0.3261648745519713,0.0011655011655011,0.5198135198135199,0.0,0.0174825174825174,0.0897435897435897,0.617,0.1556,,38.0,54.0,0.0,0.52,384.0,8649.0,237.0,3487.0,12757.0,9880660.0
Stafford County,Anthony Burns Elementary,0.3735795454545454,0.1087267525035765,0.0,0.5014204545454546,0.0,0.0738636363636363,0.1264204545454545,0.423,0.1463,,47.0,45.0,0.0,0.6275,314.0,8064.0,237.0,3487.0,12101.0,22732935.0
Henrico County,Anthony P. Mehfoud Elementary,0.5325077399380805,0.0,0.0030959752321981,0.5294117647058824,0.0,0.0247678018575851,0.1671826625386996,,,,,,,,,,,,,
Prince William County,Antietam Elementary,0.4388020833333333,0.2439024390243902,0.0,0.5234375,0.0,0.06640625,0.1276041666666666,0.389,0.2177,,43.0,50.0,3.0,0.5975,343.0,9288.0,571.0,3640.0,13841.0,9581106.0
Frederick County,Apple Pie Ridge Elementary,0.5,0.1014492753623188,0.0023696682464454,0.5165876777251185,0.0,0.0047393364928909,0.1729857819905213,0.417,0.1682999999999999,,53.0,47.0,0.0,0.56,636.0,9955.0,136.0,2885.0,13612.0,7877733.0
Appomattox County,Appomattox County High,0.3879310344827586,0.0,0.0086206896551724,0.4885057471264368,0.0,0.0186781609195402,0.0977011494252873,0.414,0.2529,0.0469,49.0,43.0,3.0,0.77,585.0,6758.0,175.0,2993.0,10511.0,5684735.0
Appomattox County,Appomattox Elementary,0.4650698602794411,0.0,0.0039920159680638,0.5369261477045908,0.0,0.0179640718562874,0.1077844311377245,0.507,0.0978,,55.0,39.0,2.0,0.6975,451.0,7341.0,175.0,2993.0,10960.0,7509315.0
Appomattox County,Appomattox Middle,0.5064456721915286,0.0,0.007366482504604,0.4659300184162062,0.0,0.0220994475138121,0.0976058931860036,0.528,0.1852,,53.0,43.0,3.0,0.638,2545.0,7552.0,556.0,2975.0,13628.0,5492069.0
Appomattox County,Appomattox Primary,0.5150501672240803,0.0,0.0050167224080267,0.5117056856187291,0.0,0.0217391304347826,0.1270903010033444,,,,,,,,,,,,,
Accomack County,Arcadia High,0.3828238719068413,0.1389728096676737,0.0014556040756914,0.529839883551674,0.024745269286754,0.0058224163027656,0.1295487627365356,0.911,0.2349,0.0773,47.0,39.0,4.0,0.616,1193.0,7297.0,588.0,3206.0,12284.0,6921096.0
