Division Name,School Name,free_reduced_lunch_percentage
Fairfax County,Fairfax High,0.243
Fairfax County,Fairfax Villa Elementary,0.235
Richmond City,Fairfield Court Elementary,1.0
Virginia Beach City,Fairfield Elementary,0.336
Rockbridge County,Fairfield Elementary,0.5379999999999999
Henrico County,Fairfield Middle,0.823
Fairfax County,Fairhill Elementary,0.264
Grayson County,Fairview Elementary,0.72
Roanoke City,Fairview Elementary,1.0
Fairfax County,Fairview Elementary,0.07200000000000001
Montgomery County,Falling Branch Elementary,0.423
Chesterfield County,Falling Creek Elementary,0.902
Chesterfield County,Falling Creek Middle,0.9009999999999999
Roanoke City,Fallon Park Elementary,1.0
Fairfax County,Falls Church High,0.555
Stafford County,Falmouth Elementary,0.47200000000000003
Carroll County,Fancy Gap Elementary,0.426
Prince William County,Fannie W. Fitzgerald Elementary,0.5579999999999999
Culpeper County,Farmington Elementary,0.691
Loudoun County,Farmwell Station Middle,0.20199999999999999
Fauquier County,Fauquier High,0.192
Prince William County,Featherstone Elementary,0.813
Alexandria City,Ferdinand T. Day Elementary,0.821
Franklin County,Ferrum Elementary,0.852
Stafford County,Ferry Farm Elementary,0.366
Virginia Beach City,First Colonial High,0.308
Roanoke City,Fishburn Park Elementary,1.0
Powhatan County,Flat Rock Elementary,0.184
Lee County,Flatwoods Elementary,0.945
Fairfax County,Flint Hill Elementary,0.069
Suffolk City,Florence Bowser Elementary,0.385
Fairfax County,Floris Elementary,0.07
Floyd County,Floyd County High,0.401
Floyd County,Floyd Elementary,0.493
Virginia Beach City,Floyd Kellam High,0.113
Culpeper County,Floyd T. Binns Middle,0.52
Fluvanna County,Fluvanna County High,0.316
Fluvanna County,Fluvanna Middle,0.371
Fairfax County,Forest Edge Elementary,0.515
Bedford County,Forest Elementary,0.135
Suffolk City,Forest Glen Middle,0.469
Loudoun County,Forest Grove Elementary,0.608
Danville City,Forest Hills Elementary,1.0
Bedford County,Forest Middle,0.195
Prince William County,Forest Park High,0.322
Fairfax County,Forestdale Elementary,0.552
Fairfax County,Forestville Elementary,0.033
Fairfax County,Fort Belvoir Upper Elementary,0.35200000000000004
Scott County,Fort Blackmore Primary,0.8290000000000001
Wythe County,Fort Chiswell High,0.41
Wythe County,Fort Chiswell Middle,0.49700000000000005
Augusta County,Fort Defiance High,0.28800000000000003
Fairfax County,Fort Hunt Elementary,0.305
Roanoke County,Fort Lewis Elementary,0.21100000000000002
Fairfax County,Fox Mill Elementary,0.067
Loudoun County,Frances Hazel Reid Elementary,0.27899999999999997
Hampton City,Francis Asbury Elementary,0.408
Alexandria City,Francis C. Hammond Middle,0.778
Hampton City,Francis W. Jones Magnet Middle,0.42200000000000004
Fairfax County,Franconia Elementary,0.24
Virginia Beach City,Frank W. Cox High,0.226
Franklin County,Franklin County High,0.434
Franklin City,Franklin High,1.0
Fairfax County,Franklin Middle,0.172
Richmond City,Franklin Military Academy,1.0
Prince William County,Fred M. Lynn Middle,0.7909999999999999
Frederick County,Frederick County Middle,0.35700000000000004
Winchester City,Frederick Douglass Elementary,0.828
Loudoun County,Frederick Douglass Elementary,0.42100000000000004
Fairfax County,Freedom Hill Elementary,0.281
Spotsylvania County,Freedom Middle,0.358
Grayson County,Fries Elementary,0.883
Fairfax County,Frost Middle,0.133
Rockingham County,Fulks Run Elementary,0.534
Chesapeake City,G.A. Treakle Elementary,0.9690000000000001
Richmond City,G.H. Reid Elementary,1.0
Danville City,G.L.H. Johnson Elementary,1.0
Salem City,G.W. Carver Elementary,0.499
Frederick County,Gainesboro Elementary,0.348
Prince William County,Gainesville Middle,0.16699999999999998
Galax City,Galax Elementary,0.6629999999999999
Galax City,Galax High,0.632
Galax City,Galax Middle,0.62
Danville City,Galileo Magnet High,1.0
Prince William County,Gar-Field High,0.669
Roanoke City,Garden City Elementary,1.0
Fairfax County,Garfield Elementary,0.825
Winchester City,Garland R. Quarles Elementary,0.8290000000000001
Scott County,Gate City High,0.534
Scott County,Gate City Middle,0.55
Henrico County,Gayton Elementary,0.10800000000000001
Newport News City,General Stanford Elementary,0.765
Manassas City,George Carr Round Elementary,0.5770000000000001
Henrico County,George F. Baker Elementary,0.6809999999999999
Prince William County,George G. Tyler Elementary,0.24
Henrico County,George H. Moody Middle,0.303
Prince William County,George M. Hampton Middle,0.746
Alexandria City,George Mason Elementary,0.301
Prince William County,George P. Mullen Elementary,0.701
Hampton City,George P. Phenix Elementary,0.395
Richmond City,George W. Carver Elementary,1.0
Chesapeake City,George W. Carver Intermediate,0.97
New Kent County,George W. Watkins Elementary,0.255
Danville City,George Washington High,1.0
Alexandria City,George Washington Middle,0.474
Richmond City,George Wythe High,1.0
Wythe County,George Wythe High,0.516
Chesapeake City,Georgetown Primary,0.706
Isle of Wight County,Georgie D. Tyler Middle,0.423
Norfolk City,Ghent K-8,0.306
Montgomery County,Gilbert Linkous Elementary,0.285
Giles County,Giles High,0.36200000000000004
Richmond City,Ginter Park Elementary,1.0
Franklin County,Glade Hill Elementary,0.655
Washington County,Glade Spring Middle,0.797
Carroll County,Gladesboro Elementary,0.672
Carroll County,Gladeville Elementary,0.6679999999999999
Fairfax County,Glasgow Middle,0.655
Arlington County,Glebe Elementary,0.154
Henrico County,Glen Allen Elementary,0.149
Henrico County,Glen Allen High,0.185
