Division Name,School Name,percentage_english_learners
Buena Vista City,Enderly Heights Elementary,0.0
Buena Vista City,F.W. Kling Jr. Elementary,0.0
Buena Vista City,Parry McCluer High,0.0
Buena Vista City,Parry McCluer Middle,0.0
Campbell County,Altavista Elementary,0.0
Campbell County,Altavista High,0.0
Campbell County,Brookneal Elementary,0.0
Campbell County,Brookville High,0.02354145342886387
Campbell County,Brookville Middle,0.029453015427769985
Campbell County,Concord Elementary,0.0
Campbell County,Leesville Road Elementary,0.09153713298791019
Campbell County,Rustburg Elementary,0.0
Campbell County,Rustburg High,0.0
Campbell County,Rustburg Middle,0.030405405405405407
Campbell County,Tomahawk Elementary,0.04817518248175182
Campbell County,William Campbell High,0.0
Campbell County,Yellow Branch Elementary,0.02877697841726619
Caroline County,Bowling Green Elementary,0.03956343792633015
Caroline County,Caroline High,1.0
Caroline County,Caroline Middle,0.015889830508474576
Caroline County,Lewis and Clark Elementary,0.025522041763341066
Caroline County,Madison Elementary,0.045662100456621
Carroll County,Carroll County High,1.0
Carroll County,Carroll County Middle,0.02826379542395693
Carroll County,Fancy Gap Elementary,0.0
Carroll County,Gladesboro Elementary,0.0
Carroll County,Gladeville Elementary,0.09349593495934959
Carroll County,Hillsville Elementary,0.035940803382663845
Carroll County,Laurel Elementary,0.0
Carroll County,Oakland Elementary,0.12371134020618557
Carroll County,St. Paul,0.050793650793650794
Charles City County,Charles City County Elementary,0.0
Charles City County,Charles City County High,0.0
Charlotte County,Bacon District Elementary,0.0
Charlotte County,Central Middle,0.0
Charlotte County,Eureka Elementary,0.0
Charlotte County,Phenix Elementary,0.0
Charlotte County,Randolph-Henry High,0.0
Charlottesville City,Buford Middle,0.11029411764705882
Charlottesville City,Burnley-Moran Elementary,0.102803738317757
Charlottesville City,Charlottesville High,1.0
Charlottesville City,Clark Elementary,0.18125
Charlottesville City,Greenbrier Elementary,0.18996415770609318
Charlottesville City,Jackson-Via Elementary,0.084375
Charlottesville City,Johnson Elementary,0.09395973154362416
Charlottesville City,Venable Elementary,0.07446808510638298
Charlottesville City,Walker Upper Elementary,0.13780918727915195
Chesapeake City,B.M. Williams Primary,0.04287369640787949
Chesapeake City,Butts Road Intermediate,0.0
Chesapeake City,Butts Road Primary,0.02717391304347826
Chesapeake City,Camelot Elementary,0.07756813417190776
Chesapeake City,Cedar Road Elementary,0.02345679012345679
Chesapeake City,Crestwood Intermediate,0.03768115942028986
Chesapeake City,Crestwood Middle,0.026217228464419477
Chesapeake City,Deep Creek Central Elementary,0.0
Chesapeake City,Deep Creek Elementary,0.11695137976346912
Chesapeake City,Deep Creek High,1.0
Chesapeake City,Deep Creek Middle,0.041343669250646
Chesapeake City,Edwin W. Chittum Elementary,0.0
Chesapeake City,G.A. Treakle Elementary,0.09259259259259259
Chesapeake City,George W. Carver Intermediate,0.13654618473895583
Chesapeake City,Georgetown Primary,0.036671368124118475
Chesapeake City,Grassfield Elementary,1.0
Chesapeake City,Grassfield High,1.0
Chesapeake City,Great Bridge High,1.0
Chesapeake City,Great Bridge Intermediate,0.0
Chesapeake City,Great Bridge Middle,
Chesapeake City,Great Bridge Primary,0.0
Chesapeake City,Greenbrier Intermediate,0.0
Chesapeake City,Greenbrier Middle,0.0
Chesapeake City,Greenbrier Primary,0.03592814371257485
Chesapeake City,Hickory Elementary,0.0
Chesapeake City,Hickory High,
Chesapeake City,Hickory Middle,
Chesapeake City,Hugo A. Owens Middle,1.0
Chesapeake City,Indian River High,1.0
Chesapeake City,Indian River Middle,0.0
Chesapeake City,Jolliff Middle,0.0
Chesapeake City,Norfolk Highlands Primary,0.0
Chesapeake City,Oscar F. Smith High,1.0
Chesapeake City,Oscar Smith Middle,0.0416243654822335
Chesapeake City,Portlock Primary,0.19264448336252188
Chesapeake City,Rena B. Wright Primary,0.0
Chesapeake City,Southeastern Elementary,0.012135922330097087
Chesapeake City,Southwestern Elementary,0.03473491773308958
Chesapeake City,Sparrow Road Intermediate,0.02553191489361702
Chesapeake City,Thurgood Marshall Elementary,0.0
Chesapeake City,Truitt Intermediate,0.0
Chesapeake City,Western Branch High,1.0
Chesapeake City,Western Branch Intermediate,0.013513513513513514
Chesapeake City,Western Branch Middle,0.0
Chesapeake City,Western Branch Primary,0.0
Chesterfield County,A.M. Davis Elementary,0.19484240687679083
Chesterfield County,Alberta Smith Elementary,0.030448717948717948
Chesterfield County,Bailey Bridge Middle,1.0
Chesterfield County,Bellwood Elementary,0.35908141962421714
Chesterfield County,Bensley Elementary,0.542713567839196
Chesterfield County,Bettie Weaver Elementary,0.0
Chesterfield County,Beulah Elementary,0.17796610169491525
Chesterfield County,Bon Air Elementary,0.1606837606837607
Chesterfield County,C.C. Wells Elementary,0.05956112852664577
Chesterfield County,C.E. Curtis Elementary,0.14350453172205438
Chesterfield County,Carver College and Career Academy,0.0
Chesterfield County,Carver Middle,1.0
Chesterfield County,Chester Early Childhood Learning Academy,0.0
Chesterfield County,Clover Hill Elementary,0.03636363636363636
Chesterfield County,Clover Hill High,1.0
Chesterfield County,Cosby High,
Chesterfield County,Crestwood Elementary,0.18118466898954705
Chesterfield County,Ecoff Elementary,0.05327868852459016
Chesterfield County,Elizabeth Davis Middle,1.0
Chesterfield County,Elizabeth Scott Elementary,0.28609625668449196
Chesterfield County,Enon Elementary,0.10540540540540541
Chesterfield County,Ettrick Elementary,0.022448979591836733
Chesterfield County,Evergreen Elementary,0.06651108518086347
Chesterfield County,Falling Creek Elementary,0.35917312661498707
Chesterfield County,Falling Creek Middle,0.23743500866551126
Chesterfield County,Grange Hall Elementary,0.022779043280182234
Chesterfield County,Greenfield Elementary,0.07835051546391752
Chesterfield County,Harrowgate Elementary,0.039647577092511016
Chesterfield County,Hopkins Road Elementary,0.29207232267037553
Chesterfield County,J.A. Chalkley Elementary,0.22871664548919948
Chesterfield County,J.B. Watkins Elementary,0.02802547770700637
Chesterfield County,J.G. Hening Elementary,0.2052896725440806
Chesterfield County,Jacobs Road Elementary,0.0849194729136164
Chesterfield County,James River High,1.0
Chesterfield County,Lloyd C. Bird High,1.0
Chesterfield County,Manchester High,1.0
Chesterfield County,Manchester Middle,0.08718487394957983
Chesterfield County,Marguerite F. Christian Elementary,0.052795031055900624
Chesterfield County,Matoaca Elementary,0.017421602787456445
Chesterfield County,Matoaca High,1.0
Chesterfield County,Matoaca Middle,0.0
Chesterfield County,Meadowbrook High,1.0
Chesterfield County,Midlothian High,1.0
Chesterfield County,Midlothian Middle,1.0
Chesterfield County,Monacan High,1.0
Chesterfield County,O.B. Gates Elementary,0.07481751824817519
Chesterfield County,Old Hundred Elementary,0.0
Chesterfield County,Providence Elementary,0.06807131280388978
Chesterfield County,Providence Middle,0.12186788154897495
Chesterfield County,Reams Road Elementary,0.13636363636363635
Chesterfield County,Robious Elementary,0.035168195718654434
Chesterfield County,Robious Middle,1.0
Chesterfield County,Salem Church Elementary,0.20866141732283464
Chesterfield County,Salem Church Middle,0.10309278350515463
Chesterfield County,Spring Run Elementary,0.047018348623853214
Chesterfield County,Swift Creek Elementary,0.047619047619047616
Chesterfield County,Swift Creek Middle,1.0
Chesterfield County,Thelma Crenshaw Elementary,0.10090361445783133
Chesterfield County,Thomas Dale High,1.0
Chesterfield County,Tomahawk Creek Middle,
Chesterfield County,W.W. Gordon Elementary,0.025996533795493933
Chesterfield County,Winterpock Elementary,1.0
Chesterfield County,Woolridge Elementary,0.01728395061728395
Clarke County,Boyce Elementary,0.0664451827242525
Clarke County,Clarke County High,0.02064896755162242
Clarke County,D.G. Cooley Elementary,0.06103286384976526
Clarke County,Johnson-Williams Middle,0.037037037037037035
Colonial Beach,Colonial Beach Elementary,0.0
Colonial Beach,Colonial Beach High,0.0
Colonial Heights City,Colonial Heights High,0.032569360675512665
Colonial Heights City,Colonial Heights Middle,0.05221518987341772
Colonial Heights City,Lakeview Elementary,0.043478260869565216
