School,Division,Poverty_Level,Title1_Code,Percent_of_Inexperienced_Teachers,Percent_of_Out_of_Field_Teachers,Percent_of_Out_of_Field_and_Inexperienced_Teachers,Sch_Div
Twin Valley High,Buchanan County Public Schools,High Poverty,Non-Title I,6.7,0,0,Twin Valley High Buchanan County Public Schools
Council Elementary/Middle,Buchanan County Public Schools,High Poverty,Title I,0,0,0,Council Elementary/Middle Buchanan County Public Schools
Hurley Elementary/Middle,Buchanan County Public Schools,High Poverty,Title I,5.4,0,0,Hurley Elementary/Middle Buchanan County Public Schools
Twin Valley Elementary/Middle,Buchanan County Public Schools,High Poverty,Title I,9.7,0,0,Twin Valley Elementary/Middle Buchanan County Public Schools
William Campbell High,Campbell County Public Schools,Medium Poverty,Non-Title I,0,11.9,0,William Campbell High Campbell County Public Schools
Concord Elementary,Campbell County Public Schools,Medium Poverty,Title I,0,3.1,0,Concord Elementary Campbell County Public Schools
Rustburg High,Campbell County Public Schools,Medium Poverty,Non-Title I,0,4.8,0,Rustburg High Campbell County Public Schools
Yellow Branch Elementary,Campbell County Public Schools,Medium Poverty,Title I,0,2.7,0,Yellow Branch Elementary Campbell County Public Schools
Altavista High,Campbell County Public Schools,Medium Poverty,Non-Title I,0,7.7,0,Altavista High Campbell County Public Schools
Brookville Middle,Campbell County Public Schools,Medium Poverty,Non-Title I,0,11.3,0,Brookville Middle Campbell County Public Schools
Leesville Road Elementary,Campbell County Public Schools,Medium Poverty,Title I,0,0,0,Leesville Road Elementary Campbell County Public Schools
Altavista Elementary,Campbell County Public Schools,Medium Poverty,Title I,0,5.9,0,Altavista Elementary Campbell County Public Schools
Brookville High,Campbell County Public Schools,Medium Poverty,Non-Title I,0,1.4,0,Brookville High Campbell County Public Schools
Brookneal Elementary,Campbell County Public Schools,Medium Poverty,Title I,0,4.8,0,Brookneal Elementary Campbell County Public Schools
Rustburg Middle,Campbell County Public Schools,Medium Poverty,Non-Title I,0,6,0,Rustburg Middle Campbell County Public Schools
Rustburg Elementary,Campbell County Public Schools,Medium Poverty,Title I,0,0,0,Rustburg Elementary Campbell County Public Schools
Tomahawk Elementary,Campbell County Public Schools,Medium Poverty,Title I,0,0,0,Tomahawk Elementary Campbell County Public Schools
Bowling Green Elementary,Caroline County Public Schools,Medium Poverty,Title I,13,4.3,4.3,Bowling Green Elementary Caroline County Public Schools
Caroline High,Caroline County Public Schools,Medium Poverty,Non-Title I,8.8,17.6,2.9,Caroline High Caroline County Public Schools
Caroline Middle,Caroline County Public Schools,Medium Poverty,Non-Title I,17.5,21.1,7,Caroline Middle Caroline County Public Schools
Madison Elementary,Caroline County Public Schools,Medium Poverty,Title I,6.9,6.9,3.4,Madison Elementary Caroline County Public Schools
Lewis and Clark Elementary,Caroline County Public Schools,Medium Poverty,Non-Title I,9.6,5.8,1.9,Lewis and Clark Elementary Caroline County Public Schools
Greenbrier Middle,Chesapeake City Public Schools,Medium Poverty,Non-Title I,2.2,0,0,Greenbrier Middle Chesapeake City Public Schools
Oscar F. Smith High,Chesapeake City Public Schools,Medium Poverty,Non-Title I,2.8,0.6,0,Oscar F. Smith High Chesapeake City Public Schools
Edwin W. Chittum Elementary,Chesapeake City Public Schools,Low Poverty,Non-Title I,3.4,0,0,Edwin W. Chittum Elementary Chesapeake City Public Schools
Jolliff Middle,Chesapeake City Public Schools,Medium Poverty,Non-Title I,5.9,1.5,0,Jolliff Middle Chesapeake City Public Schools
Southwestern Elementary,Chesapeake City Public Schools,Medium Poverty,Title I,9.6,3.8,0,Southwestern Elementary Chesapeake City Public Schools
Western Branch High,Chesapeake City Public Schools,Medium Poverty,Non-Title I,4.1,0,0,Western Branch High Chesapeake City Public Schools
Western Branch Intermediate,Chesapeake City Public Schools,Medium Poverty,Non-Title I,3.7,0,0,Western Branch Intermediate Chesapeake City Public Schools
Butts Road Intermediate,Chesapeake City Public Schools,Low Poverty,Non-Title I,2.2,2.2,2.2,Butts Road Intermediate Chesapeake City Public Schools
Cedar Road Elementary,Chesapeake City Public Schools,Low Poverty,Non-Title I,3.3,0,0,Cedar Road Elementary Chesapeake City Public Schools
Great Bridge High,Chesapeake City Public Schools,Low Poverty,Non-Title I,2.4,0,0,Great Bridge High Chesapeake City Public Schools
Great Bridge Middle,Chesapeake City Public Schools,Low Poverty,Non-Title I,3.1,1,0,Great Bridge Middle Chesapeake City Public Schools
Hickory Elementary,Chesapeake City Public Schools,Low Poverty,Non-Title I,0,0,0,Hickory Elementary Chesapeake City Public Schools
Hickory High,Chesapeake City Public Schools,Low Poverty,Non-Title I,4.1,0.8,0,Hickory High Chesapeake City Public Schools
Hickory Middle,Chesapeake City Public Schools,Low Poverty,Non-Title I,3.8,2.8,0,Hickory Middle Chesapeake City Public Schools
Southeastern Elementary,Chesapeake City Public Schools,Low Poverty,Non-Title I,3.2,0,0,Southeastern Elementary Chesapeake City Public Schools
Deep Creek Central Elementary,Chesapeake City Public Schools,Low Poverty,Non-Title I,14,0,0,Deep Creek Central Elementary Chesapeake City Public Schools
Deep Creek Elementary,Chesapeake City Public Schools,Medium Poverty,Non-Title I,7.1,0,0,Deep Creek Elementary Chesapeake City Public Schools
Deep Creek High,Chesapeake City Public Schools,Medium Poverty,Non-Title I,0,0,0,Deep Creek High Chesapeake City Public Schools
Deep Creek Middle,Chesapeake City Public Schools,Medium Poverty,Non-Title I,2.8,1.4,1.4,Deep Creek Middle Chesapeake City Public Schools
Grassfield High,Chesapeake City Public Schools,Low Poverty,Non-Title I,3.2,0,0,Grassfield High Chesapeake City Public Schools
Hugo A. Owens Middle,Chesapeake City Public Schools,Low Poverty,Non-Title I,3.2,1.1,0,Hugo A. Owens Middle Chesapeake City Public Schools
Oscar Smith Middle,Chesapeake City Public Schools,High Poverty,Title I,14.1,1,0,Oscar Smith Middle Chesapeake City Public Schools
Truitt Intermediate,Chesapeake City Public Schools,High Poverty,Title I,12.5,3.1,3.1,Truitt Intermediate Chesapeake City Public Schools
Indian River High,Chesapeake City Public Schools,Medium Poverty,Non-Title I,5.4,0.8,0,Indian River High Chesapeake City Public Schools
Indian River Middle,Chesapeake City Public Schools,Medium Poverty,Non-Title I,15.3,1.4,1.4,Indian River Middle Chesapeake City Public Schools
Sparrow Road Intermediate,Chesapeake City Public Schools,Medium Poverty,Title I,14.3,9.5,4.8,Sparrow Road Intermediate Chesapeake City Public Schools
Crestwood Middle,Chesapeake City Public Schools,Medium Poverty,Non-Title I,1.9,1.9,0,Crestwood Middle Chesapeake City Public Schools
Grassfield Elementary,Chesapeake City Public Schools,Low Poverty,Non-Title I,7.5,0,0,Grassfield Elementary Chesapeake City Public Schools
Camelot Elementary,Chesapeake City Public Schools,High Poverty,Title I,4.3,0,0,Camelot Elementary Chesapeake City Public Schools
G.A. Treakle Elementary,Chesapeake City Public Schools,High Poverty,Title I,4.3,0,0,G.A. Treakle Elementary Chesapeake City Public Schools
Norfolk Highlands Primary,Chesapeake City Public Schools,Medium Poverty,Title I,3.1,0,0,Norfolk Highlands Primary Chesapeake City Public Schools
Great Bridge Intermediate,Chesapeake City Public Schools,Low Poverty,Non-Title I,4.3,0,0,Great Bridge Intermediate Chesapeake City Public Schools
Crestwood Intermediate,Chesapeake City Public Schools,Medium Poverty,Title I,3.5,5.3,0,Crestwood Intermediate Chesapeake City Public Schools
George W. Carver Intermediate,Chesapeake City Public Schools,High Poverty,Title I,12,4,2,George W. Carver Intermediate Chesapeake City Public Schools
Georgetown Primary,Chesapeake City Public Schools,Medium Poverty,Title I,7.9,0,0,Georgetown Primary Chesapeake City Public Schools
Western Branch Middle,Chesapeake City Public Schools,Medium Poverty,Non-Title I,0,1.3,0,Western Branch Middle Chesapeake City Public Schools
Greenbrier Intermediate,Chesapeake City Public Schools,Medium Poverty,Non-Title I,8.9,0,0,Greenbrier Intermediate Chesapeake City Public Schools
Thurgood Marshall Elementary,Chesapeake City Public Schools,High Poverty,Title I,6.3,0,0,Thurgood Marshall Elementary Chesapeake City Public Schools
A.G. Richardson Elementary,Culpeper County Public Schools,Medium Poverty,Non-Title I,11.5,7.7,3.8,A.G. Richardson Elementary Culpeper County Public Schools
Culpeper County High,Culpeper County Public Schools,Medium Poverty,Non-Title I,8.5,7.7,1.7,Culpeper County High Culpeper County Public Schools
Culpeper Middle,Culpeper County Public Schools,Medium Poverty,Non-Title I,12.3,8.5,5.7,Culpeper Middle Culpeper County Public Schools
Eastern View High,Culpeper County Public Schools,Medium Poverty,Non-Title I,11.2,12.7,5.2,Eastern View High Culpeper County Public Schools
Farmington Elementary,Culpeper County Public Schools,Medium Poverty,Title I,9.4,9.4,5.7,Farmington Elementary Culpeper County Public Schools
Floyd T. Binns Middle,Culpeper County Public Schools,Medium Poverty,Non-Title I,10.3,5.7,3.4,Floyd T. Binns Middle Culpeper County Public Schools
Sycamore Park Elementary,Culpeper County Public Schools,Medium Poverty,Title I,10.9,7.8,4.7,Sycamore Park Elementary Culpeper County Public Schools
Yowell Elementary,Culpeper County Public Schools,Medium Poverty,Non-Title I,1.8,1.8,0,Yowell Elementary Culpeper County Public Schools
Emerald Hill Elementary,Culpeper County Public Schools,Medium Poverty,Non-Title I,6,6,4,Emerald Hill Elementary Culpeper County Public Schools
Pearl Sample Elementary,Culpeper County Public Schools,Medium Poverty,Title I,7,1.8,0,Pearl Sample Elementary Culpeper County Public Schools
H.M. Pearson Elementary,Fauquier County Public Schools,Medium Poverty,Title I,3.7,7.4,3.7,H.M. Pearson Elementary Fauquier County Public Schools
Claude Thompson Elementary,Fauquier County Public Schools,Medium Poverty,Title I,10.5,5.3,5.3,Claude Thompson Elementary Fauquier County Public Schools
Margaret M. Pierce Elementary,Fauquier County Public Schools,Medium Poverty,Title I,3.1,6.3,3.1,Margaret M. Pierce Elementary Fauquier County Public Schools
C.M. Bradley Elementary,Fauquier County Public Schools,Low Poverty,Non-Title I,3.3,3.3,3.3,C.M. Bradley Elementary Fauquier County Public Schools
James G. Brumfield Elementary,Fauquier County Public Schools,Medium Poverty,Non-Title I,0,0,0,James G. Brumfield Elementary Fauquier County Public Schools
W.C. Taylor Middle,Fauquier County Public Schools,Low Poverty,Non-Title I,17.8,11.1,6.7,W.C. Taylor Middle Fauquier County Public Schools
Warrenton Middle,Fauquier County Public Schools,Low Poverty,Non-Title I,15.6,24.4,6.7,Warrenton Middle Fauquier County Public Schools
P.B. Smith Elementary,Fauquier County Public Schools,Low Poverty,Non-Title I,14.8,7.4,7.4,P.B. Smith Elementary Fauquier County Public Schools
Greenville Elementary,Fauquier County Public Schools,Low Poverty,Non-Title I,5.9,0,0,Greenville Elementary Fauquier County Public Schools
Mary Walter Elementary,Fauquier County Public Schools,Medium Poverty,Title I,12,20,8,Mary Walter Elementary Fauquier County Public Schools
Grace Miller Elementary,Fauquier County Public Schools,Medium Poverty,Title I,8.3,8.3,2.8,Grace Miller Elementary Fauquier County Public Schools
Liberty High,Fauquier County Public Schools,Medium Poverty,Non-Title I,8.2,18,4.9,Liberty High Fauquier County Public Schools
Marshall Middle,Fauquier County Public Schools,Medium Poverty,Non-Title I,6.1,4.1,0,Marshall Middle Fauquier County Public Schools
Auburn Middle,Fauquier County Public Schools,Low Poverty,Non-Title I,6.4,4.3,0,Auburn Middle Fauquier County Public Schools
W.G. Coleman Elementary,Fauquier County Public Schools,Medium Poverty,Non-Title I,8.3,0,0,W.G. Coleman Elementary Fauquier County Public Schools
Fauquier High,Fauquier County Public Schools,Low Poverty,Non-Title I,0.9,12,0,Fauquier High Fauquier County Public Schools
Kettle Run High,Fauquier County Public Schools,Low Poverty,Non-Title I,3.8,26.7,1,Kettle Run High Fauquier County Public Schools
Cedar Lee Middle,Fauquier County Public Schools,Medium Poverty,Non-Title I,5.1,10.2,3.4,Cedar Lee Middle Fauquier County Public Schools
C. Hunter Ritchie Elementary,Fauquier County Public Schools,Low Poverty,Non-Title I,3.3,6.7,0,C. Hunter Ritchie Elementary Fauquier County Public Schools
Fluvanna County High,Fluvanna County Public Schools,Medium Poverty,Non-Title I,5.8,3.3,0.8,Fluvanna County High Fluvanna County Public Schools
Fluvanna Middle,Fluvanna County Public Schools,Medium Poverty,Non-Title I,2.8,0,0,Fluvanna Middle Fluvanna County Public Schools
Carysbrook Elementary,Fluvanna County Public Schools,Medium Poverty,Title I,2.2,0,0,Carysbrook Elementary Fluvanna County Public Schools
Henry Elementary,Franklin County Public Schools,High Poverty,Title I,0,0,0,Henry Elementary Franklin County Public Schools
Burnt Chimney Elementary,Franklin County Public Schools,Medium Poverty,Non-Title I,20.7,0,0,Burnt Chimney Elementary Franklin County Public Schools
Ferrum Elementary,Franklin County Public Schools,High Poverty,Title I,0,0,0,Ferrum Elementary Franklin County Public Schools
Snow Creek Elementary,Franklin County Public Schools,Medium Poverty,Title I,0,0,0,Snow Creek Elementary Franklin County Public Schools
Boones Mill Elementary,Franklin County Public Schools,Medium Poverty,Non-Title I,6.5,3.2,0,Boones Mill Elementary Franklin County Public Schools
Benjamin Franklin Middle,Franklin County Public Schools,Medium Poverty,Non-Title I,4.9,2.8,0.7,Benjamin Franklin Middle Franklin County Public Schools
Rocky Mount Elementary,Franklin County Public Schools,High Poverty,Title I,0,0,0,Rocky Mount Elementary Franklin County Public Schools
Glade Hill Elementary,Franklin County Public Schools,Medium Poverty,Title I,4.5,4.5,0,Glade Hill Elementary Franklin County Public Schools
Callaway Elementary,Franklin County Public Schools,Medium Poverty,Title I,4.8,0,0,Callaway Elementary Franklin County Public Schools
Sontag Elementary,Franklin County Public Schools,High Poverty,Title I,3.8,3.8,0,Sontag Elementary Franklin County Public Schools
Franklin County High,Franklin County Public Schools,Medium Poverty,Non-Title I,5,5,0,Franklin County High Franklin County Public Schools
Lee M. Waid Elementary,Franklin County Public Schools,High Poverty,Title I,11.4,2.9,0,Lee M. Waid Elementary Franklin County Public Schools
Windy Gap Elementary,Franklin County Public Schools,Medium Poverty,Non-Title I,3.6,0,0,Windy Gap Elementary Franklin County Public Schools
Dudley Elementary,Franklin County Public Schools,Medium Poverty,Non-Title I,0,0,0,Dudley Elementary Franklin County Public Schools
Highland Elementary,Highland County Public Schools,Medium Poverty,Title I,18.2,27.3,9.1,Highland Elementary Highland County Public Schools
Highland High,Highland County Public Schools,Medium Poverty,Title I,5,35,0,Highland High Highland County Public Schools
George W. Watkins Elementary,New Kent County Public Schools,Low Poverty,Title I,0,0,0,George W. Watkins Elementary New Kent County Public Schools
Crewe Primary,Nottoway County Public Schools,High Poverty,Title I,0,6.1,0,Crewe Primary Nottoway County Public Schools
Nottoway High,Nottoway County Public Schools,High Poverty,Non-Title I,3.6,8.9,1.8,Nottoway High Nottoway County Public Schools
Nottoway Intermediate,Nottoway County Public Schools,High Poverty,Title I,6.3,6.3,3.1,Nottoway Intermediate Nottoway County Public Schools
Nottoway Middle,Nottoway County Public Schools,High Poverty,Title I,5.9,5.9,2.9,Nottoway Middle Nottoway County Public Schools
Blackstone Primary,Nottoway County Public Schools,High Poverty,Title I,0,2.9,0,Blackstone Primary Nottoway County Public Schools
Cool Spring Elementary,Petersburg City Public Schools,High Poverty,Title I,10.5,7.9,5.3,Cool Spring Elementary Petersburg City Public Schools
Lakemont Elementary,Petersburg City Public Schools,High Poverty,Title I,2.9,0,0,Lakemont Elementary Petersburg City Public Schools
Pleasants Lane Elementary,Petersburg City Public Schools,High Poverty,Title I,7.7,5.1,0,Pleasants Lane Elementary Petersburg City Public Schools
Vernon Johns Middle,Petersburg City Public Schools,High Poverty,Title I,9.1,12.1,6.1,Vernon Johns Middle Petersburg City Public Schools
Walnut Hill Elementary,Petersburg City Public Schools,High Poverty,Title I,15.4,20.5,10.3,Walnut Hill Elementary Petersburg City Public Schools
Petersburg High,Petersburg City Public Schools,High Poverty,Non-Title I,5,13.8,3.8,Petersburg High Petersburg City Public Schools
Simonsdale Elementary,Portsmouth City Public Schools,Medium Poverty,Title I,0,5.2,0,Simonsdale Elementary Portsmouth City Public Schools
Hodges Manor Elementary,Portsmouth City Public Schools,High Poverty,Title I,4.2,20.8,4.2,Hodges Manor Elementary Portsmouth City Public Schools
Manor High,Portsmouth City Public Schools,Medium Poverty,Non-Title I,5.3,3.8,0.8,Manor High Portsmouth City Public Schools
Douglass Park Elementary,Portsmouth City Public Schools,High Poverty,Title I,5.1,16.9,5.1,Douglass Park Elementary Portsmouth City Public Schools
Lakeview Elementary,Portsmouth City Public Schools,High Poverty,Title I,0,13,0,Lakeview Elementary Portsmouth City Public Schools
William E. Waters Middle,Portsmouth City Public Schools,High Poverty,Non-Title I,9,9,3,William E. Waters Middle Portsmouth City Public Schools
Victory Elementary,Portsmouth City Public Schools,Medium Poverty,Title I,4.2,14.6,4.2,Victory Elementary Portsmouth City Public Schools
Cradock Middle,Portsmouth City Public Schools,High Poverty,Non-Title I,4.8,12.7,3.2,Cradock Middle Portsmouth City Public Schools
Cradock Elementary,Portsmouth City Public Schools,High Poverty,Title I,0,12.5,0,Cradock Elementary Portsmouth City Public Schools
Churchland Primary & Intermediate,Portsmouth City Public Schools,Medium Poverty,Title I,2,8,0,Churchland Primary & Intermediate Portsmouth City Public Schools
Churchland Academy Elementary,Portsmouth City Public Schools,Medium Poverty,Title I,1.8,10.9,0,Churchland Academy Elementary Portsmouth City Public Schools
Churchland Middle,Portsmouth City Public Schools,Medium Poverty,Non-Title I,3.8,10,2.5,Churchland Middle Portsmouth City Public Schools
Churchland High,Portsmouth City Public Schools,Medium Poverty,Non-Title I,3.8,9.2,3.8,Churchland High Portsmouth City Public Schools
Park View Elementary,Portsmouth City Public Schools,High Poverty,Title I,8.3,10.4,2.1,Park View Elementary Portsmouth City Public Schools
I.C. Norcom High,Portsmouth City Public Schools,High Poverty,Non-Title I,0.9,10.3,0.9,I.C. Norcom High Portsmouth City Public Schools
Waterview Elementary,Portsmouth City Public Schools,High Poverty,Title I,2,12,2,Waterview Elementary Portsmouth City Public Schools
Westhaven Elementary,Portsmouth City Public Schools,High Poverty,Title I,4.7,2.3,0,Westhaven Elementary Portsmouth City Public Schools
Churchland Elementary,Portsmouth City Public Schools,Medium Poverty,Non-Title I,3.1,12.5,1.6,Churchland Elementary Portsmouth City Public Schools
Flat Rock Elementary,Powhatan County Public Schools,Low Poverty,Non-Title I,5,0,0,Flat Rock Elementary Powhatan County Public Schools
Powhatan Elementary,Powhatan County Public Schools,Low Poverty,Title I,8.7,2.2,2.2,Powhatan Elementary Powhatan County Public Schools
Powhatan Middle,Powhatan County Public Schools,Low Poverty,Non-Title I,7.7,0,0,Powhatan Middle Powhatan County Public Schools
Pocahontas Elementary,Powhatan County Public Schools,Low Poverty,Title I,4.8,0,0,Pocahontas Elementary Powhatan County Public Schools
Powhatan High,Powhatan County Public Schools,Low Poverty,Non-Title I,6.1,0.9,0,Powhatan High Powhatan County Public Schools
Rappahannock High,Richmond County Public Schools,High Poverty,Non-Title I,4.9,9.8,2.4,Rappahannock High Richmond County Public Schools
Richmond County Elementary,Richmond County Public Schools,Medium Poverty,Title I,9.5,7.9,1.6,Richmond County Elementary Richmond County Public Schools
Edward E. Drew Jr. Middle,Stafford County Public Schools,Medium Poverty,Non-Title I,3.7,9.3,0,Edward E. Drew Jr. Middle Stafford County Public Schools
Falmouth Elementary,Stafford County Public Schools,Medium Poverty,Title I,6.8,13.6,0,Falmouth Elementary Stafford County Public Schools
Grafton Village Elementary,Stafford County Public Schools,Low Poverty,Non-Title I,8.7,17.4,6.5,Grafton Village Elementary Stafford County Public Schools
Hartwood Elementary,Stafford County Public Schools,Low Poverty,Non-Title I,10.5,0,0,Hartwood Elementary Stafford County Public Schools
Anthony Burns Elementary,Stafford County Public Schools,Medium Poverty,Title I,6.4,19.1,2.1,Anthony Burns Elementary Stafford County Public Schools
Colonial Forge High,Stafford County Public Schools,Low Poverty,Non-Title I,4.9,9.7,2.1,Colonial Forge High Stafford County Public Schools
H.H. Poole Middle,Stafford County Public Schools,Medium Poverty,Non-Title I,7.4,14.7,2.9,H.H. Poole Middle Stafford County Public Schools
Rodney E. Thompson Middle,Stafford County Public Schools,Low Poverty,Non-Title I,14.9,25.4,6,Rodney E. Thompson Middle Stafford County Public Schools
Shirley C. Heim Middle,Stafford County Public Schools,Medium Poverty,Non-Title I,12.3,27.4,8.2,Shirley C. Heim Middle Stafford County Public Schools
Stafford Elementary,Stafford County Public Schools,Low Poverty,Non-Title I,21.4,11.9,4.8,Stafford Elementary Stafford County Public Schools
Stafford Middle,Stafford County Public Schools,Medium Poverty,Non-Title I,11.9,22.4,1.5,Stafford Middle Stafford County Public Schools
Widewater Elementary,Stafford County Public Schools,Medium Poverty,Title I,7.3,19.5,4.9,Widewater Elementary Stafford County Public Schools
Andrew G. Wright Middle,Stafford County Public Schools,Low Poverty,Non-Title I,6.3,19,6.3,Andrew G. Wright Middle Stafford County Public Schools
Anne E. Moncure Elementary,Stafford County Public Schools,Medium Poverty,Title I,10.2,14.3,6.1,Anne E. Moncure Elementary Stafford County Public Schools
Rockhill Elementary,Stafford County Public Schools,Low Poverty,Non-Title I,17,10.6,6.4,Rockhill Elementary Stafford County Public Schools
Conway Elementary,Stafford County Public Schools,Medium Poverty,Title I,3.7,3.7,0,Conway Elementary Stafford County Public Schools
Rocky Run Elementary,Stafford County Public Schools,Medium Poverty,Title I,9.8,7.8,3.9,Rocky Run Elementary Stafford County Public Schools
T. Benton Gayle Middle,Stafford County Public Schools,Medium Poverty,Non-Title I,9.6,15.1,6.8,T. Benton Gayle Middle Stafford County Public Schools
Donald B. Dixon-Lyle R. Smith Middle,Stafford County Public Schools,Medium Poverty,Non-Title I,3.4,12.1,1.7,Donald B. Dixon-Lyle R. Smith Middle Stafford County Public Schools
Brooke Point High,Stafford County Public Schools,Low Poverty,Non-Title I,6.7,13.3,4.4,Brooke Point High Stafford County Public Schools
Hampton Oaks Elementary,Stafford County Public Schools,Low Poverty,Non-Title I,12.5,10.4,6.3,Hampton Oaks Elementary Stafford County Public Schools
Kate Waller Barrett Elementary,Stafford County Public Schools,Medium Poverty,Title I,10.2,10.2,2,Kate Waller Barrett Elementary Stafford County Public Schools
North Stafford High,Stafford County Public Schools,Medium Poverty,Non-Title I,7.1,17.1,5,North Stafford High Stafford County Public Schools
Park Ridge Elementary,Stafford County Public Schools,Low Poverty,Non-Title I,15.7,23.5,2,Park Ridge Elementary Stafford County Public Schools
Stafford Senior High,Stafford County Public Schools,Low Poverty,Non-Title I,9.1,16.8,4.9,Stafford Senior High Stafford County Public Schools
Winding Creek Elementary,Stafford County Public Schools,Low Poverty,Non-Title I,10.6,12.8,6.4,Winding Creek Elementary Stafford County Public Schools
Ferry Farm Elementary,Stafford County Public Schools,Medium Poverty,Title I,0,5.3,0,Ferry Farm Elementary Stafford County Public Schools
Tazewell High,Tazewell County Public Schools,Medium Poverty,Non-Title I,17.2,21.9,6.3,Tazewell High Tazewell County Public Schools
Tazewell Middle,Tazewell County Public Schools,Medium Poverty,Non-Title I,11.4,11.4,2.3,Tazewell Middle Tazewell County Public Schools
Graham Intermediate,Tazewell County Public Schools,Medium Poverty,Title I,0,9.5,0,Graham Intermediate Tazewell County Public Schools
Graham High,Tazewell County Public Schools,Medium Poverty,Non-Title I,11.6,27.9,2.3,Graham High Tazewell County Public Schools
Richlands Middle,Tazewell County Public Schools,High Poverty,Non-Title I,10.5,10.5,2.6,Richlands Middle Tazewell County Public Schools
Richlands Elementary,Tazewell County Public Schools,High Poverty,Title I,9.1,6.8,0,Richlands Elementary Tazewell County Public Schools
Cedar Bluff Elementary,Tazewell County Public Schools,Medium Poverty,Title I,6.7,3.3,0,Cedar Bluff Elementary Tazewell County Public Schools
Tazewell Intermediate,Tazewell County Public Schools,High Poverty,Title I,16,4,0,Tazewell Intermediate Tazewell County Public Schools
Richlands High,Tazewell County Public Schools,Medium Poverty,Non-Title I,10.9,15.6,1.6,Richlands High Tazewell County Public Schools
Graham Middle,Tazewell County Public Schools,Medium Poverty,Non-Title I,11.1,13.9,2.8,Graham Middle Tazewell County Public Schools
Abb's Valley-Boissevain Elementary,Tazewell County Public Schools,High Poverty,Title I,30.8,15.4,15.4,Abb's Valley-Boissevain Elementary Tazewell County Public Schools
Daniel Morgan Intermediate,Winchester City Public Schools,Medium Poverty,Non-Title I,6.9,8.6,3.4,Daniel Morgan Intermediate Winchester City Public Schools
Daniel Morgan Middle,Winchester City Public Schools,Medium Poverty,Non-Title I,9.4,11.3,3.8,Daniel Morgan Middle Winchester City Public Schools
Frederick Douglass Elementary,Winchester City Public Schools,High Poverty,Title I,6.5,12.9,6.5,Frederick Douglass Elementary Winchester City Public Schools
Garland R. Quarles Elementary,Winchester City Public Schools,High Poverty,Title I,17.9,10.3,5.1,Garland R. Quarles Elementary Winchester City Public Schools
John Kerr Elementary,Winchester City Public Schools,High Poverty,Title I,9.8,9.8,2.4,John Kerr Elementary Winchester City Public Schools
John Handley High,Winchester City Public Schools,Medium Poverty,Non-Title I,9,11.7,5.4,John Handley High Winchester City Public Schools
Western Albemarle High,Albemarle County Public Schools,Low Poverty,Non-Title I,5.1,2,2,Western Albemarle High Albemarle County Public Schools
Stony Point Elementary,Albemarle County Public Schools,Medium Poverty,Non-Title I,0,0,0,Stony Point Elementary Albemarle County Public Schools
Meriwether Lewis Elementary,Albemarle County Public Schools,Low Poverty,Non-Title I,13.3,3.3,3.3,Meriwether Lewis Elementary Albemarle County Public Schools
Leslie H. Walton Middle,Albemarle County Public Schools,Medium Poverty,Non-Title I,7,7,0,Leslie H. Walton Middle Albemarle County Public Schools
Baker-Butler Elem,Albemarle County Public Schools,Low Poverty,Non-Title I,3.2,0,0,Baker-Butler Elem Albemarle County Public Schools
Scottsville Elementary,Albemarle County Public Schools,Medium Poverty,Title I,8.3,0,0,Scottsville Elementary Albemarle County Public Schools
Red Hill Elementary,Albemarle County Public Schools,Medium Poverty,Title I,4.2,4.2,4.2,Red Hill Elementary Albemarle County Public Schools
Woodbrook Elementary,Albemarle County Public Schools,Medium Poverty,Title I,6.8,4.1,2.7,Woodbrook Elementary Albemarle County Public Schools
Agnor-Hurt Elementary,Albemarle County Public Schools,Medium Poverty,Title I,6.5,0,0,Agnor-Hurt Elementary Albemarle County Public Schools
Mary Carr Greer Elementary,Albemarle County Public Schools,Medium Poverty,Title I,8.5,0,0,Mary Carr Greer Elementary Albemarle County Public Schools
Mountain View Elementary,Albemarle County Public Schools,Medium Poverty,Title I,8.9,6.3,1.3,Mountain View Elementary Albemarle County Public Schools
Monticello High,Albemarle County Public Schools,Low Poverty,Non-Title I,5.6,2.4,0.8,Monticello High Albemarle County Public Schools
Jackson P. Burley Middle,Albemarle County Public Schools,Medium Poverty,Non-Title I,4.1,4.1,1.4,Jackson P. Burley Middle Albemarle County Public Schools
Community Lab School,Albemarle County Public Schools,Low Poverty,Non-Title I,3.3,3.3,0,Community Lab School Albemarle County Public Schools
Virginia L. Murray Elementary,Albemarle County Public Schools,Low Poverty,Non-Title I,8,12,4,Virginia L. Murray Elementary Albemarle County Public Schools
Stone Robinson Elementary,Albemarle County Public Schools,Low Poverty,Non-Title I,6.7,4.4,0,Stone Robinson Elementary Albemarle County Public Schools
Hollymead Elementary,Albemarle County Public Schools,Low Poverty,Non-Title I,10.8,10.8,8.1,Hollymead Elementary Albemarle County Public Schools
Journey Middle,Albemarle County Public Schools,Medium Poverty,Non-Title I,8.5,7,2.8,Journey Middle Albemarle County Public Schools
Albemarle High,Albemarle County Public Schools,Low Poverty,Non-Title I,4,4.5,1.7,Albemarle High Albemarle County Public Schools
Brownsville Elementary,Albemarle County Public Schools,Low Poverty,Non-Title I,3,1.5,0,Brownsville Elementary Albemarle County Public Schools
Joseph T. Henley Middle,Albemarle County Public Schools,Low Poverty,Non-Title I,6.8,6.8,0,Joseph T. Henley Middle Albemarle County Public Schools
