School,Division,Degree_Percent,Degree_Type,Sch_Div
King's Fork Middle,Suffolk City Public Schools,0,Doctoral Degree,King's Fork Middle Suffolk City Public Schools
Lakeland High,Suffolk City Public Schools,45,Bachelor's Degree,Lakeland High Suffolk City Public Schools
Lakeland High,Suffolk City Public Schools,48,Master's Degree,Lakeland High Suffolk City Public Schools
Lakeland High,Suffolk City Public Schools,0,Doctoral Degree,Lakeland High Suffolk City Public Schools
Mack Benn Jr. Elementary,Suffolk City Public Schools,48,Bachelor's Degree,Mack Benn Jr. Elementary Suffolk City Public Schools
Mack Benn Jr. Elementary,Suffolk City Public Schools,48,Master's Degree,Mack Benn Jr. Elementary Suffolk City Public Schools
Mack Benn Jr. Elementary,Suffolk City Public Schools,0,Doctoral Degree,Mack Benn Jr. Elementary Suffolk City Public Schools
Creekside Elementary,Suffolk City Public Schools,50,Bachelor's Degree,Creekside Elementary Suffolk City Public Schools
Creekside Elementary,Suffolk City Public Schools,48,Master's Degree,Creekside Elementary Suffolk City Public Schools
Creekside Elementary,Suffolk City Public Schools,2,Doctoral Degree,Creekside Elementary Suffolk City Public Schools
Florence Bowser Elementary,Suffolk City Public Schools,40,Bachelor's Degree,Florence Bowser Elementary Suffolk City Public Schools
Florence Bowser Elementary,Suffolk City Public Schools,53,Master's Degree,Florence Bowser Elementary Suffolk City Public Schools
Florence Bowser Elementary,Suffolk City Public Schools,0,Doctoral Degree,Florence Bowser Elementary Suffolk City Public Schools
Nansemond River High,Suffolk City Public Schools,45,Bachelor's Degree,Nansemond River High Suffolk City Public Schools
Nansemond River High,Suffolk City Public Schools,49,Master's Degree,Nansemond River High Suffolk City Public Schools
Nansemond River High,Suffolk City Public Schools,2,Doctoral Degree,Nansemond River High Suffolk City Public Schools
Northern Shores Elementary,Suffolk City Public Schools,45,Bachelor's Degree,Northern Shores Elementary Suffolk City Public Schools
Northern Shores Elementary,Suffolk City Public Schools,47,Master's Degree,Northern Shores Elementary Suffolk City Public Schools
Northern Shores Elementary,Suffolk City Public Schools,2,Doctoral Degree,Northern Shores Elementary Suffolk City Public Schools
John Yeates Middle,Suffolk City Public Schools,42,Bachelor's Degree,John Yeates Middle Suffolk City Public Schools
John Yeates Middle,Suffolk City Public Schools,51,Master's Degree,John Yeates Middle Suffolk City Public Schools
John Yeates Middle,Suffolk City Public Schools,2,Doctoral Degree,John Yeates Middle Suffolk City Public Schools
Nansemond Parkway Elementary,Suffolk City Public Schools,32,Bachelor's Degree,Nansemond Parkway Elementary Suffolk City Public Schools
Nansemond Parkway Elementary,Suffolk City Public Schools,56,Master's Degree,Nansemond Parkway Elementary Suffolk City Public Schools
Nansemond Parkway Elementary,Suffolk City Public Schools,2,Doctoral Degree,Nansemond Parkway Elementary Suffolk City Public Schools
Forest Glen Middle,Suffolk City Public Schools,56,Bachelor's Degree,Forest Glen Middle Suffolk City Public Schools
Forest Glen Middle,Suffolk City Public Schools,40,Master's Degree,Forest Glen Middle Suffolk City Public Schools
Forest Glen Middle,Suffolk City Public Schools,0,Doctoral Degree,Forest Glen Middle Suffolk City Public Schools
Oakland Elementary,Suffolk City Public Schools,46,Bachelor's Degree,Oakland Elementary Suffolk City Public Schools
Oakland Elementary,Suffolk City Public Schools,43,Master's Degree,Oakland Elementary Suffolk City Public Schools
Oakland Elementary,Suffolk City Public Schools,0,Doctoral Degree,Oakland Elementary Suffolk City Public Schools
Southwestern Elementary,Suffolk City Public Schools,37,Bachelor's Degree,Southwestern Elementary Suffolk City Public Schools
Southwestern Elementary,Suffolk City Public Schools,56,Master's Degree,Southwestern Elementary Suffolk City Public Schools
Southwestern Elementary,Suffolk City Public Schools,0,Doctoral Degree,Southwestern Elementary Suffolk City Public Schools
Surry County High,Surry County Public Schools,38,Bachelor's Degree,Surry County High Surry County Public Schools
Surry County High,Surry County Public Schools,56,Master's Degree,Surry County High Surry County Public Schools
Surry County High,Surry County Public Schools,3,Doctoral Degree,Surry County High Surry County Public Schools
Luther P. Jackson Middle,Surry County Public Schools,52,Bachelor's Degree,Luther P. Jackson Middle Surry County Public Schools
Luther P. Jackson Middle,Surry County Public Schools,44,Master's Degree,Luther P. Jackson Middle Surry County Public Schools
Luther P. Jackson Middle,Surry County Public Schools,0,Doctoral Degree,Luther P. Jackson Middle Surry County Public Schools
Surry Elementary,Surry County Public Schools,45,Bachelor's Degree,Surry Elementary Surry County Public Schools
Surry Elementary,Surry County Public Schools,52,Master's Degree,Surry Elementary Surry County Public Schools
Surry Elementary,Surry County Public Schools,0,Doctoral Degree,Surry Elementary Surry County Public Schools
Speedwell Elementary,Wythe County Public Schools,50,Bachelor's Degree,Speedwell Elementary Wythe County Public Schools
Speedwell Elementary,Wythe County Public Schools,43,Master's Degree,Speedwell Elementary Wythe County Public Schools
Speedwell Elementary,Wythe County Public Schools,0,Doctoral Degree,Speedwell Elementary Wythe County Public Schools
George Wythe High,Wythe County Public Schools,66,Bachelor's Degree,George Wythe High Wythe County Public Schools
George Wythe High,Wythe County Public Schools,29,Master's Degree,George Wythe High Wythe County Public Schools
George Wythe High,Wythe County Public Schools,0,Doctoral Degree,George Wythe High Wythe County Public Schools
Scott Memorial Middle,Wythe County Public Schools,67,Bachelor's Degree,Scott Memorial Middle Wythe County Public Schools
Scott Memorial Middle,Wythe County Public Schools,30,Master's Degree,Scott Memorial Middle Wythe County Public Schools
Scott Memorial Middle,Wythe County Public Schools,0,Doctoral Degree,Scott Memorial Middle Wythe County Public Schools
Sheffey Elementary,Wythe County Public Schools,50,Bachelor's Degree,Sheffey Elementary Wythe County Public Schools
Sheffey Elementary,Wythe County Public Schools,50,Master's Degree,Sheffey Elementary Wythe County Public Schools
Sheffey Elementary,Wythe County Public Schools,0,Doctoral Degree,Sheffey Elementary Wythe County Public Schools
Spiller Elementary,Wythe County Public Schools,61,Bachelor's Degree,Spiller Elementary Wythe County Public Schools
Spiller Elementary,Wythe County Public Schools,37,Master's Degree,Spiller Elementary Wythe County Public Schools
