School,Division,Degree_Percent,Degree_Type,Sch_Div
Douglas MacArthur Elementary,Alexandria City Public Schools,3,Doctoral Degree,Douglas MacArthur Elementary Alexandria City Public Schools
Francis C. Hammond Middle,Alexandria City Public Schools,28,Bachelor's Degree,Francis C. Hammond Middle Alexandria City Public Schools
Francis C. Hammond Middle,Alexandria City Public Schools,66,Master's Degree,Francis C. Hammond Middle Alexandria City Public Schools
Francis C. Hammond Middle,Alexandria City Public Schools,2,Doctoral Degree,Francis C. Hammond Middle Alexandria City Public Schools
Patrick Henry K-8 School,Alexandria City Public Schools,32,Bachelor's Degree,Patrick Henry K-8 School Alexandria City Public Schools
Patrick Henry K-8 School,Alexandria City Public Schools,57,Master's Degree,Patrick Henry K-8 School Alexandria City Public Schools
Patrick Henry K-8 School,Alexandria City Public Schools,3,Doctoral Degree,Patrick Henry K-8 School Alexandria City Public Schools
Samuel W. Tucker Elementary,Alexandria City Public Schools,20,Bachelor's Degree,Samuel W. Tucker Elementary Alexandria City Public Schools
Samuel W. Tucker Elementary,Alexandria City Public Schools,71,Master's Degree,Samuel W. Tucker Elementary Alexandria City Public Schools
Samuel W. Tucker Elementary,Alexandria City Public Schools,2,Doctoral Degree,Samuel W. Tucker Elementary Alexandria City Public Schools
Cora Kelly School for Math Science and Technology,Alexandria City Public Schools,42,Bachelor's Degree,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
Cora Kelly School for Math Science and Technology,Alexandria City Public Schools,50,Master's Degree,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
Cora Kelly School for Math Science and Technology,Alexandria City Public Schools,4,Doctoral Degree,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
Mount Vernon Elementary,Alexandria City Public Schools,38,Bachelor's Degree,Mount Vernon Elementary Alexandria City Public Schools
Mount Vernon Elementary,Alexandria City Public Schools,61,Master's Degree,Mount Vernon Elementary Alexandria City Public Schools
Mount Vernon Elementary,Alexandria City Public Schools,2,Doctoral Degree,Mount Vernon Elementary Alexandria City Public Schools
Ferdinand T. Day Elementary,Alexandria City Public Schools,32,Bachelor's Degree,Ferdinand T. Day Elementary Alexandria City Public Schools
Ferdinand T. Day Elementary,Alexandria City Public Schools,61,Master's Degree,Ferdinand T. Day Elementary Alexandria City Public Schools
Ferdinand T. Day Elementary,Alexandria City Public Schools,3,Doctoral Degree,Ferdinand T. Day Elementary Alexandria City Public Schools
John Adams Elementary,Alexandria City Public Schools,28,Bachelor's Degree,John Adams Elementary Alexandria City Public Schools
John Adams Elementary,Alexandria City Public Schools,64,Master's Degree,John Adams Elementary Alexandria City Public Schools
John Adams Elementary,Alexandria City Public Schools,4,Doctoral Degree,John Adams Elementary Alexandria City Public Schools
William Ramsay Elementary,Alexandria City Public Schools,31,Bachelor's Degree,William Ramsay Elementary Alexandria City Public Schools
William Ramsay Elementary,Alexandria City Public Schools,59,Master's Degree,William Ramsay Elementary Alexandria City Public Schools
William Ramsay Elementary,Alexandria City Public Schools,5,Doctoral Degree,William Ramsay Elementary Alexandria City Public Schools
Jefferson-Houston PK-8 School,Alexandria City Public Schools,24,Bachelor's Degree,Jefferson-Houston PK-8 School Alexandria City Public Schools
Jefferson-Houston PK-8 School,Alexandria City Public Schools,68,Master's Degree,Jefferson-Houston PK-8 School Alexandria City Public Schools
Jefferson-Houston PK-8 School,Alexandria City Public Schools,3,Doctoral Degree,Jefferson-Houston PK-8 School Alexandria City Public Schools
George Mason Elementary,Alexandria City Public Schools,17,Bachelor's Degree,George Mason Elementary Alexandria City Public Schools
George Mason Elementary,Alexandria City Public Schools,79,Master's Degree,George Mason Elementary Alexandria City Public Schools
George Mason Elementary,Alexandria City Public Schools,3,Doctoral Degree,George Mason Elementary Alexandria City Public Schools
James K. Polk Elementary,Alexandria City Public Schools,35,Bachelor's Degree,James K. Polk Elementary Alexandria City Public Schools
James K. Polk Elementary,Alexandria City Public Schools,58,Master's Degree,James K. Polk Elementary Alexandria City Public Schools
James K. Polk Elementary,Alexandria City Public Schools,2,Doctoral Degree,James K. Polk Elementary Alexandria City Public Schools
Charles Barrett Elementary,Alexandria City Public Schools,25,Bachelor's Degree,Charles Barrett Elementary Alexandria City Public Schools
Charles Barrett Elementary,Alexandria City Public Schools,70,Master's Degree,Charles Barrett Elementary Alexandria City Public Schools
Charles Barrett Elementary,Alexandria City Public Schools,3,Doctoral Degree,Charles Barrett Elementary Alexandria City Public Schools
Lyles-Crouch Elementary,Alexandria City Public Schools,10,Bachelor's Degree,Lyles-Crouch Elementary Alexandria City Public Schools
Lyles-Crouch Elementary,Alexandria City Public Schools,81,Master's Degree,Lyles-Crouch Elementary Alexandria City Public Schools
Lyles-Crouch Elementary,Alexandria City Public Schools,10,Doctoral Degree,Lyles-Crouch Elementary Alexandria City Public Schools
Grundy High,Buchanan County Public Schools,49,Bachelor's Degree,Grundy High Buchanan County Public Schools
Grundy High,Buchanan County Public Schools,49,Master's Degree,Grundy High Buchanan County Public Schools
Grundy High,Buchanan County Public Schools,0,Doctoral Degree,Grundy High Buchanan County Public Schools
Riverview Elementary/Middle,Buchanan County Public Schools,68,Bachelor's Degree,Riverview Elementary/Middle Buchanan County Public Schools
Riverview Elementary/Middle,Buchanan County Public Schools,29,Master's Degree,Riverview Elementary/Middle Buchanan County Public Schools
Riverview Elementary/Middle,Buchanan County Public Schools,0,Doctoral Degree,Riverview Elementary/Middle Buchanan County Public Schools
Hurley High,Buchanan County Public Schools,48,Bachelor's Degree,Hurley High Buchanan County Public Schools
Hurley High,Buchanan County Public Schools,52,Master's Degree,Hurley High Buchanan County Public Schools
Hurley High,Buchanan County Public Schools,0,Doctoral Degree,Hurley High Buchanan County Public Schools
Twin Valley High,Buchanan County Public Schools,58,Bachelor's Degree,Twin Valley High Buchanan County Public Schools
Twin Valley High,Buchanan County Public Schools,36,Master's Degree,Twin Valley High Buchanan County Public Schools
Twin Valley High,Buchanan County Public Schools,6,Doctoral Degree,Twin Valley High Buchanan County Public Schools
Council Elementary/Middle,Buchanan County Public Schools,59,Bachelor's Degree,Council Elementary/Middle Buchanan County Public Schools
Council Elementary/Middle,Buchanan County Public Schools,41,Master's Degree,Council Elementary/Middle Buchanan County Public Schools
Council Elementary/Middle,Buchanan County Public Schools,0,Doctoral Degree,Council Elementary/Middle Buchanan County Public Schools
Hurley Elementary/Middle,Buchanan County Public Schools,67,Bachelor's Degree,Hurley Elementary/Middle Buchanan County Public Schools
Hurley Elementary/Middle,Buchanan County Public Schools,31,Master's Degree,Hurley Elementary/Middle Buchanan County Public Schools
Hurley Elementary/Middle,Buchanan County Public Schools,0,Doctoral Degree,Hurley Elementary/Middle Buchanan County Public Schools
Twin Valley Elementary/Middle,Buchanan County Public Schools,70,Bachelor's Degree,Twin Valley Elementary/Middle Buchanan County Public Schools
Twin Valley Elementary/Middle,Buchanan County Public Schools,27,Master's Degree,Twin Valley Elementary/Middle Buchanan County Public Schools
Twin Valley Elementary/Middle,Buchanan County Public Schools,0,Doctoral Degree,Twin Valley Elementary/Middle Buchanan County Public Schools
William Campbell High,Campbell County Public Schools,57,Bachelor's Degree,William Campbell High Campbell County Public Schools
William Campbell High,Campbell County Public Schools,39,Master's Degree,William Campbell High Campbell County Public Schools
William Campbell High,Campbell County Public Schools,0,Doctoral Degree,William Campbell High Campbell County Public Schools
Concord Elementary,Campbell County Public Schools,54,Bachelor's Degree,Concord Elementary Campbell County Public Schools
Concord Elementary,Campbell County Public Schools,43,Master's Degree,Concord Elementary Campbell County Public Schools
Concord Elementary,Campbell County Public Schools,0,Doctoral Degree,Concord Elementary Campbell County Public Schools
Rustburg High,Campbell County Public Schools,48,Bachelor's Degree,Rustburg High Campbell County Public Schools
Rustburg High,Campbell County Public Schools,48,Master's Degree,Rustburg High Campbell County Public Schools
Rustburg High,Campbell County Public Schools,2,Doctoral Degree,Rustburg High Campbell County Public Schools
Yellow Branch Elementary,Campbell County Public Schools,38,Bachelor's Degree,Yellow Branch Elementary Campbell County Public Schools
Yellow Branch Elementary,Campbell County Public Schools,55,Master's Degree,Yellow Branch Elementary Campbell County Public Schools
Yellow Branch Elementary,Campbell County Public Schools,0,Doctoral Degree,Yellow Branch Elementary Campbell County Public Schools
Altavista High,Campbell County Public Schools,53,Bachelor's Degree,Altavista High Campbell County Public Schools
Altavista High,Campbell County Public Schools,45,Master's Degree,Altavista High Campbell County Public Schools
Altavista High,Campbell County Public Schools,0,Doctoral Degree,Altavista High Campbell County Public Schools
Brookville Middle,Campbell County Public Schools,56,Bachelor's Degree,Brookville Middle Campbell County Public Schools
Brookville Middle,Campbell County Public Schools,44,Master's Degree,Brookville Middle Campbell County Public Schools
Brookville Middle,Campbell County Public Schools,0,Doctoral Degree,Brookville Middle Campbell County Public Schools
Leesville Road Elementary,Campbell County Public Schools,57,Bachelor's Degree,Leesville Road Elementary Campbell County Public Schools
Leesville Road Elementary,Campbell County Public Schools,43,Master's Degree,Leesville Road Elementary Campbell County Public Schools
Leesville Road Elementary,Campbell County Public Schools,0,Doctoral Degree,Leesville Road Elementary Campbell County Public Schools
Altavista Elementary,Campbell County Public Schools,53,Bachelor's Degree,Altavista Elementary Campbell County Public Schools
Altavista Elementary,Campbell County Public Schools,44,Master's Degree,Altavista Elementary Campbell County Public Schools
Altavista Elementary,Campbell County Public Schools,0,Doctoral Degree,Altavista Elementary Campbell County Public Schools
Brookville High,Campbell County Public Schools,49,Bachelor's Degree,Brookville High Campbell County Public Schools
Brookville High,Campbell County Public Schools,46,Master's Degree,Brookville High Campbell County Public Schools
Brookville High,Campbell County Public Schools,0,Doctoral Degree,Brookville High Campbell County Public Schools
Brookneal Elementary,Campbell County Public Schools,57,Bachelor's Degree,Brookneal Elementary Campbell County Public Schools
Brookneal Elementary,Campbell County Public Schools,43,Master's Degree,Brookneal Elementary Campbell County Public Schools
Brookneal Elementary,Campbell County Public Schools,0,Doctoral Degree,Brookneal Elementary Campbell County Public Schools
Rustburg Middle,Campbell County Public Schools,55,Bachelor's Degree,Rustburg Middle Campbell County Public Schools
Rustburg Middle,Campbell County Public Schools,43,Master's Degree,Rustburg Middle Campbell County Public Schools
Rustburg Middle,Campbell County Public Schools,0,Doctoral Degree,Rustburg Middle Campbell County Public Schools
Rustburg Elementary,Campbell County Public Schools,54,Bachelor's Degree,Rustburg Elementary Campbell County Public Schools
Rustburg Elementary,Campbell County Public Schools,46,Master's Degree,Rustburg Elementary Campbell County Public Schools
Rustburg Elementary,Campbell County Public Schools,0,Doctoral Degree,Rustburg Elementary Campbell County Public Schools
Tomahawk Elementary,Campbell County Public Schools,52,Bachelor's Degree,Tomahawk Elementary Campbell County Public Schools
Tomahawk Elementary,Campbell County Public Schools,48,Master's Degree,Tomahawk Elementary Campbell County Public Schools
Tomahawk Elementary,Campbell County Public Schools,0,Doctoral Degree,Tomahawk Elementary Campbell County Public Schools
Bowling Green Elementary,Caroline County Public Schools,52,Bachelor's Degree,Bowling Green Elementary Caroline County Public Schools
Bowling Green Elementary,Caroline County Public Schools,46,Master's Degree,Bowling Green Elementary Caroline County Public Schools
Bowling Green Elementary,Caroline County Public Schools,0,Doctoral Degree,Bowling Green Elementary Caroline County Public Schools
Caroline High,Caroline County Public Schools,47,Bachelor's Degree,Caroline High Caroline County Public Schools
Caroline High,Caroline County Public Schools,47,Master's Degree,Caroline High Caroline County Public Schools
Caroline High,Caroline County Public Schools,0,Doctoral Degree,Caroline High Caroline County Public Schools
Caroline Middle,Caroline County Public Schools,52,Bachelor's Degree,Caroline Middle Caroline County Public Schools
Caroline Middle,Caroline County Public Schools,43,Master's Degree,Caroline Middle Caroline County Public Schools
Caroline Middle,Caroline County Public Schools,0,Doctoral Degree,Caroline Middle Caroline County Public Schools
Madison Elementary,Caroline County Public Schools,55,Bachelor's Degree,Madison Elementary Caroline County Public Schools
Madison Elementary,Caroline County Public Schools,39,Master's Degree,Madison Elementary Caroline County Public Schools
Madison Elementary,Caroline County Public Schools,0,Doctoral Degree,Madison Elementary Caroline County Public Schools
Lewis and Clark Elementary,Caroline County Public Schools,58,Bachelor's Degree,Lewis and Clark Elementary Caroline County Public Schools
Lewis and Clark Elementary,Caroline County Public Schools,42,Master's Degree,Lewis and Clark Elementary Caroline County Public Schools
Lewis and Clark Elementary,Caroline County Public Schools,0,Doctoral Degree,Lewis and Clark Elementary Caroline County Public Schools
Greenbrier Middle,Chesapeake City Public Schools,37,Bachelor's Degree,Greenbrier Middle Chesapeake City Public Schools
Greenbrier Middle,Chesapeake City Public Schools,55,Master's Degree,Greenbrier Middle Chesapeake City Public Schools
Greenbrier Middle,Chesapeake City Public Schools,2,Doctoral Degree,Greenbrier Middle Chesapeake City Public Schools
Oscar F. Smith High,Chesapeake City Public Schools,38,Bachelor's Degree,Oscar F. Smith High Chesapeake City Public Schools
Oscar F. Smith High,Chesapeake City Public Schools,56,Master's Degree,Oscar F. Smith High Chesapeake City Public Schools
Oscar F. Smith High,Chesapeake City Public Schools,3,Doctoral Degree,Oscar F. Smith High Chesapeake City Public Schools
Edwin W. Chittum Elementary,Chesapeake City Public Schools,43,Bachelor's Degree,Edwin W. Chittum Elementary Chesapeake City Public Schools
Edwin W. Chittum Elementary,Chesapeake City Public Schools,55,Master's Degree,Edwin W. Chittum Elementary Chesapeake City Public Schools
Edwin W. Chittum Elementary,Chesapeake City Public Schools,0,Doctoral Degree,Edwin W. Chittum Elementary Chesapeake City Public Schools
Jolliff Middle,Chesapeake City Public Schools,40,Bachelor's Degree,Jolliff Middle Chesapeake City Public Schools
Jolliff Middle,Chesapeake City Public Schools,57,Master's Degree,Jolliff Middle Chesapeake City Public Schools
Jolliff Middle,Chesapeake City Public Schools,1,Doctoral Degree,Jolliff Middle Chesapeake City Public Schools
Southwestern Elementary,Chesapeake City Public Schools,43,Bachelor's Degree,Southwestern Elementary Chesapeake City Public Schools
Southwestern Elementary,Chesapeake City Public Schools,50,Master's Degree,Southwestern Elementary Chesapeake City Public Schools
Southwestern Elementary,Chesapeake City Public Schools,0,Doctoral Degree,Southwestern Elementary Chesapeake City Public Schools
Western Branch High,Chesapeake City Public Schools,33,Bachelor's Degree,Western Branch High Chesapeake City Public Schools
Western Branch High,Chesapeake City Public Schools,61,Master's Degree,Western Branch High Chesapeake City Public Schools
Western Branch High,Chesapeake City Public Schools,3,Doctoral Degree,Western Branch High Chesapeake City Public Schools
Western Branch Intermediate,Chesapeake City Public Schools,39,Bachelor's Degree,Western Branch Intermediate Chesapeake City Public Schools
Western Branch Intermediate,Chesapeake City Public Schools,57,Master's Degree,Western Branch Intermediate Chesapeake City Public Schools
Western Branch Intermediate,Chesapeake City Public Schools,0,Doctoral Degree,Western Branch Intermediate Chesapeake City Public Schools
Butts Road Intermediate,Chesapeake City Public Schools,45,Bachelor's Degree,Butts Road Intermediate Chesapeake City Public Schools
Butts Road Intermediate,Chesapeake City Public Schools,47,Master's Degree,Butts Road Intermediate Chesapeake City Public Schools
Butts Road Intermediate,Chesapeake City Public Schools,4,Doctoral Degree,Butts Road Intermediate Chesapeake City Public Schools
Cedar Road Elementary,Chesapeake City Public Schools,29,Bachelor's Degree,Cedar Road Elementary Chesapeake City Public Schools
Cedar Road Elementary,Chesapeake City Public Schools,68,Master's Degree,Cedar Road Elementary Chesapeake City Public Schools
Cedar Road Elementary,Chesapeake City Public Schools,2,Doctoral Degree,Cedar Road Elementary Chesapeake City Public Schools
Great Bridge High,Chesapeake City Public Schools,33,Bachelor's Degree,Great Bridge High Chesapeake City Public Schools
Great Bridge High,Chesapeake City Public Schools,63,Master's Degree,Great Bridge High Chesapeake City Public Schools
Great Bridge High,Chesapeake City Public Schools,1,Doctoral Degree,Great Bridge High Chesapeake City Public Schools
Great Bridge Middle,Chesapeake City Public Schools,38,Bachelor's Degree,Great Bridge Middle Chesapeake City Public Schools
Great Bridge Middle,Chesapeake City Public Schools,61,Master's Degree,Great Bridge Middle Chesapeake City Public Schools
Great Bridge Middle,Chesapeake City Public Schools,0,Doctoral Degree,Great Bridge Middle Chesapeake City Public Schools
Hickory Elementary,Chesapeake City Public Schools,43,Bachelor's Degree,Hickory Elementary Chesapeake City Public Schools
Hickory Elementary,Chesapeake City Public Schools,55,Master's Degree,Hickory Elementary Chesapeake City Public Schools
Hickory Elementary,Chesapeake City Public Schools,0,Doctoral Degree,Hickory Elementary Chesapeake City Public Schools
Hickory High,Chesapeake City Public Schools,37,Bachelor's Degree,Hickory High Chesapeake City Public Schools
Hickory High,Chesapeake City Public Schools,60,Master's Degree,Hickory High Chesapeake City Public Schools
Hickory High,Chesapeake City Public Schools,0,Doctoral Degree,Hickory High Chesapeake City Public Schools
Hickory Middle,Chesapeake City Public Schools,42,Bachelor's Degree,Hickory Middle Chesapeake City Public Schools
Hickory Middle,Chesapeake City Public Schools,52,Master's Degree,Hickory Middle Chesapeake City Public Schools
Hickory Middle,Chesapeake City Public Schools,1,Doctoral Degree,Hickory Middle Chesapeake City Public Schools
Southeastern Elementary,Chesapeake City Public Schools,37,Bachelor's Degree,Southeastern Elementary Chesapeake City Public Schools
Southeastern Elementary,Chesapeake City Public Schools,58,Master's Degree,Southeastern Elementary Chesapeake City Public Schools
Southeastern Elementary,Chesapeake City Public Schools,0,Doctoral Degree,Southeastern Elementary Chesapeake City Public Schools
Deep Creek Central Elementary,Chesapeake City Public Schools,34,Bachelor's Degree,Deep Creek Central Elementary Chesapeake City Public Schools
Deep Creek Central Elementary,Chesapeake City Public Schools,63,Master's Degree,Deep Creek Central Elementary Chesapeake City Public Schools
Deep Creek Central Elementary,Chesapeake City Public Schools,2,Doctoral Degree,Deep Creek Central Elementary Chesapeake City Public Schools
Deep Creek Elementary,Chesapeake City Public Schools,36,Bachelor's Degree,Deep Creek Elementary Chesapeake City Public Schools
Deep Creek Elementary,Chesapeake City Public Schools,50,Master's Degree,Deep Creek Elementary Chesapeake City Public Schools
Deep Creek Elementary,Chesapeake City Public Schools,2,Doctoral Degree,Deep Creek Elementary Chesapeake City Public Schools
Deep Creek High,Chesapeake City Public Schools,36,Bachelor's Degree,Deep Creek High Chesapeake City Public Schools
Deep Creek High,Chesapeake City Public Schools,59,Master's Degree,Deep Creek High Chesapeake City Public Schools
Deep Creek High,Chesapeake City Public Schools,2,Doctoral Degree,Deep Creek High Chesapeake City Public Schools
Deep Creek Middle,Chesapeake City Public Schools,33,Bachelor's Degree,Deep Creek Middle Chesapeake City Public Schools
Deep Creek Middle,Chesapeake City Public Schools,62,Master's Degree,Deep Creek Middle Chesapeake City Public Schools
Deep Creek Middle,Chesapeake City Public Schools,0,Doctoral Degree,Deep Creek Middle Chesapeake City Public Schools
Grassfield High,Chesapeake City Public Schools,37,Bachelor's Degree,Grassfield High Chesapeake City Public Schools
Grassfield High,Chesapeake City Public Schools,55,Master's Degree,Grassfield High Chesapeake City Public Schools
Grassfield High,Chesapeake City Public Schools,1,Doctoral Degree,Grassfield High Chesapeake City Public Schools
Hugo A. Owens Middle,Chesapeake City Public Schools,40,Bachelor's Degree,Hugo A. Owens Middle Chesapeake City Public Schools
Hugo A. Owens Middle,Chesapeake City Public Schools,54,Master's Degree,Hugo A. Owens Middle Chesapeake City Public Schools
Hugo A. Owens Middle,Chesapeake City Public Schools,0,Doctoral Degree,Hugo A. Owens Middle Chesapeake City Public Schools
Oscar Smith Middle,Chesapeake City Public Schools,47,Bachelor's Degree,Oscar Smith Middle Chesapeake City Public Schools
Oscar Smith Middle,Chesapeake City Public Schools,40,Master's Degree,Oscar Smith Middle Chesapeake City Public Schools
Oscar Smith Middle,Chesapeake City Public Schools,3,Doctoral Degree,Oscar Smith Middle Chesapeake City Public Schools
Truitt Intermediate,Chesapeake City Public Schools,38,Bachelor's Degree,Truitt Intermediate Chesapeake City Public Schools
Truitt Intermediate,Chesapeake City Public Schools,47,Master's Degree,Truitt Intermediate Chesapeake City Public Schools
Truitt Intermediate,Chesapeake City Public Schools,3,Doctoral Degree,Truitt Intermediate Chesapeake City Public Schools
Indian River High,Chesapeake City Public Schools,40,Bachelor's Degree,Indian River High Chesapeake City Public Schools
Indian River High,Chesapeake City Public Schools,55,Master's Degree,Indian River High Chesapeake City Public Schools
Indian River High,Chesapeake City Public Schools,2,Doctoral Degree,Indian River High Chesapeake City Public Schools
Indian River Middle,Chesapeake City Public Schools,46,Bachelor's Degree,Indian River Middle Chesapeake City Public Schools
Indian River Middle,Chesapeake City Public Schools,51,Master's Degree,Indian River Middle Chesapeake City Public Schools
Indian River Middle,Chesapeake City Public Schools,0,Doctoral Degree,Indian River Middle Chesapeake City Public Schools
Sparrow Road Intermediate,Chesapeake City Public Schools,39,Bachelor's Degree,Sparrow Road Intermediate Chesapeake City Public Schools
Sparrow Road Intermediate,Chesapeake City Public Schools,50,Master's Degree,Sparrow Road Intermediate Chesapeake City Public Schools
Sparrow Road Intermediate,Chesapeake City Public Schools,0,Doctoral Degree,Sparrow Road Intermediate Chesapeake City Public Schools
Crestwood Middle,Chesapeake City Public Schools,32,Bachelor's Degree,Crestwood Middle Chesapeake City Public Schools
Crestwood Middle,Chesapeake City Public Schools,63,Master's Degree,Crestwood Middle Chesapeake City Public Schools
Crestwood Middle,Chesapeake City Public Schools,0,Doctoral Degree,Crestwood Middle Chesapeake City Public Schools
Grassfield Elementary,Chesapeake City Public Schools,37,Bachelor's Degree,Grassfield Elementary Chesapeake City Public Schools
Grassfield Elementary,Chesapeake City Public Schools,58,Master's Degree,Grassfield Elementary Chesapeake City Public Schools
Grassfield Elementary,Chesapeake City Public Schools,0,Doctoral Degree,Grassfield Elementary Chesapeake City Public Schools
Camelot Elementary,Chesapeake City Public Schools,35,Bachelor's Degree,Camelot Elementary Chesapeake City Public Schools
Camelot Elementary,Chesapeake City Public Schools,63,Master's Degree,Camelot Elementary Chesapeake City Public Schools
Camelot Elementary,Chesapeake City Public Schools,0,Doctoral Degree,Camelot Elementary Chesapeake City Public Schools
G.A. Treakle Elementary,Chesapeake City Public Schools,29,Bachelor's Degree,G.A. Treakle Elementary Chesapeake City Public Schools
G.A. Treakle Elementary,Chesapeake City Public Schools,65,Master's Degree,G.A. Treakle Elementary Chesapeake City Public Schools
G.A. Treakle Elementary,Chesapeake City Public Schools,0,Doctoral Degree,G.A. Treakle Elementary Chesapeake City Public Schools
Norfolk Highlands Primary,Chesapeake City Public Schools,38,Bachelor's Degree,Norfolk Highlands Primary Chesapeake City Public Schools
Norfolk Highlands Primary,Chesapeake City Public Schools,56,Master's Degree,Norfolk Highlands Primary Chesapeake City Public Schools
Norfolk Highlands Primary,Chesapeake City Public Schools,0,Doctoral Degree,Norfolk Highlands Primary Chesapeake City Public Schools
Great Bridge Intermediate,Chesapeake City Public Schools,44,Bachelor's Degree,Great Bridge Intermediate Chesapeake City Public Schools
Great Bridge Intermediate,Chesapeake City Public Schools,56,Master's Degree,Great Bridge Intermediate Chesapeake City Public Schools
Great Bridge Intermediate,Chesapeake City Public Schools,0,Doctoral Degree,Great Bridge Intermediate Chesapeake City Public Schools
Crestwood Intermediate,Chesapeake City Public Schools,41,Bachelor's Degree,Crestwood Intermediate Chesapeake City Public Schools
Crestwood Intermediate,Chesapeake City Public Schools,49,Master's Degree,Crestwood Intermediate Chesapeake City Public Schools
Crestwood Intermediate,Chesapeake City Public Schools,3,Doctoral Degree,Crestwood Intermediate Chesapeake City Public Schools
George W. Carver Intermediate,Chesapeake City Public Schools,33,Bachelor's Degree,George W. Carver Intermediate Chesapeake City Public Schools
George W. Carver Intermediate,Chesapeake City Public Schools,60,Master's Degree,George W. Carver Intermediate Chesapeake City Public Schools
George W. Carver Intermediate,Chesapeake City Public Schools,2,Doctoral Degree,George W. Carver Intermediate Chesapeake City Public Schools
Georgetown Primary,Chesapeake City Public Schools,37,Bachelor's Degree,Georgetown Primary Chesapeake City Public Schools
Georgetown Primary,Chesapeake City Public Schools,58,Master's Degree,Georgetown Primary Chesapeake City Public Schools
Georgetown Primary,Chesapeake City Public Schools,0,Doctoral Degree,Georgetown Primary Chesapeake City Public Schools
Western Branch Middle,Chesapeake City Public Schools,43,Bachelor's Degree,Western Branch Middle Chesapeake City Public Schools
Western Branch Middle,Chesapeake City Public Schools,56,Master's Degree,Western Branch Middle Chesapeake City Public Schools
Western Branch Middle,Chesapeake City Public Schools,0,Doctoral Degree,Western Branch Middle Chesapeake City Public Schools
Greenbrier Intermediate,Chesapeake City Public Schools,26,Bachelor's Degree,Greenbrier Intermediate Chesapeake City Public Schools
Greenbrier Intermediate,Chesapeake City Public Schools,70,Master's Degree,Greenbrier Intermediate Chesapeake City Public Schools
Greenbrier Intermediate,Chesapeake City Public Schools,2,Doctoral Degree,Greenbrier Intermediate Chesapeake City Public Schools
Thurgood Marshall Elementary,Chesapeake City Public Schools,53,Bachelor's Degree,Thurgood Marshall Elementary Chesapeake City Public Schools
Thurgood Marshall Elementary,Chesapeake City Public Schools,41,Master's Degree,Thurgood Marshall Elementary Chesapeake City Public Schools
Thurgood Marshall Elementary,Chesapeake City Public Schools,0,Doctoral Degree,Thurgood Marshall Elementary Chesapeake City Public Schools
A.G. Richardson Elementary,Culpeper County Public Schools,44,Bachelor's Degree,A.G. Richardson Elementary Culpeper County Public Schools
A.G. Richardson Elementary,Culpeper County Public Schools,56,Master's Degree,A.G. Richardson Elementary Culpeper County Public Schools
A.G. Richardson Elementary,Culpeper County Public Schools,0,Doctoral Degree,A.G. Richardson Elementary Culpeper County Public Schools
Culpeper County High,Culpeper County Public Schools,48,Bachelor's Degree,Culpeper County High Culpeper County Public Schools
Culpeper County High,Culpeper County Public Schools,48,Master's Degree,Culpeper County High Culpeper County Public Schools
Culpeper County High,Culpeper County Public Schools,3,Doctoral Degree,Culpeper County High Culpeper County Public Schools
Culpeper Middle,Culpeper County Public Schools,57,Bachelor's Degree,Culpeper Middle Culpeper County Public Schools
Culpeper Middle,Culpeper County Public Schools,34,Master's Degree,Culpeper Middle Culpeper County Public Schools
Culpeper Middle,Culpeper County Public Schools,2,Doctoral Degree,Culpeper Middle Culpeper County Public Schools
Eastern View High,Culpeper County Public Schools,51,Bachelor's Degree,Eastern View High Culpeper County Public Schools
Eastern View High,Culpeper County Public Schools,38,Master's Degree,Eastern View High Culpeper County Public Schools
Eastern View High,Culpeper County Public Schools,2,Doctoral Degree,Eastern View High Culpeper County Public Schools
Farmington Elementary,Culpeper County Public Schools,41,Bachelor's Degree,Farmington Elementary Culpeper County Public Schools
Farmington Elementary,Culpeper County Public Schools,55,Master's Degree,Farmington Elementary Culpeper County Public Schools
Farmington Elementary,Culpeper County Public Schools,0,Doctoral Degree,Farmington Elementary Culpeper County Public Schools
Floyd T. Binns Middle,Culpeper County Public Schools,60,Bachelor's Degree,Floyd T. Binns Middle Culpeper County Public Schools
Floyd T. Binns Middle,Culpeper County Public Schools,36,Master's Degree,Floyd T. Binns Middle Culpeper County Public Schools
Floyd T. Binns Middle,Culpeper County Public Schools,1,Doctoral Degree,Floyd T. Binns Middle Culpeper County Public Schools
Sycamore Park Elementary,Culpeper County Public Schools,55,Bachelor's Degree,Sycamore Park Elementary Culpeper County Public Schools
Sycamore Park Elementary,Culpeper County Public Schools,41,Master's Degree,Sycamore Park Elementary Culpeper County Public Schools
Sycamore Park Elementary,Culpeper County Public Schools,0,Doctoral Degree,Sycamore Park Elementary Culpeper County Public Schools
Yowell Elementary,Culpeper County Public Schools,53,Bachelor's Degree,Yowell Elementary Culpeper County Public Schools
Yowell Elementary,Culpeper County Public Schools,45,Master's Degree,Yowell Elementary Culpeper County Public Schools
Yowell Elementary,Culpeper County Public Schools,0,Doctoral Degree,Yowell Elementary Culpeper County Public Schools
Emerald Hill Elementary,Culpeper County Public Schools,43,Bachelor's Degree,Emerald Hill Elementary Culpeper County Public Schools
