School,Division,Poverty_Level,Title_1_Code,Provisional_Percent,Sch_Div
Huddleston Elementary,Bedford County Public Schools,Medium Poverty,Title I,13.6,Huddleston Elementary Bedford County Public Schools
Otter River Elementary,Bedford County Public Schools,Medium Poverty,Non-Title I,11.1,Otter River Elementary Bedford County Public Schools
St. Paul,Carroll County Public Schools,Medium Poverty,Title I,0,St. Paul Carroll County Public Schools
Gladeville Elementary,Carroll County Public Schools,Medium Poverty,Title I,3.4,Gladeville Elementary Carroll County Public Schools
Fancy Gap Elementary,Carroll County Public Schools,Medium Poverty,Title I,7.1,Fancy Gap Elementary Carroll County Public Schools
Gladesboro Elementary,Carroll County Public Schools,Medium Poverty,Title I,0,Gladesboro Elementary Carroll County Public Schools
Laurel Elementary,Carroll County Public Schools,Medium Poverty,Title I,10,Laurel Elementary Carroll County Public Schools
Carroll County High,Carroll County Public Schools,Medium Poverty,Non-Title I,2.9,Carroll County High Carroll County Public Schools
Hillsville Elementary,Carroll County Public Schools,Medium Poverty,Title I,2.5,Hillsville Elementary Carroll County Public Schools
Carroll County Middle,Carroll County Public Schools,Medium Poverty,Non-Title I,4.7,Carroll County Middle Carroll County Public Schools
Oakland Elementary,Carroll County Public Schools,Medium Poverty,Title I,0,Oakland Elementary Carroll County Public Schools
Colonial Beach Elementary,Colonial Beach Public Schools,Medium Poverty,Title I,0,Colonial Beach Elementary Colonial Beach Public Schools
Colonial Beach High,Colonial Beach Public Schools,High Poverty,Non-Title I,22.2,Colonial Beach High Colonial Beach Public Schools
Terra Centre Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,8.2,Terra Centre Elementary Fairfax County Public Schools
Gunston Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,4.3,Gunston Elementary Fairfax County Public Schools
Laurel Hill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,10.2,Laurel Hill Elementary Fairfax County Public Schools
Lorton Station Elementary,Fairfax County Public Schools,Medium Poverty,Title I,8.1,Lorton Station Elementary Fairfax County Public Schools
South County High,Fairfax County Public Schools,Low Poverty,Non-Title I,7,South County High Fairfax County Public Schools
South County Middle,Fairfax County Public Schools,Low Poverty,Non-Title I,8.5,South County Middle Fairfax County Public Schools
Chesterbrook Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2.3,Chesterbrook Elementary Fairfax County Public Schools
Churchill Road Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,7.7,Churchill Road Elementary Fairfax County Public Schools
Cooper Middle,Fairfax County Public Schools,Low Poverty,Non-Title I,1.4,Cooper Middle Fairfax County Public Schools
Kent Gardens Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,6.9,Kent Gardens Elementary Fairfax County Public Schools
Langley High,Fairfax County Public Schools,Low Poverty,Non-Title I,3.8,Langley High Fairfax County Public Schools
McLean High,Fairfax County Public Schools,Low Poverty,Non-Title I,7.7,McLean High Fairfax County Public Schools
Spring Hill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.6,Spring Hill Elementary Fairfax County Public Schools
Waples Mill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2.9,Waples Mill Elementary Fairfax County Public Schools
Dogwood Elementary,Fairfax County Public Schools,High Poverty,Title I,10.5,Dogwood Elementary Fairfax County Public Schools
Archer Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2.3,Archer Elementary Fairfax County Public Schools
Cunningham Park Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,6.5,Cunningham Park Elementary Fairfax County Public Schools
Flint Hill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.7,Flint Hill Elementary Fairfax County Public Schools
Oakton High,Fairfax County Public Schools,Low Poverty,Non-Title I,9.4,Oakton High Fairfax County Public Schools
Colvin Run Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,3.3,Colvin Run Elementary Fairfax County Public Schools
Freedom Hill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,7.8,Freedom Hill Elementary Fairfax County Public Schools
Kilmer Center,Fairfax County Public Schools,Low Poverty,Non-Title I,4.5,Kilmer Center Fairfax County Public Schools
Kilmer Middle,Fairfax County Public Schools,Low Poverty,Non-Title I,8.3,Kilmer Middle Fairfax County Public Schools
Westbriar Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,6.8,Westbriar Elementary Fairfax County Public Schools
Wolftrap Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2.2,Wolftrap Elementary Fairfax County Public Schools
Daniels Run Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,9.7,Daniels Run Elementary Fairfax County Public Schools
Eagle View Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,9.7,Eagle View Elementary Fairfax County Public Schools
Fairfax Villa Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.9,Fairfax Villa Elementary Fairfax County Public Schools
Johnson Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,3.4,Johnson Middle Fairfax County Public Schools
Providence Elementary,Fairfax County Public Schools,Medium Poverty,Title I,6,Providence Elementary Fairfax County Public Schools
Willow Springs Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.7,Willow Springs Elementary Fairfax County Public Schools
Fairhill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.7,Fairhill Elementary Fairfax County Public Schools
Mantua Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,3.9,Mantua Elementary Fairfax County Public Schools
Frost Middle,Fairfax County Public Schools,Low Poverty,Non-Title I,7.4,Frost Middle Fairfax County Public Schools
Little Run Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,13.5,Little Run Elementary Fairfax County Public Schools
Oak View Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.8,Oak View Elementary Fairfax County Public Schools
Robinson Secondary,Fairfax County Public Schools,Low Poverty,Non-Title I,4.1,Robinson Secondary Fairfax County Public Schools
Wakefield Forest Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,3.9,Wakefield Forest Elementary Fairfax County Public Schools
Greenbriar East Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.5,Greenbriar East Elementary Fairfax County Public Schools
Lees Corner Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,3.6,Lees Corner Elementary Fairfax County Public Schools
Navy Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,4.3,Navy Elementary Fairfax County Public Schools
Carson Middle,Fairfax County Public Schools,Low Poverty,Non-Title I,3,Carson Middle Fairfax County Public Schools
Coates Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,2.9,Coates Elementary Fairfax County Public Schools
Annandale High,Fairfax County Public Schools,Medium Poverty,Non-Title I,10.2,Annandale High Fairfax County Public Schools
Annandale Terrace Elementary,Fairfax County Public Schools,High Poverty,Title I,4.3,Annandale Terrace Elementary Fairfax County Public Schools
Braddock Elementary,Fairfax County Public Schools,High Poverty,Title I,3.3,Braddock Elementary Fairfax County Public Schools
Camelot Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,3.8,Camelot Elementary Fairfax County Public Schools
Canterbury Woods Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,8.5,Canterbury Woods Elementary Fairfax County Public Schools
Columbia Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,2.5,Columbia Elementary Fairfax County Public Schools
Poe Middle,Fairfax County Public Schools,High Poverty,Title I,11.7,Poe Middle Fairfax County Public Schools
Westfield High,Fairfax County Public Schools,Low Poverty,Non-Title I,4.6,Westfield High Fairfax County Public Schools
Mount Eagle Elementary,Fairfax County Public Schools,Medium Poverty,Title I,2.4,Mount Eagle Elementary Fairfax County Public Schools
Bryant High,Fairfax County Public Schools,Medium Poverty,Non-Title I,7.3,Bryant High Fairfax County Public Schools
Groveton Elementary,Fairfax County Public Schools,High Poverty,Title I,5.5,Groveton Elementary Fairfax County Public Schools
Hollin Meadows Elementary,Fairfax County Public Schools,Medium Poverty,Title I,9.8,Hollin Meadows Elementary Fairfax County Public Schools
Hybla Valley Elementary,Fairfax County Public Schools,High Poverty,Title I,1.1,Hybla Valley Elementary Fairfax County Public Schools
Belle View Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,11.1,Belle View Elementary Fairfax County Public Schools
Bucknell Elementary,Fairfax County Public Schools,Medium Poverty,Title I,17.9,Bucknell Elementary Fairfax County Public Schools
West Potomac High,Fairfax County Public Schools,Medium Poverty,Non-Title I,8.2,West Potomac High Fairfax County Public Schools
Sandburg Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,8.9,Sandburg Middle Fairfax County Public Schools
Waynewood Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,7.5,Waynewood Elementary Fairfax County Public Schools
Mount Vernon High,Fairfax County Public Schools,Medium Poverty,Non-Title I,9,Mount Vernon High Fairfax County Public Schools
Mount Vernon Woods Elementary,Fairfax County Public Schools,High Poverty,Title I,9.1,Mount Vernon Woods Elementary Fairfax County Public Schools
Riverside Elementary,Fairfax County Public Schools,High Poverty,Title I,9.7,Riverside Elementary Fairfax County Public Schools
Washington Mill Elementary,Fairfax County Public Schools,Medium Poverty,Title I,8.9,Washington Mill Elementary Fairfax County Public Schools
Woodlawn Elementary,Fairfax County Public Schools,Medium Poverty,Title I,11.7,Woodlawn Elementary Fairfax County Public Schools
Woodley Hills Elementary,Fairfax County Public Schools,High Poverty,Title I,1.8,Woodley Hills Elementary Fairfax County Public Schools
Bush Hill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.1,Bush Hill Elementary Fairfax County Public Schools
Clermont Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,6.5,Clermont Elementary Fairfax County Public Schools
Edison High,Fairfax County Public Schools,Medium Poverty,Non-Title I,7.2,Edison High Fairfax County Public Schools
Franconia Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,0,Franconia Elementary Fairfax County Public Schools
Rose Hill Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,14.5,Rose Hill Elementary Fairfax County Public Schools
Glasgow Middle,Fairfax County Public Schools,High Poverty,Non-Title I,10.5,Glasgow Middle Fairfax County Public Schools
Holmes Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,8.1,Holmes Middle Fairfax County Public Schools
Parklawn Elementary,Fairfax County Public Schools,High Poverty,Title I,1.4,Parklawn Elementary Fairfax County Public Schools
Thomas Jefferson High for Science and Technology,Fairfax County Public Schools,Low Poverty,Non-Title I,6.2,Thomas Jefferson High for Science and Technology Fairfax County Public Schools
Weyanoke Elementary,Fairfax County Public Schools,High Poverty,Title I,6.5,Weyanoke Elementary Fairfax County Public Schools
Hayfield Secondary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.6,Hayfield Secondary Fairfax County Public Schools
Island Creek Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,4.9,Island Creek Elementary Fairfax County Public Schools
Stone Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,4.8,Stone Middle Fairfax County Public Schools
Virginia Run Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,1.8,Virginia Run Elementary Fairfax County Public Schools
Bull Run Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,9.5,Bull Run Elementary Fairfax County Public Schools
Forestville Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,8.9,Forestville Elementary Fairfax County Public Schools
Great Falls Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2.2,Great Falls Elementary Fairfax County Public Schools
Terraset Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,8.5,Terraset Elementary Fairfax County Public Schools
South Lakes High,Fairfax County Public Schools,Low Poverty,Non-Title I,10.4,South Lakes High Fairfax County Public Schools
Armstrong Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,4.8,Armstrong Elementary Fairfax County Public Schools
Crestwood Elementary,Fairfax County Public Schools,High Poverty,Title I,8.3,Crestwood Elementary Fairfax County Public Schools
Forestdale Elementary,Fairfax County Public Schools,Medium Poverty,Title I,8.9,Forestdale Elementary Fairfax County Public Schools
Key Center,Fairfax County Public Schools,Medium Poverty,Non-Title I,28.6,Key Center Fairfax County Public Schools
Key Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,7.8,Key Middle Fairfax County Public Schools
Lynbrook Elementary,Fairfax County Public Schools,High Poverty,Title I,4.3,Lynbrook Elementary Fairfax County Public Schools
Springfield Estates Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,2,Springfield Estates Elementary Fairfax County Public Schools
Kings Glen Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2.5,Kings Glen Elementary Fairfax County Public Schools
Kings Park Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,4.2,Kings Park Elementary Fairfax County Public Schools
North Springfield Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,5.7,North Springfield Elementary Fairfax County Public Schools
Ravensworth Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,6,Ravensworth Elementary Fairfax County Public Schools
Cardinal Forest Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.5,Cardinal Forest Elementary Fairfax County Public Schools
Hunt Valley Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,0,Hunt Valley Elementary Fairfax County Public Schools
Irving Middle,Fairfax County Public Schools,Low Poverty,Non-Title I,8.9,Irving Middle Fairfax County Public Schools
Keene Mill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5,Keene Mill Elementary Fairfax County Public Schools
Orange Hunt Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.8,Orange Hunt Elementary Fairfax County Public Schools
Rolling Valley Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.9,Rolling Valley Elementary Fairfax County Public Schools
West Springfield High,Fairfax County Public Schools,Low Poverty,Non-Title I,10.5,West Springfield High Fairfax County Public Schools
Sangster Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,6.5,Sangster Elementary Fairfax County Public Schools
Saratoga Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,11.1,Saratoga Elementary Fairfax County Public Schools
Centreville High,Fairfax County Public Schools,Low Poverty,Non-Title I,2.7,Centreville High Fairfax County Public Schools
Union Mill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,7.2,Union Mill Elementary Fairfax County Public Schools
Belvedere Elementary,Fairfax County Public Schools,Medium Poverty,Title I,6.7,Belvedere Elementary Fairfax County Public Schools
Glen Forest Elementary,Fairfax County Public Schools,High Poverty,Title I,5.1,Glen Forest Elementary Fairfax County Public Schools
Falls Church High,Fairfax County Public Schools,Medium Poverty,Non-Title I,5.6,Falls Church High Fairfax County Public Schools
Graham Road Elementary,Fairfax County Public Schools,High Poverty,Title I,0,Graham Road Elementary Fairfax County Public Schools
Pine Spring Elementary,Fairfax County Public Schools,Medium Poverty,Title I,11.3,Pine Spring Elementary Fairfax County Public Schools
Westlawn Elementary,Fairfax County Public Schools,Medium Poverty,Title I,4.9,Westlawn Elementary Fairfax County Public Schools
Woodburn Elementary,Fairfax County Public Schools,High Poverty,Title I,8.3,Woodburn Elementary Fairfax County Public Schools
Haycock Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,3.2,Haycock Elementary Fairfax County Public Schools
Longfellow Middle,Fairfax County Public Schools,Low Poverty,Non-Title I,3.3,Longfellow Middle Fairfax County Public Schools
Marshall High,Fairfax County Public Schools,Low Poverty,Non-Title I,6.3,Marshall High Fairfax County Public Schools
Shrevewood Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,8.3,Shrevewood Elementary Fairfax County Public Schools
Westgate Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.7,Westgate Elementary Fairfax County Public Schools
Bailey's Upper Elementary School for the Arts and Sciences,Fairfax County Public Schools,High Poverty,Title I,6.5,Bailey's Upper Elementary School for the Arts and Sciences Fairfax County Public Schools
Sleepy Hollow Elementary,Fairfax County Public Schools,Medium Poverty,Title I,8.3,Sleepy Hollow Elementary Fairfax County Public Schools
Timber Lane Elementary,Fairfax County Public Schools,Medium Poverty,Title I,9.7,Timber Lane Elementary Fairfax County Public Schools
Fort Belvoir Upper Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,11.9,Fort Belvoir Upper Elementary Fairfax County Public Schools
Dranesville Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,3.3,Dranesville Elementary Fairfax County Public Schools
Clearview Elementary,Fairfax County Public Schools,Medium Poverty,Title I,3,Clearview Elementary Fairfax County Public Schools
Herndon High,Fairfax County Public Schools,Medium Poverty,Non-Title I,4.3,Herndon High Fairfax County Public Schools
Herndon Elementary,Fairfax County Public Schools,Medium Poverty,Title I,7.8,Herndon Elementary Fairfax County Public Schools
Hutchison Elementary,Fairfax County Public Schools,High Poverty,Title I,6.5,Hutchison Elementary Fairfax County Public Schools
Crossfield Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2,Crossfield Elementary Fairfax County Public Schools
Fox Mill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,8,Fox Mill Elementary Fairfax County Public Schools
Oak Hill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,6.8,Oak Hill Elementary Fairfax County Public Schools
Poplar Tree Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,3.6,Poplar Tree Elementary Fairfax County Public Schools
Rocky Run Middle,Fairfax County Public Schools,Low Poverty,Non-Title I,5.1,Rocky Run Middle Fairfax County Public Schools
Franklin Middle,Fairfax County Public Schools,Low Poverty,Non-Title I,8.5,Franklin Middle Fairfax County Public Schools
Fairview Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,7.7,Fairview Elementary Fairfax County Public Schools
Halley Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,7,Halley Elementary Fairfax County Public Schools
Silverbrook Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,6.6,Silverbrook Elementary Fairfax County Public Schools
Cub Run Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,11.5,Cub Run Elementary Fairfax County Public Schools
Deer Park Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,3.6,Deer Park Elementary Fairfax County Public Schools
Mountain View High,Fairfax County Public Schools,Medium Poverty,Non-Title I,5.3,Mountain View High Fairfax County Public Schools
Centre Ridge Elementary,Fairfax County Public Schools,Medium Poverty,Title I,1.4,Centre Ridge Elementary Fairfax County Public Schools
Centreville Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,7.4,Centreville Elementary Fairfax County Public Schools
Whitman Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,10.6,Whitman Middle Fairfax County Public Schools
Garfield Elementary,Fairfax County Public Schools,High Poverty,Title I,2.4,Garfield Elementary Fairfax County Public Schools
Cameron Elementary,Fairfax County Public Schools,Medium Poverty,Title I,3.7,Cameron Elementary Fairfax County Public Schools
Justice High,Fairfax County Public Schools,Medium Poverty,Non-Title I,11.2,Justice High Fairfax County Public Schools
London Towne Elementary,Fairfax County Public Schools,Medium Poverty,Title I,0,London Towne Elementary Fairfax County Public Schools
Marshall Road Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,13.6,Marshall Road Elementary Fairfax County Public Schools
Olde Creek Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,9.5,Olde Creek Elementary Fairfax County Public Schools
Liberty Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,11.7,Liberty Middle Fairfax County Public Schools
West Springfield Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,3.7,West Springfield Elementary Fairfax County Public Schools
Sherman Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,9.1,Sherman Elementary Fairfax County Public Schools
Oakton Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,3.5,Oakton Elementary Fairfax County Public Schools
Mosaic Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,4.1,Mosaic Elementary Fairfax County Public Schools
Lemon Road Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,4.2,Lemon Road Elementary Fairfax County Public Schools
Madison High,Fairfax County Public Schools,Low Poverty,Non-Title I,6.9,Madison High Fairfax County Public Schools
Fairfax High,Fairfax County Public Schools,Low Poverty,Non-Title I,6.7,Fairfax High Fairfax County Public Schools
Lake Anne Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,5.3,Lake Anne Elementary Fairfax County Public Schools
Twain Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,10.8,Twain Middle Fairfax County Public Schools
Chantilly High,Fairfax County Public Schools,Low Poverty,Non-Title I,6.3,Chantilly High Fairfax County Public Schools
Hayfield Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,0,Hayfield Elementary Fairfax County Public Schools
Newington Forest Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,7,Newington Forest Elementary Fairfax County Public Schools
Hunters Woods Elementary School for the Arts and Sciences,Fairfax County Public Schools,Low Poverty,Non-Title I,1.6,Hunters Woods Elementary School for the Arts and Sciences Fairfax County Public Schools
Cherry Run Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,4.4,Cherry Run Elementary Fairfax County Public Schools
Vienna Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,0,Vienna Elementary Fairfax County Public Schools
Herndon Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,9,Herndon Middle Fairfax County Public Schools
Brookfield Elementary,Fairfax County Public Schools,Medium Poverty,Title I,2.7,Brookfield Elementary Fairfax County Public Schools
Lewis High,Fairfax County Public Schools,Medium Poverty,Non-Title I,7.2,Lewis High Fairfax County Public Schools
Mason Crest Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,3.2,Mason Crest Elementary Fairfax County Public Schools
Bren Mar Park Elementary,Fairfax County Public Schools,Medium Poverty,Title I,6,Bren Mar Park Elementary Fairfax County Public Schools
Lane Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,9.4,Lane Elementary Fairfax County Public Schools
Jackson Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,8.6,Jackson Middle Fairfax County Public Schools
Thoreau Middle,Fairfax County Public Schools,Low Poverty,Non-Title I,10.6,Thoreau Middle Fairfax County Public Schools
Aldrin Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.7,Aldrin Elementary Fairfax County Public Schools
Lake Braddock Secondary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.9,Lake Braddock Secondary Fairfax County Public Schools
Stenwood Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2.2,Stenwood Elementary Fairfax County Public Schools
Woodson High,Fairfax County Public Schools,Low Poverty,Non-Title I,8.9,Woodson High Fairfax County Public Schools
Greenbriar West Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,3.8,Greenbriar West Elementary Fairfax County Public Schools
Floris Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,13.6,Floris Elementary Fairfax County Public Schools
Forest Edge Elementary,Fairfax County Public Schools,Medium Poverty,Title I,9.6,Forest Edge Elementary Fairfax County Public Schools
Bonnie Brae Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,11.9,Bonnie Brae Elementary Fairfax County Public Schools
Fort Hunt Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,7.5,Fort Hunt Elementary Fairfax County Public Schools
Hughes Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,2.5,Hughes Middle Fairfax County Public Schools
Laurel Ridge Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.5,Laurel Ridge Elementary Fairfax County Public Schools
Stratford Landing Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,13.6,Stratford Landing Elementary Fairfax County Public Schools
Beech Tree Elementary,Fairfax County Public Schools,Medium Poverty,Title I,4.9,Beech Tree Elementary Fairfax County Public Schools
White Oaks Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.4,White Oaks Elementary Fairfax County Public Schools
Powell Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,0,Powell Elementary Fairfax County Public Schools
Sunrise Valley Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2,Sunrise Valley Elementary Fairfax County Public Schools
Fairview Elementary,Grayson County Public Schools,Medium Poverty,Title I,8.7,Fairview Elementary Grayson County Public Schools
Grayson Highlands,Grayson County Public Schools,Medium Poverty,Title I,10.5,Grayson Highlands Grayson County Public Schools
Independence Middle,Grayson County Public Schools,Medium Poverty,Non-Title I,11.1,Independence Middle Grayson County Public Schools
Grayson County High,Grayson County Public Schools,Medium Poverty,Non-Title I,14.3,Grayson County High Grayson County Public Schools
Independence Elementary,Grayson County Public Schools,Medium Poverty,Title I,14.8,Independence Elementary Grayson County Public Schools
Fries Elementary,Grayson County Public Schools,High Poverty,Title I,20.6,Fries Elementary Grayson County Public Schools
Cluster Springs Elementary,Halifax County Public Schools,High Poverty,Title I,4.2,Cluster Springs Elementary Halifax County Public Schools
Sinai Elementary,Halifax County Public Schools,High Poverty,Title I,12.9,Sinai Elementary Halifax County Public Schools
Clays Mill Elementary,Halifax County Public Schools,High Poverty,Title I,7.1,Clays Mill Elementary Halifax County Public Schools
Scottsburg Elementary,Halifax County Public Schools,High Poverty,Title I,7.4,Scottsburg Elementary Halifax County Public Schools
Halifax County High,Halifax County Public Schools,High Poverty,Non-Title I,15.7,Halifax County High Halifax County Public Schools
South Boston Elementary,Halifax County Public Schools,High Poverty,Title I,11.9,South Boston Elementary Halifax County Public Schools
Meadville Elementary,Halifax County Public Schools,High Poverty,Title I,4.2,Meadville Elementary Halifax County Public Schools
Sydnor Jennings Elementary,Halifax County Public Schools,High Poverty,Title I,9.4,Sydnor Jennings Elementary Halifax County Public Schools
Halifax County Middle,Halifax County Public Schools,High Poverty,Non-Title I,15.4,Halifax County Middle Halifax County Public Schools
Elmont Elementary,Hanover County Public Schools,Medium Poverty,Title I,0,Elmont Elementary Hanover County Public Schools
John M. Gandy Elementary,Hanover County Public Schools,Medium Poverty,Non-Title I,0,John M. Gandy Elementary Hanover County Public Schools
Liberty Middle,Hanover County Public Schools,Medium Poverty,Non-Title I,10,Liberty Middle Hanover County Public Schools
Patrick Henry High,Hanover County Public Schools,Low Poverty,Non-Title I,9.6,Patrick Henry High Hanover County Public Schools
Battlefield Park Elementary,Hanover County Public Schools,Low Poverty,Non-Title I,0,Battlefield Park Elementary Hanover County Public Schools
Cold Harbor Elementary,Hanover County Public Schools,Medium Poverty,Non-Title I,2.3,Cold Harbor Elementary Hanover County Public Schools
Laurel Meadow Elementary,Hanover County Public Schools,Low Poverty,Non-Title I,2,Laurel Meadow Elementary Hanover County Public Schools
Mechanicsville Elementary,Hanover County Public Schools,Medium Poverty,Title I,1.6,Mechanicsville Elementary Hanover County Public Schools
Mechanicsville High,Hanover County Public Schools,Low Poverty,Non-Title I,5.6,Mechanicsville High Hanover County Public Schools
Hanover High,Hanover County Public Schools,Low Poverty,Non-Title I,6.3,Hanover High Hanover County Public Schools
Kersey Creek Elementary,Hanover County Public Schools,Low Poverty,Non-Title I,0,Kersey Creek Elementary Hanover County Public Schools
Oak Knoll Middle,Hanover County Public Schools,Low Poverty,Non-Title I,8.4,Oak Knoll Middle Hanover County Public Schools
Pearson's Corner Elementary,Hanover County Public Schools,Low Poverty,Non-Title I,2,Pearson's Corner Elementary Hanover County Public Schools
Pole Green Elementary,Hanover County Public Schools,Low Poverty,Non-Title I,0,Pole Green Elementary Hanover County Public Schools
Rural Point Elementary,Hanover County Public Schools,Low Poverty,Non-Title I,0,Rural Point Elementary Hanover County Public Schools
Bell Creek Middle,Hanover County Public Schools,Low Poverty,Non-Title I,6.2,Bell Creek Middle Hanover County Public Schools
Beaverdam Elementary,Hanover County Public Schools,Low Poverty,Non-Title I,3.7,Beaverdam Elementary Hanover County Public Schools
